title,address (option),city,state,country,latitude (option),longitude (option),postal code,description (option),phone (option),website (option),facebook (option),twitter (option),linkedin (option),instagram (option),whatsapp (option),youtube id (option),feature image,gallery images,timezone,show_hours (1:show 2:not show),hours,exceptional_hours
جمعية اصدقاء الغد المشرق,"كم 21 - طريق القاهرة بلبيس الصحراوى, مدينة السلام, القاهرة",السلام,القاهرة,Egypt,,,,,+202-2281-2012,,,,,,,,,,,,,
جمعية الايمان والمنى لذوى الاحتياجات الخاصة,"114 أ ممر 10 - ميدان الالف مسكن, جسر السويس, القاهرة",جسر السويس,القاهرة,Egypt,,,,,+202-2638-3605,,,,,,,,,,,,,
جمعية الوفاء للتنمية والتأهيل الاجتماعى,"ش د. النبوى المهندس, المندره قبلى, الاسكندرية",المندره,الاسكندرية,Egypt,,,,,+203-3229-137,,,,,,,,,,,,,
جمعية حبات القلوب لذوى الاحتياجات الخاصة,"112 ش عين شمس, عزبة النخل, القاهرة",عزبة النخل,القاهرة,Egypt,,,,,+202-2491-1430,http://www.habbateloloub.com/,,,,,,,,,,,,
جمعية صفوة الحياة,"1 ش مؤسسة الزكاة, المرج, القاهرة",المرج,القاهرة,Egypt,,,,,+202-2872-3171,,,,,,,,,,,,,
جمعية وادى النور الخيرية لذوى الاحتياجات الخاصة,"46 ش الخليفة الراضى, الحى السابع, مدينة نصر, القاهرة",مدينة نصر,القاهرة,Egypt,,,,,+202-2387-6760,,,,,,,,,,,,,
دار الاحباب لرعاية الايتام ذوى الاحتياجات الخاصة,"1 ش 804 متفرع من ش ملك حفنى, سيدى بشر بحرى, الاسكندرية",مدينة نصر,الاسكندرية,Egypt,,,,,+203-5566-324,,,,,,,,,,,,,
دار القدس لرعاية وايواء الايتام ذوى الاحتياجات الخاصة,"76 ش 10, المعادى, القاهرة",المعادى,القاهرة,Egypt,,,,,+202-2359-6822,,,,,,,,,,,,,
مؤسسة سارة الجديدة لذوى الاحتياجات الخاصة,"3 ش حلمى حسن على, متفرع من ش هشام لبيب, الحى الثامن, مدينة نصر, القاهرة",مدينة نصر,القاهرة,Egypt,,,,,+202-2273-5402,,,,,,,,,,,,,
مؤسسة متعددى الاعاقات,"قرية الخادمية, سيدى غازى, كفر الشيخ",مركز الرياض,كفر الشيخ,Egypt,,,,,+2047-3396-602,,,,,,,,,,,,,
