Category,Name,Address,ID
محمصات,ابو الفتوح للمحمصات,"41 ش جمال عبد الناصر, مدينة الهدى, حدائق حلوان, القاهرة.",642442
محمصات,ابو حجازى,"4 ش المعتمدية, ارض اللواء, الجيزة.",358380
محمصات,ابو طالب للمكسرات,"76 ش احمد الزمر, المشروع السويسرى ب, الحى العاشر, مدينة نصر, القاهرة.",617727
محمصات,ابو عوف,"القطعة 31, 33, المنطقة الصناعية, التجمع الثالث, القاهرة الجديدة, القاهرة.",346609
محمصات,البدر,"بلوك 15 - مساكن المطار - ش المطار - المنيرة الغربية, امبابة, الجيزة.",367418
محمصات,البيت الملكي للمكسرات,"3 ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",599439
محمصات,التوحيد,"188 ش الوحدة, امبابة, الجيزة.",354079
محمصات,الجوهرة,"1 ش مراد, الكوم الاخضر, الهرم, الجيزة.",328682
محمصات,الحرم الشريف,"98 ش الفيوم - ابو اشرف, دار السلام, القاهرة.",331621
محمصات,الدمشقى,"مربع 1258ف - طريق الاوتوستراد, مساكن شيراتون, مصر الجديدة, القاهرة.",514491
محمصات,الرضا والنور,"ش محمد محسن حمد, اشمون, المنوفية.",322061
محمصات,الرضا والنور,"1 ش صلاح الدين متفرع من ش سعد زغلول, اشمون, المنوفية.",322071
محمصات,الرفاعى,"الطريق الدائرى, كايرو فيستيفال, القاهرة الجديدة, القاهرة.",449040
محمصات,الرفاعى,", المحور المركزى, الشيخ زايد, السادس من اكتوبر, الجيزة.",612875
محمصات,الريحان للمكسرات,"4 عمارات التوفيق ش خضر التونى, مدينة نصر, القاهرة.",600573
محمصات,السعادة,"ش احمد عرابى, تلا, المنوفية.",319545
محمصات,الشام للمكسرات,"26 ش مهدى عرفة, الحى العاشر, مدينة نصر, القاهرة.",693626
محمصات,الصعايدة,"9 ش الوحدة, كرداسة, الجيزة.",362412
محمصات,العطاء للمحمصات,"1 ش مصطفى النحاس, مدينة نصر, القاهرة.",682968
محمصات,الفرسان,"ش اللمعى, تلا, المنوفية.",319626
محمصات,القاهرة للمحمصات,"9 ش خالد بن الوليد, مدينة الهدى, حدائق حلوان, القاهرة.",642453
محمصات,المحمصة السورية,"24 ش محمود خيرى, المنطقة الاولى, مدينة نصر, القاهرة.",686234
محمصات,المحمصه السوريه,"9 ش البطراوى متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",601946
محمصات,المحمصة السورية,"9 ش البطراوى, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",682586
محمصات,المحمصة اللبنانية,"كم 28, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",390922
محمصات,المغربل للمكسرات,", المجاورة الثالثة - عمارة 640, الحى الاول, السادس من اكتوبر, الجيزة.",655608
محمصات,المكسرات الملكية,"8 ش البرازيل, الزمالك, القاهرة.",683977
محمصات,المملكة,"27 ش شكرى القوتلى, العياط, الجيزة.",278660
محمصات,المنيرة,"بلوك 24 - مساكن المطار - ش المطار - المنيرة الغربية, امبابة, الجيزة.",367163
محمصات,الموفق للياميش والمكسرات,"35 ش وكالة الليمون, الجمرك, الاسكندرية.",103283
محمصات,الوحدة العربية للمحمصات,"143 ش الوحدة العربية, جسر السويس, القاهرة.",658852
محمصات,او ناتس للمحمصات,"الطريق الدائرى, الهضبة الوسطى, المقطم, القاهرة.",682356
محمصات,ايه بى سى ماركت,", ., الجيزة, الجيزة.",669773
محمصات,بن ومحمصات الخليل السورى,"محور جمال عبد الناصر, الحى العاشر, السادس من اكتوبر, الجيزة.",644160
محمصات,تسالى ال محسن,"2 ش الجامع, حدائق حلوان, القاهرة.",382235
محمصات,تسالى الاصدقاء,"38 مساكن التعاونيات - ش افريقيا, مدينة نصر, القاهرة.",435965
محمصات,تسالى الجزيرة,"42 ش النصر, المعادى, القاهرة.",444168
محمصات,تسالى الجوهرى,"333 ش ربيع الجيزى, الجيزة, الجيزة.",434854
محمصات,تسالى الحلو,"ش الحلو, تقاطع ش الجلاء, طنطا, الغربية.",636418
محمصات,تسالى الداخلى,"26 ش اللبينى متفرع من ش فيصل, المريوطية, فيصل, الجيزة.",509025
محمصات,تسالى الرحاب,"30 ش عسران عبد النعيم, امبابة, الجيزة.",262795
محمصات,تسالى الرحمة,"18 مشروع كلية البنات - , ارض الجولف, مصر الجديدة, القاهرة.",425597
محمصات,تسالى السهرة,"تقسيم الجواهر, العمرانية الشرقية, الهرم, الجيزة.",305619
محمصات,تسالى الشام,"56 طريق مصر حلوان الزراعى, كورنيش المعادى, المعادى, القاهرة.",664755
محمصات,تسالى الشربينى,"ش الجمهورية, بيلا, كفر الشيخ.",362754
محمصات,تسالى العرب,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",388515
محمصات,تسالى الفردوس,"3 عمارات المحافظة - - كيمان فارس, وسط البلد, الفيوم.",316556
محمصات,تسالى الليثى,"17 ش ابراهيم الرفاعى, مدينة نصر, القاهرة.",314720
محمصات,تسالى المتوكل,"4 ش كفر طهرمس, فيصل, الجيزة.",392227
محمصات,تسالى المدينة,"5 ش عسران - عزبة الصعايدة, امبابة, الجيزة.",484278
محمصات,تسالى الميدان,"9134 ش 9, المقطم, القاهرة.",444492
محمصات,تسالى الهدى,"عمارة 21ج -, حدائق الاهرام, الهرم, الجيزة.",450830
محمصات,تسالى حمادة,"ش الساحة, الحوامدية, الجيزة.",305081
