Category,Name,Address,ID
توظيف,انترناشيونال بيزنيس سيرفيس - اى بى اس,"., المعادى الجديدة, المعادى, القاهرة.",53940
توظيف,توظيف للتوظيف واستشارات الموارد البشرية,"ابراج السراج مول - برج 3 ش عطية الصوالحى, الدور 11, متفرع من مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",147743
توظيف,جلوبال مان باور,"القطعة 9108 ش 9, المقطم, القاهرة.",694896
توظيف,عالم المعرفة لالحاق العمالة المصرية بالخارج,"19 ش المدينة المنورة, الدور 2, متفرع من ش محيى الدين ابو العز, المهندسين, الجيزة.",668676
توظيف,بايونير للموارد البشرية والتوظيف,"12 عمارات رامو ش عمر بن الخطاب, متفرع من طريق النصر, مدينة نصر, القاهرة.",44738
توظيف,شركة منارة الخليج للتوظيف بالخارج,"2 عمارات الميريلاند ش جسر السويس, مصر الجديدة, القاهرة.",493907
توظيف,جلوبال بروجكتس سيرفيس,"30 ش 275, المعادى الجديدة, المعادى, القاهرة.",496890
توظيف,ابدأ للتوظيف والاستشارات,"158 ش العريش - الدور 2, الهرم, الجيزة.",460115
توظيف,ابراهيم محمد ابراهيم,"ش التحرير - حى النصر, كفر صقر, الشرقية.",354155
توظيف,ابناء الدلتا لالحاق العمالة المصرية بالخارج,"طريق المنزلة - قرية ميت عاصم, منية النصر, الدقهلية.",136995
توظيف,ابناء العرب,"ارض المحلج, السنبلاوين, الدقهلية.",352964
توظيف,ابناء المنصورة لالحاق العمالة المصرية بالخارج,"برج التحرير - ش العروبة, دكرنس, الدقهلية.",500263
توظيف,ابو اسماعيل والاشمونى لالحاق العمالة المصرية بالخارج,"102 ش السباق - الدور 1 شقة 3, المريلاند, مصر الجديدة, القاهرة.",143352
توظيف,ابو الخير السعودية,"19 ش عكاشة, الدقى, الجيزة.",387250
توظيف,ابو العلا,"1 عمارة الشيماء - ش الجابر متفرع من ش نصر الثورة - الكهرباء, الهرم, الجيزة.",127768
توظيف,ابو خليل,"324 ش الهرم, مدكور, الهرم, الجيزة.",425452
توظيف,ابو داوود,"6 ش الجمهورية - الدور 2, وسط البلد, كفر الشيخ.",345556
توظيف,ابو ظبى للتوظيف,"1 ش مكة المكرمة, حلوان, القاهرة.",668493
توظيف,ابو عالية لالحاق العمالة المصرية بالخارج,"12 ميدان الظاهر بيبرس - الدور 1, غمره, القاهرة.",156050
توظيف,ابو عبيدة,"9 ش احمد حلمى مرزوق, الحادقة, الفيوم.",327839
توظيف,ابو غازى,"46 ش سليمان جوهر متفرع من ش الدقى, الدقى, الجيزة.",447648
توظيف,ابو كحلة,"14 عمارات العرائس - ش السودان, المهندسين, الجيزة.",60020
توظيف,ابو هانى للموارد البشرية,"11 ش معمل السكر متفرع من ش قصر العينى, جاردن سيتى, القاهرة.",20008
توظيف,اتحاد الوظائف للتدريب والتوظيف,"56 ش النقراشى, الدور 3, ابو حماد, الشرقية.",429074
توظيف,اتش ار انترناشيونال بيزينس,"مبنى الفيروز 1 - المحور المركزى - الدور 1, الحى الثانى, السادس من اكتوبر, الجيزة.",564353
توظيف,اجادة للتوظيف,"3 ش الموسيقار على اسماعيل متفرع من ش التحرير - الدور 9, الدقى, الجيزة.",440844
توظيف,اجياد,"13 ش ابو زيد مغازى, بولاق الدكرور, الجيزة.",342766
توظيف,احد للتوظيف واستشارات الموارد البشرية,"8 ش د. احمد الغزاوى متفرع من ش المدينة المنورة - الدور 1, النزهة الجديدة, القاهرة.",132856
توظيف,ادراك جروب,"25 عمارات العبور - طريق صلاح سالم - الدور 14 شقة 5, مدينة نصر, القاهرة.",180443
توظيف,ادز ميكس,", ., وسط البلد, القاهرة.",650333
توظيف,ادم للتوظيف,"680 طريق الحرية, لوران, الاسكندرية.",470305
توظيف,ادمت لادارة المشروعات,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",502367
