Category,Name,Address,ID
مكاتب العمل,مديرية القوى العاملة والهجرة - القاهرة,", الدور 3, ميدان التحرير, وسط البلد, القاهرة.",223142
مكاتب العمل,مكتب العمل - ابشواى,"ش الجمهورية, ابشواى, الفيوم.",271293
مكاتب العمل,مكتب العمل - ابنوب,"ش الخبازين متفرع من ش الجمهورية - حى الخبازين, ابنوب, اسيوط.",271022
مكاتب العمل,مكتب العمل - ابو المطامير,"ش الاسكندرية, ابو المطامير, البحيرة.",270294
مكاتب العمل,مكتب العمل - ابو النمرس,"11 مساكن ابو النمرس - - الدور 4 شقة 8, ابو النمرس, الجيزة.",225018
مكاتب العمل,مكتب العمل - ابو تيج,"طريق اسيوط سوهاج, ابو تيج, اسيوط.",271036
مكاتب العمل,مكتب العمل - ابو حماد,"ش بورسعيد, ابو حماد, الشرقية.",270057
مكاتب العمل,مكتب العمل - ابو حمص,"46 - حى الزهور, ابو حمص, البحيرة.",270838
مكاتب العمل,مكتب العمل - ابو خليفة,"., ابو خليفة, الاسماعيلية.",271371
مكاتب العمل,مكتب العمل - ابو داوود,"قرية ابو داوود, طماى الامديد, الدقهلية.",271112
مكاتب العمل,مكتب العمل - ابو رديس,"ش الحرية - ابو رديس, جنوب سيناء, شرم الشيخ.",272102
مكاتب العمل,مكتب العمل - ابو زعبل,"ش البحر, ابو زعبل, القليوبية.",224555
مكاتب العمل,مكتب العمل - ابو زنيمة,"الحى الثانى, ابو زينما, جنوب سيناء.",272089
مكاتب العمل,مكتب العمل - ابو سمبل,"حى الفراعنة, ابو سمبل, اسوان.",271267
مكاتب العمل,مكتب العمل - ابو صوير,"المساكن الاقتصادية - ش خالد بن الوليد, ابو سوير المحطة, ابو صوير المحطة, الاسماعيلية.",271352
مكاتب العمل,مكتب العمل - ابو طشت,"., ابو طشت, قنا.",271703
مكاتب العمل,مكتب العمل - ابو قرقاص,"ش الناصر متفرع من ش الجمهورية, ابو قرقاص, المنيا.",270971
مكاتب العمل,مكتب العمل - ابو قير,"ش المعهد الدينى, العصافرة, الاسكندرية.",224429
مكاتب العمل,مكتب العمل - ابو كبير,"ش عبد العزيز على - سوارس, ابو كبير, الشرقية.",270087
مكاتب العمل,مكتب العمل - اجا,"ش الجلاء, اجا, الدقهلية.",271023
مكاتب العمل,مكتب العمل - اخميم,"ش ابو بكر العجمى, اخميم, سوهاج.",271262
مكاتب العمل,مكتب العمل - ادفو,"8 عمارات العبد - شقة 21, ادفو, اسوان.",271272
مكاتب العمل,مكتب العمل - ادكو,"مساكن الساحة الشعبية -, ادكو, البحيرة.",270835
مكاتب العمل,مكتب العمل - ارمنت,"عمارة الشيخ عبد الباسط عبد الصمد - ش البروج, ارمنت, الاقصر.",271359
مكاتب العمل,مكتب العمل - اسنا,"ش جنينة العمدة بحرى, اسنا, الاقصر.",271361
مكاتب العمل,مكتب العمل - اسوان,"27 عمارات المحمودية -, وسط البلد, اسوان.",271271
مكاتب العمل,مكتب العمل - اسيوط,"مساكن الشادر القديم ش سعد زغلول, اسيوط, اسيوط.",271031
مكاتب العمل,مكتب العمل - اشمون,"مساكن الاوقاف - طريق سنتريس, اشمون, المنوفية.",270609
مكاتب العمل,مكتب العمل - اطسا,"ش عمر بن الخطاب, اطسا, الفيوم.",271172
مكاتب العمل,مكتب العمل - اطفيح,"طريق حلوان الكريمات - الدور 3, اطفيح, الجيزة.",272555
مكاتب العمل,مكتب العمل - اكتوبر,"22 المجاورة الثانية - الحى 11, السادس من اكتوبر, الجيزة.",224376
مكاتب العمل,مكتب العمل - الابراهيمية,"., الابراهيمية, الشرقية.",270593
مكاتب العمل,مكتب العمل - الازبكية,"183 عمارة ستراند - ش التحرير, وسط البلد, القاهرة.",224228
مكاتب العمل,مكتب العمل - الاستثمار,"., المنطقة الحرة, بور سعيد.",269979
مكاتب العمل,مكتب العمل - الاسماعيلية,"ش شبين الكوم, حى ثالث, الاسماعيلية.",271399
مكاتب العمل,مكتب العمل - الاقصر,"ش النزهة الجديدة, الاقصر, الاقصر.",271275
مكاتب العمل,مكتب العمل - الباجور,"ش بورسعيد, الباجور, المنوفية.",270621
مكاتب العمل,مكتب العمل - البدارى,"المساكن الشعبية - ش جمال عبد الناصر, البدارى, اسيوط.",271028
مكاتب العمل,مكتب العمل - البدرشين,"1 ش محيى الدين, البدرشين, الجيزة.",225036
مكاتب العمل,مكتب العمل - البساتين ودار السلام 1,"14 الشطر العاشر - عمارة الايمان, المعادى الجديدة, المعادى, القاهرة.",540971
مكاتب العمل,مكتب العمل - البساتين ودار السلام 2,"عمارات الشركة الكويتية - ش الجزائر, البساتين, القاهرة.",272331
مكاتب العمل,مكتب العمل - البلينا,"ش الشهيد محمد الامير, البلينا, سوهاج.",271141
مكاتب العمل,مكتب العمل - البياضية,"رواج, البياضية, الاقصر.",271357
مكاتب العمل,مكتب العمل - التبين,"بلوك 45 - مساكن المرازيق - , التبين, القاهرة.",224085
مكاتب العمل,مكتب العمل - التل الكبير,"المساكن الاقتصادية - ش مجلس المدينة القديم, التل الكبير, الاسماعيلية.",271345
مكاتب العمل,مكتب العمل - الجمالية,"317 ِش بورسعيد, السيدة زينب, القاهرة.",224286
مكاتب العمل,مكتب العمل - الجمالية,"ش احمد ابو العطا, الجمالية, الدقهلية.",271118
مكاتب العمل,مكتب العمل - الجمرك,"1 ميدان عرابى, المنشية, الاسكندرية.",224416
مكاتب العمل,مكتب العمل - الحسنة,"الشارع الرئيسى, الحسنة, شمال سيناء.",271354
مكاتب العمل,مكتب العمل - الحسينية,"عمارة عطوان -, الحسينية, الشرقية.",270111
مكاتب العمل,مكتب العمل - الحمام,"31 - حفر الباطن, الحمام, الساحل الشمالى.",272167
مكاتب العمل,مكتب العمل - الحوامدية,"., الحوامدية, الجيزة.",225022
مكاتب العمل,مكتب العمل - الخارجة,"ش عبد المنعم رياض, الخارجة, الوادى الجديد.",271809
مكاتب العمل,مكتب العمل - الخانكة,"3 عمارات الاسكان الاقتصادى - - ارض المشمش, الخانكة, القليوبية.",224560
مكاتب العمل,مكتب العمل - الخليفة,"45 ش القلعة, الخليفة, القاهرة.",224528
مكاتب العمل,مكتب العمل - الداخلة,"قرية موط, الداخلة, الوادى الجديد.",271810
مكاتب العمل,مكتب العمل - الدخيلة,"., الهانوفيل, الاسكندرية.",224615
مكاتب العمل,مكتب العمل - الدرب الاحمر,"317 ش بورسعيد, السيدة زينب, القاهرة.",224290
مكاتب العمل,مكتب العمل - الدقى,"23 ش السودان, الدقى, الجيزة.",67487
مكاتب العمل,مكتب العمل - الدلنجات,"عمارة التعاون - ش عرابى, الدلنجات, البحيرة.",270837
مكاتب العمل,مكتب العمل - الرحمانية,"ش داير الناحية, الرحمانية, البحيرة.",270833
مكاتب العمل,مكتب العمل - الروضة,"., الروضة, دمياط.",270848
مكاتب العمل,مكتب العمل - الرياض,"بلوك 1 - - مجمع المروة التجارى, الرياض, كفر الشيخ.",270299
مكاتب العمل,مكتب العمل - الزاوية الحمراء,"بلوك 188 - مساكن الزاوية - ش منشية الجمل, الزاوية الحمراء, القاهرة.",224491
مكاتب العمل,مكتب العمل - الزرقا,"ش المحطة, الزرقا, دمياط.",270845
مكاتب العمل,مكتب العمل - الزقازيق 1,"الصيادين, الزقازيق, الشرقية.",270574
مكاتب العمل,مكتب العمل - الزقازيق 2,"الصيادين, الزقازيق, الشرقية.",270575
مكاتب العمل,مكتب العمل - الزهور,"30 ب مساكن عمر بن عبد العزيز, الشقة 1, حى الزهور, بور سعيد.",269980
مكاتب العمل,مكتب العمل - الزيتون,"27 برج الفتح - ش عين شمس - الدور 2, حلمية الزيتون, القاهرة.",223799
مكاتب العمل,مكتب العمل - الزينية,"حى الصيادين - الزينية, الاقصر, الاقصر.",271356
مكاتب العمل,مكتب العمل - الساحل,"5 ش محمد الخلفاوى, شبرا, القاهرة.",108305
مكاتب العمل,مكتب العمل - الساحل,"المساكن الشعبية - ش الجمهورية, ساحل سليم, اسيوط.",271029
مكاتب العمل,مكتب العمل - السادات,"الحى الاول - السوق التجارى, مدينة السادات, المنوفية.",270663
مكاتب العمل,مكتب العمل - السباعية,"الشارع الرئيسى, السباعية غرب, اسوان.",271269
مكاتب العمل,مكتب العمل - السلام 1,"بلوك 24 - مساكن اطلس 1 -, مدينة السلام, القاهرة.",223987
مكاتب العمل,مكتب العمل - السلام 2,"بلوك 5 - مساكن الصعيد ج -, مدينة السلام, القاهرة.",272350
مكاتب العمل,مكتب العمل - السلوم,"., السلوم, مرسى مطروح.",272134
مكاتب العمل,مكتب العمل - السنبلاوين,"ش سعد زغلول, السنبلاوين, الدقهلية.",271104
مكاتب العمل,مكتب العمل - السنطة,"ش قاسم بدير, السنطة, الغربية.",270334
مكاتب العمل,مكتب العمل - السيدة زينب,"30 ش عمر بن عبد العزيز, السيدة زينب, القاهرة.",224516
مكاتب العمل,مكتب العمل - الشرابية,"بلوك 54 - مساكن الشرابية - , الشرابية, القاهرة.",108308
