Category,Name,Address,ID
مراكز التأهيل الاجتماعى,الجمعية المصرية لرعاية وتاهيل الصم وضعاف السمع,"21 ش ابو بكر الصديق, ميدان المحكمة, مصر الجديدة, القاهرة.",195324
مراكز التأهيل الاجتماعى,المركز الشامل للتأهيل الاجتماعى,"ش الحرية, الكورنيش, المنيا.",186744
مراكز التأهيل الاجتماعى,المركز الشامل للتأهيل الاجتماعى لذوى الاحتياجات الخاصة,"ش خالد بن الوليد, نصر النوبة, اسوان.",364890
مراكز التأهيل الاجتماعى,المركز النموذجى لرعاية وتوجيه المكفوفين,"184 ش جسر السويس, جسر السويس, القاهرة.",206039
مراكز التأهيل الاجتماعى,المركز للتأهيل الاجتماعى لذوى الاحتياجات الخاصة,"طريق السادات, وسط البلد, اسوان.",364889
مراكز التأهيل الاجتماعى,مؤسسة يوم المستشفيات للتنمية والتأهيل,"3 ش حلوان, السيدة زينب, القاهرة.",365014
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى لذوى الاحتياجات الخاصة,"مساكن الاسكان الصناعى -, شبرا الخيمة, القليوبية.",207568
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى للمعاقين,"ش الشهيد نبيل الباجورى - الصيادين, الزقازيق, الشرقية.",367585
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى للمعاقين,"ش شوقى تقاطع ش سعيد, طنطا, الغربية.",367590
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى للمعاقين,"قرية شبرا بلولة, منوف, المنوفية.",367595
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى للمعاقين,"ش الجيش, العريش, شمال سيناء.",367599
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى للمعاقين - القصير,"ش فاطمة الزهراء, وسط البلد, القصير.",367597
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل الاجتماعى للمعاقين - شبشير الحصة,"قرية شبشير الحصة, طنطا, الغربية.",367592
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل للمعاقين - المنصورة,"ش عمر بن الخطاب متفرع من ش الجيش, المنصورة, الدقهلية.",367518
مراكز التأهيل الاجتماعى,مركز التأهيل الشامل للمعوقين,"3 ش المحلة, عرايشية مصر, الاسماعيلية.",183382
مراكز التأهيل الاجتماعى,مركز تأهيل الفتيات المعاقات,"شرق الخزان, الفتح, اسيوط.",364874
مراكز التأهيل الاجتماعى,مركز تأهيل جمعية النور والامل لرعاية الكفيفات,"16 ش ابو بكر الصديق, ميدان المحكمة, مصر الجديدة, القاهرة.",367517
مراكز التأهيل الاجتماعى,مركز تأهيل ورعاية الاطفال ذوى الاحتياجات الخاصة - اى كيو,"فيلا 1 ش 250, ميدان كلية النصر, سرايات المعادى, المعادى, القاهرة.",636970
مراكز التأهيل الاجتماعى,مكتب التأهيل الاجتماعى للمعاقين - مدينة نصر,"1 بلوك 113 ش جمال سالم, الحى السابع, مدينة نصر, القاهرة.",367086
مراكز التأهيل الاجتماعى,مكتب التأهيل الشامل الاجتماعى للمعاقين,"ش الجيش, حى الاربعين, السويس.",187219
