Category,Name,Address,ID
توريدات صناعية,كرا مصر,"قطعة 4 - 5 - بلوك 12016 ش 110, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",468321
توريدات صناعية,ايجى رول,"كم 19 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",209394
توريدات صناعية,الرواد للتوريدات الصناعية واللحام - م. اميمة ايوب,"412 برج العدل ش جمال عبد الناصر, الدور 4, المندرة, الاسكندرية.",295765
توريدات صناعية,عمرو الشملى للتوريدات العمومية ومستلزمات المصانع,", الاردنية, العاشر من رمضان, الشرقية.",688926
توريدات صناعية,العاصمة اليكتريك للتوريدات العمومية والكهربائية,"الوحدة 23, الاردنية, العاشر من رمضان, الشرقية.",689130
توريدات صناعية,جلوبال تريد للتوريدات العمومية,"الوحدة 42, مركز المدينة, العاشر من رمضان, الشرقية.",689133
توريدات صناعية,الشركة المصرية السويدية لاسلاك اللحام,"كم 23, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",132394
توريدات صناعية,سيجما للتوريدات والمقاولات الكهربائية,", الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",146838
توريدات صناعية,شركة تكنو ستيل للتجارة والمقاولات العامة,", العاشر من رمضان, الشرقية.",689126
توريدات صناعية,غلاب مصر للتوريدات العامة والمقاولات,"12 ش احمد عرابي, حى الاربعين, السويس.",689468
توريدات صناعية,شركة الألمانية ماشين لصناعة ماكينات التعبئة والتغليف,"قطعة 298, مجمع الروبيكى الصناعى, العاشر من رمضان, الشرقية.",687840
توريدات صناعية,داود باك لمواد التعبئة والتغليف,"القطعة 344, المنطقة الصناعية الثالثة - الروبيكى - جنوب غرب 6أ, العاشر من رمضان, الشرقية.",472586
توريدات صناعية,الباسل للصناعات الخشبية,"قطعة 13:4 - بلوك ج, المنطقة الصناعية - طريق بلبيس العاشر - 80 فدان, العاشر من رمضان, الشرقية.",668848
توريدات صناعية,النورس للعوازل ذاتية اللصق والطباعة,"القطعة 408، 418, المنطقة الصناعية الثالثة - مجمع مصر ايطاليا, العاشر من رمضان, الشرقية.",688844
توريدات صناعية,عفيفى لتصنيع البالتات والصناديق الخشبية,", المنطقة الصناعية الثانية, برج العرب الجديدة, الاسكندرية.",686784
توريدات صناعية,سمارت سيل لمستلزمات المصانع والتوريدات العمومية,", الاردنية - عمارات المشروع الاستثمارى 2 - معرض 6, العاشر من رمضان, الشرقية.",689442
توريدات صناعية,الاسراء للتجارة والتوريدات,"ش مجمع الرحمن, طلخا, الدقهلية.",695092
توريدات صناعية,الجمهورية جلوبال للعجل الصناعى والروافع,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",679508
توريدات صناعية,الشافعى ستيل للصناعات الهندسية وماكينات التعبئة والتغليف,", المنطقة الصناعية, بلبيس, الشرقية.",680878
توريدات صناعية,الشركة الدولية لصناعة وتجارة البتروكيماويات - سانت بلاست,"ش الشركات الجديد, متفرع من طريق مصر اسماعلية الزراعى, مسطرد, القليوبية.",619481
توريدات صناعية,الشيمى جروب للتوريدات الصناعية,"122 ش الغزالى, المنشية, الاسكندرية.",694985
توريدات صناعية,الفارس العربى لصناعة البلاستيك,"القطعة 174, المنطقة الصناعية B3, العاشر من رمضان, الشرقية.",474968
توريدات صناعية,اليكس لوب للتوريدات الصناعية,"37 ش جبل الزينون, القبارى, الاسكندرية.",694109
توريدات صناعية,ام اند ام للتوريدات,"31, حارة ابو الشوارب, عابدين, القاهرة.",694984
توريدات صناعية,ثرى ام ايه للتوريدات التجارية,"2120 ش الارقم بن ابى الارقم, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",688873
توريدات صناعية,سمارت فيجن للتوريدات,"30 ش احمد الشاطورى, الدقى, الجيزة.",689693
توريدات صناعية,سوق العدة للتوريدات الصناعية,", الحى الثانى, برج العرب الجديدة, الاسكندرية.",694622
توريدات صناعية,سيجما للتوريدات,"5, ميدان سانت كاترين, المنشية, الاسكندرية.",13829
توريدات صناعية,صن انترناشيونال للتوريدات العمومية,"56 عمارة سموحة هايتس ش فوزى معاذ, سموحة, الاسكندرية.",694122
توريدات صناعية,فلامنجو باك للشكائر المنسوجة,"القطعة 143, المنطقة الصناعية A4, العاشر من رمضان, الشرقية.",688463
توريدات صناعية,كابيتال للتوريدات الصناعية,"95 ابراج امتداد الامل, المعادى, القاهرة.",687521
توريدات صناعية,مؤسسة كيان للتوريدات,"13 برج لؤلؤة سموحة ش كمال الدين صلاح, سموحة, الاسكندرية.",689939
توريدات صناعية,مجمع عمال مصر,"القطعة 92 و 93, مجمع CPC الصناعى, السادس من اكتوبر, الجيزة.",564463
توريدات صناعية,مصر للهندسة والتجارة - اى جى اى تى,", الاردنية - ابراج سما - وحدة 7, العاشر من رمضان, الشرقية.",688920
