Category,Name,Address,ID
مدارس لغات,مدرسة جرين فالى,"ش موسى بن نصير, متفرع من محور السادات, الحى الاول, مدينة العبور, القليوبية.",101421
مدارس لغات,مدرسة هارفارد الدولية للغات,"ش المدارس تقاطع ش مصطفى كامل مع ش 45 - العمراوى الصغرى, ميامى الجديدة, الاسكندرية.",617198
مدارس لغات,اكاديمية طيبة للغات,"ش شركة سيكلام متفرع من ش مصطفى كامل, المنتزة, المنتزه, الاسكندرية.",471503
مدارس لغات,البريطانية لتعليم اللغات - لينغوافون,"119 ش احمد شوقى, رشدى, الاسكندرية.",437358
مدارس لغات,الراهبات الفرنسيسكانيات قلب مريم الطاهر,"29 ش النبى دانيال, محطة الرمل, الاسكندرية.",24662
مدارس لغات,الصفا سكول الخاصة,"ش التروللى, المرج, القاهرة.",664474
مدارس لغات,الكلية البطريركية,"38 ش كليوباترا ميدان صلاح الدين, مصر الجديدة, القاهرة.",312192
مدارس لغات,الكلية البطريركية الابتدائية المشتركة لغات,"42 ش عمر بن الخطاب, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",602648
مدارس لغات,الليسيه الفرنسية,"ش احمد بدوى المجاورة الرابعة - مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",472062
مدارس لغات,المدارس القومية بالعجوزة,"25 ش الفالوجا, العجوزة, الجيزة.",121820
مدارس لغات,المدارس المصرية الرائدة للغات,"ش مكة المكرمة المجاورة الثالثة, الحى السابع, السادس من اكتوبر, الجيزة.",61101
مدارس لغات,المدرسة الاسلامية الثانوية الخاصة,"., دلة, الفيوم.",229437
مدارس لغات,المدرسة الانجيلية الحديثة الخاصة,"17 ش الحريرى, كوبرى القبة, القاهرة.",665546
مدارس لغات,المدرسة الانجيلية الخاصة,"1 ش محمد وهبة, متفرع من ش د. عبد الوهاب, الساحل, القاهرة.",661275
مدارس لغات,المدرسة البريطانية للغات,"ش رضوان متفرع من ش الهانوفيل, الهانوفيل, الاسكندرية.",55918
مدارس لغات,المدرسة الدولية الحديثة - سيد جلال,"5,6 ب - مجمع المدارس, مدينة الشروق, القاهرة.",563911
مدارس لغات,المدرسة الماسية للغات,"ش سليمان البنا متفرع من ش الهرم, حسن محمد, الهرم, الجيزة.",140892
مدارس لغات,المدرسة المصرية الانجليزية للغات,"ش مصطفى كامل, المندرة, الاسكندرية.",468555
مدارس لغات,المدرسة المصرية الجديدة,"20 ش عبد الرحمن الرافعى, ميدان الحجاز, مصر الجديدة, القاهرة.",230547
مدارس لغات,المدرسة الملكية الخاصة للغات,"ميدان النجدة - المجاورة الثالثة, الحى الرابع, السادس من اكتوبر, الجيزة.",56626
مدارس لغات,المدرسة اليابانية بالقاهرة,"ش المجزر الالى - نزلة البطران, المريوطية, الهرم, الجيزة.",7477
مدارس لغات,ام اى اس - مدارس التربية الحديثة,"ش 2 - المنطقة الاولى - الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",142220
مدارس لغات,ام ايه اس - مدرسة مودرن افينيو,"1 ش نعمان جمعة, متفرع من ش الشعراوى, الحى الثانى, مدينة العبور, القليوبية.",367478
مدارس لغات,انتجريتد مودرن سكول,"قطعة 5 - بلوك د, الشطر 13, زهراء المعادى, المعادى, القاهرة.",414707
مدارس لغات,اورمان كولدج,"المجاورة الاولى - الحى 11, الشيخ زايد, السادس من اكتوبر, الجيزة.",605807
مدارس لغات,ايجيبت سكول,"3 /16 ك, حدائق الاهرام, الهرم, الجيزة.",670971
مدارس لغات,براعم كايرو سكول,"ش يوسف ابو زيد, متفرع من ش عبد الله الرفاعى, المرج, القاهرة.",664500
مدارس لغات,براعم مودرن سكول,"11 ش البشرى, متفرع من ش عين شمس, حلمية الزيتون, القاهرة.",109621
مدارس لغات,سان فنسان دى بول,"38 ش ابى الدرداء, اللبان, الاسكندرية.",24565
مدارس لغات,طلائع مودرن سكول,"ش عبد العزيز عبد الدايم, متفرع من ش احمد عصمت, عين شمس الشرقية, القاهرة.",109622
مدارس لغات,كايرو سكول,"ش يوسف ابو زيد, متفرع من ش عبد الله الرفاعى, المرج, القاهرة.",664501
مدارس لغات,كلية البنات القبطية,"19 ش السرايات, عباسية, القاهرة.",130410
مدارس لغات,كلية النصر,"ش 250, دجلة, المعادى, القاهرة.",49476
مدارس لغات,كلية دو لا مير دو ديو,"132 ش الشهيد جلال الدسوقى, وابور المياه, الاسكندرية.",255646
مدارس لغات,كلية سان مارك,"ش بورسعيد, الشاطبى, الاسكندرية.",41349
مدارس لغات,كونتيننتال بالاس سكول,"ش 34, حدائق الاهرام, الهرم, الجيزة.",677522
مدارس لغات,ليسيه الحرية,"119 ش الاسكندر الاكبر, الشاطبى, الاسكندرية.",41309
مدارس لغات,مجموعة مدارس القاهرة الدولية,"بلوك 10, امتداد ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",61108
مدارس لغات,مدارس ابن سينا,"19 ش منشية البكارى, المريوطية, الهرم, الجيزة.",192596
مدارس لغات,مدارس ابن لقمان الخاصة للغات,"6 ش ذو الفقار, حلوان, القاهرة.",172575
مدارس لغات,مدارس ابن مسعود الخاصة,"60 ش محمد سعيد, البساتين, القاهرة.",235473
مدارس لغات,مدارس ابيدوس الخاصة,"ش المدينة المنورة, مدينة السلام, القاهرة.",661986
مدارس لغات,مدارس اجيال المتكاملة للغات,"الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",57121
مدارس لغات,مدارس اخناتون المصرية للغات,"ش اخناتون, متفرع من ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",107912
مدارس لغات,مدارس ال عثمان الازهرية للغات,"عمارات نيركو, الشطر الخامس, زهراء المعادى, المعادى, القاهرة.",471321
مدارس لغات,مدارس الاسراء الخاصة,"29 ش حسن العطار, متفرع من ش الفيوم, دار السلام, القاهرة.",235491
مدارس لغات,مدارس الاصدقاء الخاصة,"ش المنشية, الطوابق, فيصل, الجيزة.",216849
مدارس لغات,مدارس الالسن للغات,"96 ش حمودة محمود, الحى الثامن, مدينة نصر, القاهرة.",101324
مدارس لغات,مدارس الالفية الثالثة للغات - ام ال اس,"طريق القطامية العين السخنة, ارض الاستثمار - مبنى 3أ, القطامية, القاهرة.",101226
مدارس لغات,مدارس الامال الخاصة,"17 ش اسماعيل الليثى, متفرع من ش الفيوم, دار السلام, القاهرة.",136812
مدارس لغات,مدارس الامتياز للغات,", المجاورة الثامنة, المعراج السفلى, زهراء المعادى, المعادى, القاهرة.",563487
مدارس لغات,مدارس الامجاد الخاصة,"ش 300, المعادى الجديدة, المعادى, القاهرة.",174194
مدارس لغات,مدارس الامل للغات,"18 ش 105, المعادى, القاهرة.",120772
مدارس لغات,مدارس الاوائل الخاصة,"طريق ابو حماد - قرية شوبك بسطة - عزبة خليل موسى, الزقازيق, الشرقية.",114748
مدارس لغات,مدارس الاورمان اكاديمى للغات,"ش الاورمان اكاديمى, المريوطية, الهرم, الجيزة.",124985
مدارس لغات,مدارس الاورمان الثانوية الفندقية والكمبيوتر,"عمارات نيركو - , زهراء المعادى, المعادى, القاهرة.",125918
مدارس لغات,مدارس الاورمان الثانوية الفندقية والكمبيوتر,"36 ش ترعة السواحل, امبابة, الجيزة.",155814
مدارس لغات,مدارس الاورمان الذكية,"القطعة 8 ش اسماعيل مرشد, الحى العاشر, مدينة نصر, القاهرة.",662634
مدارس لغات,مدارس الايمان للغات,"طريق دمو - كفور النيل, وسط البلد, الفيوم.",397291
مدارس لغات,مدارس الايمن الخاصة,"ش مدارس الايمن, مدينة السلام, القاهرة.",234188
مدارس لغات,مدارس التقدم الخاصة بنات,"ش حسن الشريف, متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",563754
مدارس لغات,مدارس التيسير الخاصة,", امتداد ش جمال عبد الناصر, جسر السويس, القاهرة.",215770
مدارس لغات,مدارس الجزيرة للغات,"12 ش العزيز عثمان, الزمالك, القاهرة.",221367
مدارس لغات,مدارس الجولف للغات,"محلية 8، ش مختار التتشالحى الاول, مدينة العبور, القليوبية.",49802
مدارس لغات,مدارس الجيل الجديد للغات,"طريق القطامية العين السخنة الجديد, القطامية, القاهرة.",157644
مدارس لغات,مدارس الحافظ سكول الخاصة,"ش جمال عبد الناصر, الحرفيين, القاهرة.",208131
مدارس لغات,مدارس الحرمين الخاصة للغات,"مساكن اسكان النقابات - الجامع, التجمع الثالث, القاهرة الجديدة, القاهرة.",174521
مدارس لغات,مدارس الحرية للغات,"18 ش هارون, الدقى, الجيزة.",67699
مدارس لغات,مدارس الخطيب الجديدة الخاصة,"ش مصطفى الشريف, المرج, القاهرة.",174178
مدارس لغات,مدارس الخلفاء الراشدين الخاصة,"1 ش محمد رضا, متفرع من ش عبد الحميد مكى, حدائق المعادى, المعادى, القاهرة.",116693
مدارس لغات,مدارس الخليل الخاصة,"5 ش الخليل ابراهيم, حدائق المعادى, المعادى, القاهرة.",355784
مدارس لغات,مدارس الخليل للغات,"القطعة السادسة - ش 16 المجاورة الثالثة, الحى الثامن, السادس من اكتوبر, الجيزة.",273339
مدارس لغات,مدارس الرائد المتكاملة,"كم 22, طريق مصر الاسماعيلية الصحراوى, القاهرة.",273327
