Category,Name,Address,ID
دار مسنين ورعاية منزلية,اكاديمية صدقى لرعاية كبار السن,"فيلا 128 ش 6 - الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",437737
دار مسنين ورعاية منزلية,الديار,"39 ش الشهيد احمد ابو النجا, التجمع الخامس, القاهرة الجديدة, القاهرة.",659043
دار مسنين ورعاية منزلية,الشفاء والرحمة لرعاية المسنين,", ., حلوان, القاهرة.",626653
دار مسنين ورعاية منزلية,الشهاب للخدمات التمريضية,"5 ش الخمسين, تقسيم الرقابة الادارية, زهراء المعادى, المعادى, القاهرة.",680449
دار مسنين ورعاية منزلية,الفراعنة كير,"121 ش الملكة, متفرع من ش العشرين, فيصل, الجيزة.",674319
دار مسنين ورعاية منزلية,الكرمة للرعاية الطبية المنزلية,"3 ج ش المقاولون العرب, ميدان بقطر, النزهة, مصر الجديدة, القاهرة.",669291
دار مسنين ورعاية منزلية,اوولد سيتى لرعاية المسنين بالمنزل,"31 ش سليم الاول, الدور 2, حدائق الزيتون, القاهرة.",637148
دار مسنين ورعاية منزلية,بيت العيلة,", الحى الرابع - المنطقة الرابعة, التجمع الخامس, القاهرة الجديدة, القاهرة.",133206
دار مسنين ورعاية منزلية,تيبيكال كير,"86 ش عباس العقاد, الدور 4, المنطقة الاولى, مدينة نصر, القاهرة.",646196
دار مسنين ورعاية منزلية,جمعية استبرق لرعاية المسنين,"ش سيدى كمال متفرع من ش جمال عبد الناصر, المندرة البحرية, الاسكندرية.",253533
دار مسنين ورعاية منزلية,جمعية السيدات الارمن,"44 ش على ابراهيم رامز, ميدان هليوبوليس, مصر الجديدة, القاهرة.",117101
دار مسنين ورعاية منزلية,جمعية السيدات القبطية الارثوذكسية,"15 ش عنب, المحلة الكبرى, الغربية.",180005
دار مسنين ورعاية منزلية,جمعية المحبة,"22 ش حمدى, الظاهر, القاهرة.",284720
