Category,Name,Address,ID
وكالات اعلان,يلوميديا - يلوبيدجز مصر,"6 أ/ 18, تقاطع شارعى 205 مع 253, دجلة, المعادى, القاهرة.",44735
وكالات اعلان,وكالة الاوائل للخدمات الدعائية والاعلان المرئى,"برج مكة ش 24, أرض الفضالى, سيدى بشر قبلى, الاسكندرية.",528774
وكالات اعلان,سمارت ساينز,"79 ش مصدق, الدقى, الجيزة.",583882
وكالات اعلان,مؤسسة النمر الفضى,", ميدان ليلة القدر, الحى الخامس, السادس من اكتوبر, الجيزة.",608877
وكالات اعلان,عامر للطباعة والتصميم,"7 ش السيد مازن, متفرع من ش طه حسين, النزهة الجديدة, القاهرة.",223896
وكالات اعلان,هاى جرافيكس,"9 بلوك 42, محور جمال عبد الناصر, السادس من اكتوبر, الجيزة.",612681
وكالات اعلان,بست برنت,"4 ش قمبيز, ميدان الاسماعليه, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",113630
وكالات اعلان,سان اند سام,"33 ش سوريا, الدور 5, المهندسين, الجيزة.",518849
وكالات اعلان,وكالة اتراكت للدعاية والاعلان,"3 و ش دار الدفاع الجوى, تقسيم اسماء فهمى, مصر الجديدة, القاهرة.",383872
وكالات اعلان,لايتيلا جروب,"ش 112, مدينة العبور, القليوبية.",694130
وكالات اعلان,السعدنى للطباعة,"ش مسجد قباء, متفرع من طريق ام زغيو, ام زغيو, الاسكندرية.",545652
وكالات اعلان,بكسيل للطباعة والاعلان,"3 ش عبد الله العربى, امتداد ش الطيران, الحى السابع, مدينة نصر, القاهرة.",60228
وكالات اعلان,الخضر للصناعة والتجارة - ايه بى اس - سامحكو,"كم 3 طريق الزقازيق ابو حماد, الزقازيق, الشرقية.",515553
وكالات اعلان,وى جروب,"13 ج ش على ابن ابى طالب, متفرع من طريق الواحات, القطاع الاستثمارى, الفردوس, السادس من اكتوبر, الجيزة.",216074
وكالات اعلان,فيرست تيم,"46 ش على امين, مدينة نصر, القاهرة.",695202
وكالات اعلان,اور فيجن للدعاية والاعلان والطباعة,"62 ب ش ابو المحاسن الشاذلى, العجوزة, الجيزة.",388140
وكالات اعلان,بلو بيرد للدعاية والاعلان,"5 عمارات العرايس ش خالد بن الوليد, تقاطع طريق الاوتوستراد, المعادى الجديدة, المعادى, القاهرة.",691632
وكالات اعلان,كونتراست لحلول الطباعة,"1 عمارات الشركة السعودية ش النزهة, مصر الجديدة, القاهرة.",55766
وكالات اعلان,بانوراما للطباعة والاعلان,"266 ش الفريق عزيز المصرى, جسر السويس, القاهرة.",15480
وكالات اعلان,ايجى ليد للصناعات - ش.م.م,"1 ش مكرم عبيد, مدينة نصر, القاهرة.",162145
وكالات اعلان,راما ديزاين,"4 ش على فخرى, الشقة 401, الدور 4, متفرع من عبد السلام عارف, سابا باشا, الاسكندرية.",40453
وكالات اعلان,ارت سيفن للخدمات الاعلانية المتكاملة,"51, المجاورة الاولى, المحور المركزي, الحى الثالث, السادس من اكتوبر, الجيزة.",494248
