Category,Name,Address,ID
مديريات الطرق والنقل,مديرية الطرق والنقل - اسوان,"ش ابطال التحرير, وسط البلد, اسوان.",246622
مديريات الطرق والنقل,مديرية الطرق والنقل - اسيوط,"مبنى أ - - مجمع المصالح الحكومية - الدور 8, اسيوط, اسيوط.",246617
مديريات الطرق والنقل,مديرية الطرق والنقل - الاسكندرية,"10 ش محمد صالح ابو يوسف, سابا باشا, الاسكندرية.",228258
مديريات الطرق والنقل,مديرية الطرق والنقل - الاسماعيلية,"91 مساكن التمليك -, الشيخ زايد, الاسماعيلية.",246610
مديريات الطرق والنقل,مديرية الطرق والنقل - الاقصر,"ش حافظ متفرع من ش الصنايع, الاقصر, الاقصر.",228259
مديريات الطرق والنقل,مديرية الطرق والنقل - البحيرة,"4 ش مدينة قونيا, دمنهور, البحيرة.",246609
مديريات الطرق والنقل,مديرية الطرق والنقل - الجيزة,"284 ش السودان, المهندسين, الجيزة.",228248
مديريات الطرق والنقل,مديرية الطرق والنقل - الدقهلية,"ش قناة السويس - جديلة, المنصورة, الدقهلية.",246628
مديريات الطرق والنقل,مديرية الطرق والنقل - السويس,"ش عمر بن عبد العزيز متفرع من طريق العبور, حى الاربعين, السويس.",246977
مديريات الطرق والنقل,مديرية الطرق والنقل - الشرقية,"ش عز الدين حافظ - الحكماء, الزقازيق, الشرقية.",246629
مديريات الطرق والنقل,مديرية الطرق والنقل - الغربية,"الطريق السريع, طنطا, الغربية.",246630
مديريات الطرق والنقل,مديرية الطرق والنقل - الفيوم,"ش سعد زغلول, دلة, الفيوم.",246613
مديريات الطرق والنقل,مديرية الطرق والنقل - القاهرة,"ميدان التحرير, وسط البلد, القاهرة.",228246
مديريات الطرق والنقل,مديرية الطرق والنقل - القليوبية,"ش فريد ندا - اتريب, بنها, القليوبية.",228257
مديريات الطرق والنقل,مديرية الطرق والنقل - المنوفية,"ش جمال عبد الناصر, شبين الكوم, المنوفية.",246608
مديريات الطرق والنقل,مديرية الطرق والنقل - المنيا,"ش الجيش, وسط البلد, المنيا.",246615
مديريات الطرق والنقل,مديرية الطرق والنقل - الوادى الجديد,"ش جمال عبد الناصر, الخارجة, الوادى الجديد.",246980
مديريات الطرق والنقل,مديرية الطرق والنقل - بنى سويف,"ِش سعد زغلول, بنى سويف, بنى سويف.",246611
مديريات الطرق والنقل,مديرية الطرق والنقل - بورسعيد,"ش عادل الشربينى تقاطع ش 23 ديسمبر, حى الشرق, بور سعيد.",246624
مديريات الطرق والنقل,مديرية الطرق والنقل - دمياط,"ش سعد زغلول, دمياط, دمياط.",246626
مديريات الطرق والنقل,مديرية الطرق والنقل - سوهاج,"مدينة ناصر, سوهاج, سوهاج.",246618
مديريات الطرق والنقل,مديرية الطرق والنقل - شمال سيناء,"ضاحية السلام, العريش, شمال سيناء.",246632
مديريات الطرق والنقل,مديرية الطرق والنقل - قنا,"ش مستشفى الهلال الاحمر, وسط البلد, قنا.",246621
مديريات الطرق والنقل,مديرية الطرق والنقل - كفر الشيخ,"ش المحافظة, وسط البلد, كفر الشيخ.",246979
