Category,Name,Address,ID
مفروشات,الشركة المصرية الايطالية للمفروشات والوبريات - مأمون النجار وشركاه,"كم 9 طريق المنصورة, سمنود, الغربية.",189894
مفروشات,مصنع مسك للكابتونيه والتطريز وتجارة الاقمشة,"73 ش كفر ابو صير, بركة النصر, مدينة السلام, القاهرة.",693642
مفروشات,جيرمان بد للمراتب والاسفنج والمفروشات,"ش المصنع, اشمون, المنوفية.",627692
مفروشات,ايجى فوما لصناعة الاسفنج والمراتب,"قطعة 15 أ ب ج - بلوك 22005, منطقة صناعية ب ج - اسكان الشباب, مدينة العبور, القليوبية.",568136
مفروشات,الرضوان سليب لصناعة المراتب والمفروشات العصرية,"برج الرضوان ش البحر, كوبرى السوق - حى مبارك, كفر صقر, الشرقية.",669213
مفروشات,مصنع ليزا للمراتب والمفروشات,"طريق سنتريس, الباجور, اشمون, المنوفية.",687129
مفروشات,شركة اجياد للاستيراد والتصدير,", مدخل المنطقه الصناعية - متفرع من الطريق الدائرى, المحلة الكبرى, الغربية.",496936
مفروشات,تريبل ارم للتعبئة,"97 ش الحسينى, تقسيم فريد زكى, حدائق حلوان, القاهرة.",133852
مفروشات,الشركة النظامية للصناعة والتجارة,"83 ش نعمان الاعصر, المحلة الكبرى, الغربية.",158186
مفروشات,خيوط مصرية,"29 ش يثرب, ناصية ش الحسين, المهندسين, الجيزة.",576196
مفروشات,شركة بانوب للصناعة - بانوتكس,", منطقة الراهبين الصناعية, المحلة الكبرى, الغربية.",127670
مفروشات,فانتازيا بد,", بلوك 35 و 36 د - المرحلة الثانية - المنطقة الصناعية, جمصة, الدقهلية.",536723
مفروشات,لاكازا للمفروشات,"3 /2 ش 216, الدور 1, امتداد ش اللاسلكى, دجلة, المعادى, القاهرة.",126735
مفروشات,مراتب فيمارك,"القطعة 17 - بلوك 20010 ش 151, الامتداد الغربى, مدينة العبور, القليوبية.",310617
مفروشات,مصنع نهضة سمنود,"ش السكة الحديد, ارض سماحة, المحلة الكبرى, الغربية.",119251
مفروشات,ابتهال للمفروشات,"6 ش عمر بن الخطاب, شبين الكوم, المنوفية.",533610
مفروشات,ابداع,"ش جمال عبد الناصر, كفر شكر, القليوبية.",311003
مفروشات,ابراهيم,"ش علاء الدين, العرب, المعادى, القاهرة.",412043
مفروشات,ابراهيم القصاص,"ش سعد زغلول, كفر الزيات, الغربية.",343367
مفروشات,ابراهيم عامر للمفروشات,"106 ش مسجد العطارين, العطارين, الاسكندرية.",198255
مفروشات,ابراهيم كامل للمفروشات,"ش الفنار, المسبط, دهب.",148990
مفروشات,ابراهيم وسلمى للمفروشات,"25 ش المجيرة, ابو زعبل, القليوبية.",518035
مفروشات,ابن الصعيد,"ش التحرير, قنطرة غرب, الاسماعيلية.",371045
مفروشات,ابن الملك للمفروشات,"51 ش كمال هويدى, العمرانية الغربية, الهرم, الجيزة.",489328
