Category,Name,Address,ID
سكر,ال سان مايكل للتجارة,"14 ش الالفى - الدور 5 شقة 504, وسط البلد, القاهرة.",154663
سكر,الاسكندرية للسكر - ايه اس سى,"9 ش المصانع, الحى السادس, مدينة نصر, القاهرة.",258165
سكر,البريطانية المصرية لتجارة السكر,"87 ش 9, المعادى, القاهرة.",263910
سكر,الدقهلية للسكر,"14 ش جواد حسنى, وسط البلد, القاهرة.",8174
سكر,السكر للصناعات التكاملية المصرية,"طريق مصر اسيوط الزراعى, الحوامدية, الجيزة.",63659
سكر,الفيوم لصناعة السكر,"50 ب ش الجمهورية, وسط البلد, القاهرة.",138082
سكر,المصرية,"22 ش الترعة الشرقاوية الغربية, شبين القناطر, القليوبية.",518426
سكر,النوبارية لصناعة وتكرير السكر,"كم 129 - - منطقة العلامة, وادى النطرون, البحيرة.",119330
سكر,النوران,"5 ش انقرة, مساكن شيراتون, مصر الجديدة, القاهرة.",582237
سكر,النوران للتجارة المتعددة,"237 ش الحجاز, مصر الجديدة, القاهرة.",124139
سكر,النيل للسكر,"162 ب ش 26 يوليو, العجوزة, الجيزة.",294531
سكر,جلوبال مولاسيز,", الحى 17 - بفرلى هيلز - مبنى 225R, الشيخ زايد, السادس من اكتوبر, الجيزة.",652600
سكر,د. محمود الدمرداش القاضى,"133 ش شبرا, شبرا, القاهرة.",431194
سكر,شركة الزيادى للتجارة والتوزيع,"14 عمارات العبور ش صلاح سالم, مصر الجديدة, القاهرة.",685522
سكر,شركة دلتا للسكر,"20 ش سالم سالم, العجوزة, الجيزة.",142268
سكر,شركة مصر للسكر,"4 ش رشدان, الدقى, الجيزة.",18125
سكر,غزالة للتجارة وتوزيع السكر,"طريق سقارة السياحى, المريوطية, الهرم, الجيزة.",426369
سكر,فود لاين - المتحدة للصناعات الغذائية,"ش 54 متفرع من ش 7 - المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",159676
سكر,مالتى تريد,"1 ش البورصة الجديدة, وسط البلد, القاهرة.",59614
سكر,نايل جروب للتصدير والاستيراد والتوكيلات التجارية,"5 أ ش غرناطة, روكسى, مصر الجديدة, القاهرة.",124011
