Category,Name,Address,ID
جلود ودباغة,6 اكتوبر,"15 ش قبلى العيون, مصر القديمة, القاهرة.",135438
جلود ودباغة,ابراهيم احمد والى,"28 ش الشهيد مصطفى حافظ, المنشية, الاسكندرية.",199631
جلود ودباغة,ابراهيم اديب,"25 ش الجامع الاحمر, العتبة, القاهرة.",185319
جلود ودباغة,ابراهيم جمال النادى,"52 ش الموسكى, الموسكى, القاهرة.",266260
جلود ودباغة,ابراهيم خليل حجازى,"4 ش بير حمص, باب الشعرية, القاهرة.",266732
جلود ودباغة,ابن السلطان,"16 ش الجنينة, الازبكية, القاهرة.",267235
جلود ودباغة,ابناء احمد الشافعى لدباغة الجلود,"ش د. عباسى - ارض المدابغ, المكس, الاسكندرية.",28088
جلود ودباغة,ابناء بورسعيد,"40 ش جمال عبد الناصر, المنيب, الجيزة.",212581
جلود ودباغة,ابو السعود,"ش 23 يوليو - ش البوسطة سابقا, الزقازيق, الشرقية.",286473
جلود ودباغة,ابو سمبل لدباغة الجلود,"27 ش السكة الحديد, فم الخليج, القاهرة.",193801
جلود ودباغة,ابو شادى للمصنوعات الجلدية,"156 ش فيصل, الكوم الاخضر, فيصل, الجيزة.",424364
جلود ودباغة,ابو شامة للصناعات الجلدية,"56 ش بطرس غالى, روكسى, مصر الجديدة, القاهرة.",667323
جلود ودباغة,ابو عرفة,"ش بورسعيد, بلبيس, الشرقية.",328361
جلود ودباغة,ابو على تريد,"43 ش 6 اكتوبر - وراق العرب, الوراق, الجيزة.",516822
جلود ودباغة,ابو محمد,"41 ش نجيب الريحانى, الازبكية, القاهرة.",267455
جلود ودباغة,اتش اتش للمصنوعات الجلدية,"19 ش عثمان بن عفان , مصر الجديدة, القاهرة.",209462
جلود ودباغة,احذية اليمانى,"36 ش صلاح الدين, مصر الجديدة, القاهرة.",235977
جلود ودباغة,احزمة رفاعى,"14 ش الحرية, المطرية, القاهرة.",259679
جلود ودباغة,احمد جلال للمصنوعات الجلدية,"106 ش حسن عطوة, حلمية الزيتون, القاهرة.",204795
جلود ودباغة,احمد عبد الرؤوف شفيق,"6 ش بئر حمص, باب الشعرية, القاهرة.",267297
جلود ودباغة,احمد فيديو,"4 ش الباب الاخضر, المنشية, الاسكندرية.",32034
جلود ودباغة,احمد محمود للمصنوعات الجلدية,"16 ش مصطفى حافظ, عين شمس الشرقية, القاهرة.",204124
جلود ودباغة,ادم,"ش مجلس المدينة, ايتاى البارود, البحيرة.",371149
جلود ودباغة,ارت للمصنوعات الجلدية,"31 عمارات ميلسا -, ارض الجولف, مصر الجديدة, القاهرة.",10103
جلود ودباغة,ارز لبنان لصناعة الجلود الصناعية,"65 ش سيد سويلم, دار السلام, القاهرة.",176226
جلود ودباغة,ارزاق,"., السوق القديم, شرم الشيخ.",258954
جلود ودباغة,اريج للمحافظ,"10 ش محمود بدر الدين متفرع من ش الحجاز, المهندسين, الجيزة.",563403
جلود ودباغة,اس اس,"6 ش بطرس غالى, روكسى, مصر الجديدة, القاهرة.",291837
جلود ودباغة,اس ان للمصنوعات الجلدية,"., وسط البلد, القاهرة.",218041
جلود ودباغة,اس تى ديبونت,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",167985
جلود ودباغة,اسامة للجلود,"5 ش وكالة السلحدار, خان الخليلى, القاهرة.",688670
جلود ودباغة,اسكاب للمصنوعات الجلدية,"54 ش رمسيس, روكسى, مصر الجديدة, القاهرة.",289464
جلود ودباغة,اسماعيل حافظ,"22 درب مصطفى, باب الشعرية, القاهرة.",266831
جلود ودباغة,اسماعيل حسنى,"497 ش بورسعيد, باب الشعرية, القاهرة.",472773
جلود ودباغة,اسواق ابن داوود للجلود,"98 ش الهرم, المريوطية, الهرم, الجيزة.",104304
جلود ودباغة,اشرف عبده,"41 ش نجيب الريحانى, الازبكية, القاهرة.",267193
جلود ودباغة,اشرف للمصنوعات الجلدية,"106 ش حسنى, الشرابية, القاهرة.",219858
جلود ودباغة,اصيل,"ش الظافر, السوق القديم, شرم الشيخ.",259487
جلود ودباغة,افريقيا للتصدير,"32 عمارة الاوقاف - ش الفلكى, باب اللوق, القاهرة.",61838
جلود ودباغة,اكسفورد جروب للاستيراد والتصدير,"56 ش 26 يوليو, المنشية, الاسكندرية.",30426
جلود ودباغة,ال ام كى جروب,"6 ش طيبة متفرع من ش جامعة الدول العربية - الدور 1, المهندسين, الجيزة.",603028
جلود ودباغة,الاحفاد,"25 درب الشرفة, باب الشعرية, القاهرة.",266819
جلود ودباغة,الاخلاص,"2 ش المزين متفرع من ش بورسعيد, الموسكى, القاهرة.",14875
جلود ودباغة,الاخلاص,"ش المكس - ارض المدابغ, المكس, الاسكندرية.",27827
جلود ودباغة,الاخلاص,"7 ش السكة الجديدة , المنشية, الاسكندرية.",199607
جلود ودباغة,الاخلاص للاستيراد والتصدير,"53 ش الطيران, منشية ناصر, القاهرة.",63870
جلود ودباغة,الاستاذ لدباغة الجلود وتصنيعها,"القطعة L17, الروبيكى, مدينة بدر, القاهرة.",488750
جلود ودباغة,الاسكندرية للمصنوعات الجلدية,"231 ش الجبل الشمالى, سقالة, الغردقة.",248122
جلود ودباغة,الاسلامية,"23 ش الدرب الاحمر, الدرب الاحمر, القاهرة.",377639
جلود ودباغة,الاقصر,"10 ش الفلكى, محطة الرمل, الاسكندرية.",33141
جلود ودباغة,الامانة,"ش قصبة رضوان, الدرب الاحمر, القاهرة.",384949
جلود ودباغة,الامانة لتجارة الجلود,"24 ش البنداقة متفرع من ش بورسعيد, الموسكى, القاهرة.",193421
جلود ودباغة,الامل,"14 ش القبة الفداوية, عباسية, القاهرة.",277594
جلود ودباغة,الامير,"21 ش بير حمص, باب الشعرية, القاهرة.",267121
جلود ودباغة,الباشا,"ش فوزى عبد الحكيم, ارض اللواء, الجيزة.",358209
جلود ودباغة,الباشا للمصنوعات الجلدية,"18 ش زغلول, الهرم, الجيزة.",274026
جلود ودباغة,البركة,"42 درب الانسية, الدرب الاحمر, القاهرة.",382411
جلود ودباغة,البرى للمصنوعات الجلدية,"2 ش نور المهدى, القلج, القليوبية.",564042
جلود ودباغة,البشات,"ش السوق العمومى, بلقاس, الدقهلية.",357396
جلود ودباغة,البو جروب,"40 ش العباسية, عباسية, القاهرة.",187519
جلود ودباغة,البو مصر,"17 ش الشعرانى, باب الشعرية, القاهرة.",649501
جلود ودباغة,البيسى,"45 ش الجلاء, فيكتوريا, الاسكندرية.",301054
جلود ودباغة,التمساح,"4 ش عماد الدين, وسط البلد, القاهرة.",12801
جلود ودباغة,التمساح,"ش عدلى يكن, وسط البلد, الفيوم.",282971
جلود ودباغة,التمساح,"ش على بن ابى طالب, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619667
جلود ودباغة,التمساح لدباغة الجلود,"مدابغ المكس, المكس, الاسكندرية.",61959
جلود ودباغة,التوأم,"36 درب اية, باب الشعرية, القاهرة.",266837
جلود ودباغة,التوحيد,"12 ش البنداقة, الموسكى, القاهرة.",13988
جلود ودباغة,التوحيد للمصنوعات الجلدية,"384 ش مصطفى كامل, فيكتوريا, الاسكندرية.",244890
جلود ودباغة,التيسير للمصنوعات الجلدية,"5 ش الدرب الجديد, الموسكى, القاهرة.",161060
جلود ودباغة,الجوكر للمصنوعات الجلدية,"144 ش القاهرة, سيدى بشر قبلى, الاسكندرية.",223675
جلود ودباغة,الجوهرة,"176 ش القومية العربية, باكوس, الاسكندرية.",40159
جلود ودباغة,الحاج حسن حلمى,"23 ش بير حمص, باب الشعرية, القاهرة.",266727
جلود ودباغة,الحاج عبده,"1 ميدان الظاهر, باب الشعرية, القاهرة.",472912
جلود ودباغة,الحاج مجدى عبد المحسن,"1 ش الشيخ حماد, العتبة, القاهرة.",266808
جلود ودباغة,الحاج محمد عزام واولاده,"11 ش التبانة, الدرب الاحمر, القاهرة.",382427
جلود ودباغة,الحاج هلال عبد الحميد,"4 ش الشيخ حماد, العتبة, القاهرة.",266803
جلود ودباغة,الحجار للمصنوعات الجلدية,"62 ش الجمهورية, الخانكة, القليوبية.",422754
جلود ودباغة,الحجاز للتجارة,"المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",452101
جلود ودباغة,الحداد للمصنوعات الجلدية,"42 ش الهرم, الهرم, الجيزة.",486345
جلود ودباغة,الحرية,"ش المجزر الالى, المنيب, الجيزة.",179312
جلود ودباغة,الحسن والحسين,"18 حارة الفواطية, باب الشعرية, القاهرة.",266888
جلود ودباغة,الحسن والحسين للمصنوعات للمصنوعات الجلدية,"3 أ ش الغرفة التجارية, الجيزة, الجيزة.",444542
