Category,Name,Address,ID
ناشرون,داتا دليل المدن الصناعية وموسوعة الصناعات المصرية,"27 عمارات رابعة الاستثمارى - ش النزهة - الدور 3 شقة 31, 33, مدينة نصر, القاهرة.",9920
ناشرون,دليلى,"6 أ/ 18 ش 205 تقاطع ش 253, المعادى, القاهرة.",229050
ناشرون,أ. ممدوح محمود محمد الشيخ - المركز الدولى للدراسات والاستشارات والتوثيق,"3 ش الموسيقار على اسماعيل - الدور 7, الدقى, الجيزة.",475549
ناشرون,ابو الهول للنشر,"3 ش الشواربى, وسط البلد, القاهرة.",137799
ناشرون,اخبار اليوم - قطاع الثقافة,"6 ش الصحافة, متفرع من ش الجلاء, وسط البلد, القاهرة.",193751
ناشرون,ادباء 2000 للنشر والتوزيع,"ش مكة, فيصل, الجيزة.",638651
ناشرون,اديو جيت,"بلوك 1, المنطقة الصناعية الثانية - مبنى 5, مدينة 15 مايو, القاهرة.",394758
ناشرون,اراب ميديا - المركز العربى للصحافة والاعلام,"6 ب ابراج بنك مصر - ش خاتم المرسلين, الهرم, الجيزة.",444102
ناشرون,ارك تاون ميديا,"25 ش الحسنى, متفرع من ش اسراء المعلمين - ميدان لبنان, المهندسين, الجيزة.",631437
ناشرون,اطلس للنشر والانتاج الاعلامى,"25 ش وادى النيل - الدور 4, المهندسين, الجيزة.",141829
ناشرون,اعرف حقك,"89 أ ش الثلاثينى الدور 1, حى المناخ, بور سعيد.",581695
ناشرون,افاق للنشر والتوزيع,"1 ش كريم الدولة متفرع من ش محمود بسيونى - ميدان طلعت حرب, وسط البلد, القاهرة.",516878
ناشرون,افهم للنشر والاعلان,"49 ش الفلكى تقاطع ش محمد محمود - الدور 1 شقة 6, باب اللوق, القاهرة.",200308
ناشرون,اقلام عربية للنشر والتوزيع,"1 ش كريم الدولة متفرع من ش محمود بسيونى, وسط البلد, القاهرة.",540173
ناشرون,البريطانية للنشر,"3 ش الخضراوى, وسط البلد, القاهرة.",102058
ناشرون,البشائر للنشر والتسويق,"4 ش كمال الجارحى متفرع من ش الهرم, المريوطية, الهرم, الجيزة.",551281
ناشرون,الجريدة للصحافة والنشر والتوزيع,"72 ش جامعة الدول العربية - الدور 7, المهندسين, الجيزة.",138547
ناشرون,الحسينى جروب,"الدور 6, الحى 11, السادس من اكتوبر, الجيزة.",429903
ناشرون,الحضارة للنشر,"7 ش ابو السعود متفرع من ش سليمان جوهر, الدقى, الجيزة.",141826
ناشرون,الحلم العربى للنشر والتوزيع,"44 ش طارق متفرع من ش المشير, سيدى جابر, الاسكندرية.",398360
ناشرون,الخيام للطباعة والنشر,"257 ش الحجاز, مصر الجديدة, القاهرة.",143154
ناشرون,الدار الثقافية للنشر,"50 ش طه الدينارى, متفرع من ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",9307
ناشرون,الدار الجامعية,"84 ش زكريا غنيم متفرع من ش بورسعيد, الابراهيمية, الاسكندرية.",192986
ناشرون,الدار الحديثة للنشر والتوزيع,"108 ش التحرير, الدقى, الجيزة.",46256
ناشرون,الدار الدولية للاستثمارات الثقافية,"122 ش عثمان بن عفان - الدور 2, مصر الجديدة, القاهرة.",162306
ناشرون,الدار العالمية للنشر,"111 ش فيصل, فيصل, الجيزة.",509266
ناشرون,الدار العالمية للنشر والتجليد,"25 ش مصنع البلاستيك تقسيم ابو العز 2, الحرفيين, القاهرة.",261106
ناشرون,الدار العربية للنشر والتوزيع,"32 ش عباس العقاد - الدور 5 شقة 9, المنطقة السادسة, مدينة نصر, القاهرة.",123542
ناشرون,الدار المصرية اللبنانية,"16 ش عبد الخالق ثروت, وسط البلد, القاهرة.",8696
ناشرون,الدار المصرية للعلوم,"13 ش اسماعيل ابو جبل متفرع من ش بورسعيد - الدور 1 شقة 2, عابدين, القاهرة.",152158
ناشرون,الدار المصرية للنشر والاستثمار,"6 ش الصحافة متفرع من ش الجلاء, وسط البلد, القاهرة.",576422
ناشرون,الدولية للنشر والتوزيع,"72 ش عثمان بن عفان, ميدان سفير, مصر الجديدة, القاهرة.",324793
ناشرون,الدولية للنشر والتوزيع,"4 ش الخليج الناصرى متفرع من ش الفجالة, الفجالة, القاهرة.",160754
ناشرون,الراية للنشر والتوزيع,"15 ش سوريا متفرع من ميدان مصطفى محمود, المهندسين, الجيزة.",541115
ناشرون,السوق الطبى,"55 ش بورسعيد, كامب شيزار, الاسكندرية.",421653
ناشرون,الشركة السعودية للابحاث والنشر - اس ار بى سى,"14 ش الحجاز متفرع من ش سوريا, المهندسين, الجيزة.",128013
ناشرون,الشركة الشرقية للمطبوعات,"14 ش ابو المحاسن الشاذلى, الدور 3, متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",63384
ناشرون,الشركة العربية المتحدة للتسويق والتوريدات,"27 ش مكرم عبيد - الدور 7 شقة 12, المنطقة السادسة, مدينة نصر, القاهرة.",159064
ناشرون,الشركة القومية للنشر والتوزيع,"2 ش النفق الغربى, مصر القديمة, القاهرة.",519625
ناشرون,الطنانى للنشر والتوزيع,"2 عمارة اللواء - ش شريف, وسط البلد, القاهرة.",155944
ناشرون,العاتك,"درب الاتراك, الازهر, القاهرة.",124030
ناشرون,العالمية,"عمارات التطبيقيين -, بنها, القليوبية.",304695
ناشرون,العربى للنشر والتوزيع,"60 ش قصر العينى, وسط البلد, القاهرة.",669316
ناشرون,العصرية للنشر والتوزيع,"10 ش البيطار متفرع من ش محمد عبده, الازهر, القاهرة.",203340
ناشرون,الفا للتسويق الاعلامى وتسويق المعلومات,"3 ابراج العالمية - المحور المركزى - الدور 3 شقة 1, الحى الثانى, السادس من اكتوبر, الجيزة.",287863
ناشرون,الفاروق الحديثة للطباعة والنشر,", خلف 60 ش راتب باشا, حدائق شبرا, شبرا, القاهرة.",303798
ناشرون,المؤسسة العربية الحديثة للطبع والنشر,"القطعة 8, المنطقة الصناعية, عباسية, القاهرة.",16734
ناشرون,المجموعة الدولية للنشر والتوزيع,"80 ش طومانباى, سراى القبة, القاهرة.",155714
ناشرون,المجموعة العربية للتدريب والنشر,"8 أ عمارات اطلس - ش احمد فخرى, المنطقة السادسة, مدينة نصر, القاهرة.",125993
ناشرون,المحروسة للنشر والخدمات الصحفية والمعلومات,"القطعة 7399 - ش 28 متفرع من ش 9, المقطم, القاهرة.",63177
ناشرون,المركز الاعلامى العربى,"28 ش الثورة متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",64025
ناشرون,المركز التكنولوجى للنشر,"29 ش فتح الله رفعت, مدينة نصر, القاهرة.",672830
ناشرون,المركز الثقافى اللبنانى,"76 ش سعيد, طنطا, الغربية.",402852
ناشرون,المركز الدولى للكتاب,"11 عمارات الشركة السعودية - ش كيلانى محمد كيلانى متفرع من ش النزهة, مصر الجديدة, القاهرة.",146625
ناشرون,المركز العربى للنشر والتوزيع,"37 ش عبد الحميد بدوى, الازاريطة, الاسكندرية.",150256
ناشرون,المركز المصرى لمعالجة البيانات,"7 عمارات العرائس -, المعادى الجديدة, المعادى, القاهرة.",157650
ناشرون,المصرية,"9 ش 153, المعادى, القاهرة.",379299
ناشرون,المصرية الدولية للنشر والتوزيع,"10 ش لطفى, متفرع من ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",56531
ناشرون,المصرية للنشر والتوزيع,"26 ش عدلى, وسط البلد, القاهرة.",412286
ناشرون,المكتب الثقافى,"ش الاتراك, الازهر, القاهرة.",384380
ناشرون,المكتب العربى للمعارف,"10 ش الفريق محمد رشاد حسن, ميدان الحجاز, مصر الجديدة, القاهرة.",238630
ناشرون,المكتب المصرى الحديث,"7 ش نوبار, المنشية, الاسكندرية.",83727
ناشرون,المكتبة العالمية للنشر والتوزيع,"المجاورة الثانية, الحى السابع, السادس من اكتوبر, الجيزة.",168593
ناشرون,المكتبة العصرية,"ش حسنى مبارك, المشاية السفلية - برج المعمورة, المنصورة, الدقهلية.",508358
ناشرون,المكتبة الفرانكفونية - اديتير,"3 ش ابراهيم السيد متفرع من ش خالد بن الوليد - الدور 9, ميامى, الاسكندرية.",140265
ناشرون,المناهل للنشر والتوزيع,"35 ش احمد ابو العلا, مدينة نصر, القاهرة.",683037
ناشرون,النوران للنشر والاعلان,"مشروع الشباب الاستثمارى, السادس من اكتوبر, الجيزة.",158682
ناشرون,الوطنية للدعاية والاعلان,"46 ش البستان - الدور 3 شقة 3, عابدين, القاهرة.",138585
ناشرون,اليكس بوك سنتر,"20 أ ش توت عنخ امون - برج سموحة - الدور 2, سموحة, الاسكندرية.",466625
ناشرون,اليمامة للنشر والتوزيع,"45 ش 9, ثكنات المعادى, المعادى, القاهرة.",96748
ناشرون,اليمنتس للانتاج والنشر,"29 ش الرحالة البغدادى, ارض الجولف, مصر الجديدة, القاهرة.",136444
ناشرون,امادو للنشر,"11 ش ابن هانى الاندلسى متفرع من ش الطيران, المنطقة الاولى, مدينة نصر, القاهرة.",9064
ناشرون,انترناشيونال اكاديمى للنشر,"14 ش دياب, جليم, الاسكندرية.",398825
ناشرون,انفينيتى للنشر,"5 ز/3 ش سيد داوود متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",537902
ناشرون,اوراق لخدمات التصحيح,"برج طيبة - ش المديرية - الدور 10, طنطا, الغربية.",413666
ناشرون,ايتراك للطباعة والنشر والتوزيع,"12 ش حسين كامل سليم, الماظة, مصر الجديدة, القاهرة.",64042
ناشرون,ايزى لايف,"40 ش العقبة, متفرع من ش هارون الرشيد, مصر الجديدة, القاهرة.",117617
ناشرون,ايه تو زد ايجيبت,"30 ش عطية الصوالحى امتداد ش مكرم عبيد - الدور 4 شقة 7, الحى الثامن, مدينة نصر, القاهرة.",134146
ناشرون,بروفيشينال للدعاية والنشر,"3 ش عبد الحميد لطفى, متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",5587
ناشرون,بورصة الكتب للنشر والتوزيع,"25 ممر مكتبات سمير وعلى - ش شريف, وسط البلد, القاهرة.",475710
ناشرون,بوك هاوس,"5 ب ش حافظ رمضان, المنطقة السادسة, مدينة نصر, القاهرة.",144338
ناشرون,بيت الحكمة,"174 ش التحرير, باب اللوق, القاهرة.",391727
ناشرون,بيت الكلمة,"69 ش المقريزى, روكسى, مصر الجديدة, القاهرة.",148250
ناشرون,بيت دون,"5 ش بستان السعيدى - الدور 1, باب اللوق, القاهرة.",432403
ناشرون,بيوند للنشر والتوزيع,"4 ش كمال حسين متفرع من ش جمال الدين الافغانى - ويمبى, الهرم, الجيزة.",583135
ناشرون,تلى زون,"7 ش قصر المختار متفرع من كورنيش النيل, المنيل, القاهرة.",144885
ناشرون,جذور للنشر والتوزيع,"14 ش محمود حافظ, ميدان سفير, مصر الجديدة, القاهرة.",670332
ناشرون,جذور للنشر والتوزيع,"40 ش الحجاز, ميدان المحكمة, مصر الجديدة, القاهرة.",671720
ناشرون,جلف ميديا انترناشيونال,"24 ش ابو المحاسن الشاذلى, المهندسين, الجيزة.",64054
ناشرون,جلو,"17 ش عبد الغفار سليم, الشقة 3, الدور 2, متفرع من ش المنتزة, مصر الجديدة, القاهرة.",65216
ناشرون,جلوبال ستارز,"41 ش ابراهيم الهندى, مصر الجديدة, القاهرة.",685917
ناشرون,جلوبال للنشر والتوزيع,"48 ش نهرو, المريلاند, مصر الجديدة, القاهرة.",475627
ناشرون,جينيال,"76 ش طه الحكيم, طنطا, الغربية.",396432
ناشرون,حورس مصر للصحافة والنشر,"14 ش صلاح الدين متفرع من ش السودان - الدور 1, المهندسين, الجيزة.",463802
ناشرون,خوارزم,"5 طريق الحرية, محطة الرمل, الاسكندرية.",171393
ناشرون,دار ابن الجوزى,"5 درب الاتراك - متفرع من ش الازهر, الازهر, القاهرة.",140897
ناشرون,دار ابن الهيثم للنشر,"12 درب الاتراك, الازهر, القاهرة.",161784
ناشرون,دار ابن حزم,"22 درب الاتراك - متفرع من ش الازهر, الازهر, القاهرة.",381859
ناشرون,دار ابن رجب,"13 ش البيطار متفرع من ش محمد عبده, الازهر, القاهرة.",154837
ناشرون,دار ابن عفان للنشر والتوزيع,"11 درب الاتراك, الازهر, القاهرة.",381861
ناشرون,دار استقلال,"22 ش حسين رشدى, شبين القناطر, القليوبية.",517949
ناشرون,دار اقلام للنشر,"8 ش فهمى, باب اللوق, القاهرة.",268496
ناشرون,دار الابداع,"4 ش الاسقفية, المنشية الصغرى, الاسكندرية.",114893
ناشرون,دار الابداع العربى,"16 ش الجيوشى, العامرية, الاسكندرية.",581461
ناشرون,دار الاتباع للنشر والتوزيع,"ش البيطار, الازهر, القاهرة.",439375
ناشرون,دار الاثار للنشر والتوزيع,"28 ش منشية التحرير, عين شمس الشرقية, القاهرة.",154738
ناشرون,دار الاثار للنشر والتوزيع,"ش البيطار, الازهر, القاهرة.",484499
ناشرون,دار الاحمدى,"55 ش عبد الحليم حسين متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",260656
ناشرون,دار الادب الاسلامى,"30 ش حوش ادم, الازهر, القاهرة.",121271
ناشرون,دار الادهم للنشر والتوزيع,"15 ش عبد القهار متفرع من ش الاصيغ, حدائق الزيتون, القاهرة.",577042
ناشرون,دار الامام احمد,"11 أ درب الاتراك, الازهر, القاهرة.",381860
ناشرون,دار الامل,"ش عبد العزيز حامد, فيصل, الجيزة.",417630
ناشرون,دار الانبا انطونيوس للنشر والتوزيع,"6 ش السلمى, شبرا, القاهرة.",429494
ناشرون,دار الانبا كاراس,"24 ش البعثة تقاطع ش الزهور, شبرا, القاهرة.",382338
ناشرون,دار الانسان,"109 ش التحرير - عمارة الاوقاف, الدقى, الجيزة.",270682
ناشرون,دار الايمان للنشر والتوزيع,"19 ش خليل الخياط, مصطفى كامل, الاسكندرية.",212110
ناشرون,دار البستانى للنشر والتوزيع,"4 ش على توفيق شوشة متفرع من ش عز الدين طه, المنطقة الاولى, مدينة نصر, القاهرة.",57424
ناشرون,دار البيان العربى,"18 درب الاتراك - متفرع من ش الازهر, الازهر, القاهرة.",415543
ناشرون,دار التوفيقية للتراث,"1 درب الاتراك - متفرع من ش محمد عبده, الازهر, القاهرة.",381857
ناشرون,دار الثقافة الجديدة,"32 ش صبرى ابو علم, باب اللوق, القاهرة.",8217
ناشرون,دار الجابر للطباعة والنشر,"156 ش 9 ميدان دمشق, المعادى, القاهرة.",232423
ناشرون,دار الجامع,"22 ش عامر, الدقى, الجيزة.",270922
ناشرون,دار الجلال,"ش ضياء, فيصل, الجيزة.",396996
ناشرون,دار الجمهور العربى,"39 ش الوسط, متفرع من ش اسكو, وادى القمر, بهتيم, القليوبية.",674134
ناشرون,دار الجوهرة,"3 عمارات العبور - طريق صلاح سالم - الدور 15, مدينة نصر, القاهرة.",429312
ناشرون,دار الجيل الجديد للنشر والتوزيع,"86 ش الخليفة الظافر, الحى السابع, مدينة نصر, القاهرة.",539874
ناشرون,دار الحرمين,"3 درب الاتراك, الازهر, القاهرة.",381863
ناشرون,دار الحسام للنشر والتوزيع,"355 ش 11 ميدان النافورة, المقطم, القاهرة.",276274
ناشرون,دار الخلود للنشر,", سور الازبكية الجديد - محل 42, العتبة, القاهرة.",263573
ناشرون,دار الخير للطباعة والنشر,"5 ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",601779
ناشرون,دار الدعوة للطبع والنشر والتوزيع,"2 ش منشا, محرم بك, الاسكندرية.",20231
ناشرون,دار الدفاع للصحافة والنشر,"طريق النصر, مدينة نصر, القاهرة.",451715
ناشرون,دار الرسم بالكلمات,"309 ش الهرم - الاريزونا, الهرم, الجيزة.",537098
ناشرون,دار الرشاد للنشر والتوزيع,"14 ش جواد حسنى متفرع من ش قصر النيل, عابدين, القاهرة.",294431
ناشرون,دار السحاب للنشر والتوزيع,"1 ش عدلى كفافى متفرع من ميدان سانت فاتيما, سانت فاتيما, مصر الجديدة, القاهرة.",540253
ناشرون,دار السلام للنشر والتوزيع,"40 ش احمد ابو العلا, تقاطع ش نور الدين بهجت, مدينة نصر, القاهرة.",289501
ناشرون,دار الشروق,"7 ش سيبويه المصرى, المنطقة الاولى, مدينة نصر, القاهرة.",96629
ناشرون,دار الصحابة للتراث,"11 ش المديرية, طنطا, الغربية.",127361
ناشرون,دار الصديق,"ش الغورية, الازهر, القاهرة.",384481
ناشرون,دار الصفا والمروة,"185 ش جمال عبد الناصر , سيدى بشر بحرى, الاسكندرية.",216140
ناشرون,دار الصفوة,"16 ش عبد العزيز البشرى, المريلاند, مصر الجديدة, القاهرة.",293512
ناشرون,دار الصفوة الجديدة للنشر والتوزيع,"2 ش المعز لدين الله الفاطمى متفرع من ش الفيوم, دار السلام, القاهرة.",261080
ناشرون,دار الصفوة للنشر والتوزيع,"42 ش جزيرة بدران, شبرا, القاهرة.",161023
ناشرون,دار الضياء للنشر والتوزيع,"25 ش محمد فريد, طنطا, الغربية.",148678
ناشرون,دار الطلائع,"32 ش احمد فخرى, مدينة نصر, القاهرة.",536946
ناشرون,دار العالم العربى,"2 عمارات امتداد رمسيس -, مدينة نصر, القاهرة.",461459
ناشرون,دار العالمية للنشر والتوزيع,"111 ش فيصل متفرع من ش المستشفى - برج مصر الخليج, الكوم الاخضر, فيصل, الجيزة.",56968
ناشرون,دار العدالة للنشر والتوزيع,"85 ش محمد فريد, الدور 5, تقاطع ش الشيخ ريحان, عابدين, القاهرة.",63366
ناشرون,دار العلوم للنشر والتوزيع,"11 ش منصور, وسط البلد, القاهرة.",123699
ناشرون,دار العمار للنشر,"11 ش الازهرى, شبرا الخيمة, القليوبية.",248527
ناشرون,دار الغد الجديد,"ش الهادى متفرع من ش عبد السلام عارف, المنصورة, الدقهلية.",395660
ناشرون,دار الفاروق للاستثمارات الثقافية,"3 ش منصور, متفرع من ش المبتديان, السيدة زينب, القاهرة.",133858
ناشرون,دار الفجر الحديثة,"10 ش احمس, الجامعة, الفيوم.",318031
ناشرون,دار الفجر للنشر والتوزيع,"4 ش هاشم الاشقر, متفرع من ش جوزيف تيتو, النزهة الجديدة, القاهرة.",124871
ناشرون,دار الفكر العربى,"94 ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",99176
ناشرون,دار الفنار,"2 أ ش علوى متفرع من ش صبرى ابو علم, باب اللوق, القاهرة.",332830
ناشرون,دار القدس للنشر والتوزيع,"9, درب الاتراك, الازهر, القاهرة.",584146
ناشرون,دار القراءة,"القطعة 7100 - ش 9, المقطم, القاهرة.",368145
ناشرون,دار القراءة,"25 ش محمد عبده, الازهر, القاهرة.",381799
ناشرون,دار القلم للنشر,"36 ش قصر العينى, قصر العينى, القاهرة.",424405
ناشرون,دار الكتاب الحديث للنشر,"94 ش عباس العقاد, مدينة نصر, القاهرة.",599133
ناشرون,دار الكتاب العربى,"52 ش عبد الخالق ثروت متفرع من ميدان الاوبرا - الدور 2 شقة 11, وسط البلد, القاهرة.",389107
ناشرون,دار الكتاب المصرى اللبنانى,"33 ش قصر النيل متفرع من ش شريف, وسط البلد, القاهرة.",8275
ناشرون,دار الكتاب المقدس,"74 ش الجمهورية, وسط البلد, القاهرة.",60562
ناشرون,دار الكتب العلمية للنشر والتوزيع,"50 ش الشيخ ريحان, عابدين, القاهرة.",46273
ناشرون,دار الكتب القانونية,"24 ش عدلى يكن, المحلة الكبرى, الغربية.",665098
ناشرون,دار الكتبى للنشر,"9 ميدان ابو المواهب, العجوزة, الجيزة.",138102
ناشرون,دار الكوثر للنشر,"31 ش الامام محمد عبده, الازهر, القاهرة.",384482
ناشرون,دار المؤيد للنشر الالكترونى,"131 برج القانونيين - كورنيش النيل - الدور 18 شقة 201, كورنيش المعادى, المعادى, القاهرة.",406540
ناشرون,دار المدائن,"29 ش مسجد الحجاج, محرم بك, الاسكندرية.",141936
ناشرون,دار المريخ للنشر,"4 ش الفرات متفرع من ش جامعة الدول العربية - الدور 2 شقة 6, المهندسين, الجيزة.",59036
ناشرون,دار المعارف,"9 ش كامل صدقى, الفجالة, القاهرة.",50823
ناشرون,دار المعرفة - مصحف التجويد,"14 ش حسين فهمى متفرع من ش د. محمد حسنين هيكل, مدينة نصر, القاهرة.",417655
ناشرون,دار المعرفة للنشر والتوزيع,"1 ش البيطار, الازهر, القاهرة.",384434
ناشرون,دار المنار,"7 ش 6 اكتوبر, فيصل, الجيزة.",336969
ناشرون,دار المنار الحديثة,"7 ش معمل الالبان, شبرا, القاهرة.",375520
ناشرون,دار الميدان للنشر والتوزيع,"ش الجلاء - برج كمال الصارمى - الدور 11 شقة 4, الزقازيق, الشرقية.",519917
ناشرون,دار النبراس للنشر والتوزيع,"7 ش الدرديرى, الازهر, القاهرة.",643611
ناشرون,دار النشر الاسقفية,"30 ش شبرا, شبرا, القاهرة.",13661
ناشرون,دار النشر هوريزون,"9 ميدان ابو الكرامات, المهندسين, الجيزة.",156700
ناشرون,دار النهضة العربية للنشر,"32 ش عبد الخالق ثروت, وسط البلد, القاهرة.",8354
ناشرون,دار النيل للطباعة والنشر,"2 ش فريد ندا, بنها, القليوبية.",694010
ناشرون,دار النيل للنشر,"22 ج ش التسعين الشمالى, جنوب الاكاديمية, القاهرة الجديدة, القاهرة.",458440
ناشرون,دار الهدف,"12 ش مراد متفرع من ش صلاح الدين, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",59367
ناشرون,دار الهدى للنشر والتوزيع,"ابراج عزيز ميخائيل - المحور المركزى, الحى 12, السادس من اكتوبر, الجيزة.",436812
ناشرون,دار الهلال,"15 مساكن اطلس 4 -, مدينة السلام, القاهرة.",391552
ناشرون,دار الوئام للنشر,"طريق التحرير محور الكفراوى الخدمى, السادس من اكتوبر, الجيزة.",54684
ناشرون,دار الوفاء لدنيا الطباعة والنشر,"59 ش محمود صدقى متفرع من ش البكباشى العيسوى, سيدى بشر, الاسكندرية.",302913
ناشرون,دار الياس العصرية للطباعة والنشر,"1 ش كنيسة الروم الكاثوليك متفرع من ش الظاهر, الظاهر, القاهرة.",14766
ناشرون,دار الياسمين للنشر والتوزيع,"4 ش كمال هويدى, متفرع من ش خاتم المرسلين, العمرانية الغربية, الهرم, الجيزة.",492165
ناشرون,دار اليسر للنشر والتوزيع,"20 ش عبد العزيز عيسى, مدينة نصر, القاهرة.",461411
ناشرون,دار اليقين للنشر والتوزيع,"ش عبد السلام عارف - سوق الجملة, المنصورة, الدقهلية.",234349
ناشرون,دار انسان للنشر والتوزيع,"محلة مرحوم, طنطا, الغربية.",581261
ناشرون,دار بردى للنشر,"17 ش د. السبكى متفرع من ش الدقى, الدقى, الجيزة.",54703
ناشرون,دار بلال بن رباح للنشر والتوزيع,"26 ش نجيب محفوظ, مدينة نصر, القاهرة.",448487
ناشرون,دار تويا للنشر والتوزيع,"6 أ ش فلسطين, المعادى الجديدة, المعادى, القاهرة.",514497
ناشرون,دار جهاد للنشر والتوزيع,"26 ش اسماعيل اباظة, السيدة زينب, القاهرة.",224004
