Category,Name,Address,ID
تعقيم طبى ومكافحة عدوى,بيومصر المحدودة,"برج ادارى 1- ابراج سيتى ستارز, المحور المركزى الموازى, السادس من اكتوبر, الجيزة.",611483
تعقيم طبى ومكافحة عدوى,الشركة المصرية الالمانية للتعقيم,"4 ش الانسة مى - الدور 3, سان استيفانو, الاسكندرية.",64470
تعقيم طبى ومكافحة عدوى,المركز الالمانى لابادة الحشرات والقوارض,"برج الفاروق, حى الواحة, المنطقة 12, مدينة نصر, القاهرة.",174255
تعقيم طبى ومكافحة عدوى,اى اى سى سيستمز,"40 ش محمد مقلد, امتداد ش مصطفى النحاس, المنطقة الثامنة - برج النور, مدينة نصر, القاهرة.",559515
تعقيم طبى ومكافحة عدوى,ايجى فوج,"3 ش الحفناوى متفرع من ش نصر عثمان - الجهينى, قليوب, القليوبية.",455408
تعقيم طبى ومكافحة عدوى,ايه اند اى للتعقيم,"99 أ طريق مصر حلوان الزراعى, كورنيش المعادى, المعادى, القاهرة.",653309
تعقيم طبى ومكافحة عدوى,بايو ستيم,"المنطقة 75 فدان - المنطقة الصناعية, ابو رواش, الجيزة.",150545
تعقيم طبى ومكافحة عدوى,برفكت دس انفكشن,"99 ش مصطفى النحاس - - الدور 13 شقة 27, الحى الثامن, مدينة نصر, القاهرة.",118164
تعقيم طبى ومكافحة عدوى,ثرى ام ايجيبت للتجارة المحدودة,"برج هوليداى ان كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",12074
تعقيم طبى ومكافحة عدوى,جولدن أ ر,"قطعة 174 - 6 ا, العاشر من رمضان, الشرقية.",661710
تعقيم طبى ومكافحة عدوى,دراجون سيرفيس للخدمات المتكاملة,"31 لؤلؤة سموحة ش مصطفى كامل, الدور 2, سموحة, الاسكندرية.",669755
تعقيم طبى ومكافحة عدوى,رابيدو ميديكال,"برج المهندسين- 2 أ, كورنيش النيل, المعادى, القاهرة.",648092
تعقيم طبى ومكافحة عدوى,رويال سيرفيس,", الشقة 25, الدور 2, ميدان النجدة, الحى الرابع, السادس من اكتوبر, الجيزة.",633996
تعقيم طبى ومكافحة عدوى,ريماكس,"7 عمارات الشركة السعودية - ش النزهة, مصر الجديدة, القاهرة.",145436
تعقيم طبى ومكافحة عدوى,ستير ميد,"بلوك 6055 - المجاورة السادسة - مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",456188
