Category,Name,Address,ID
ملح,ايجى ماكينا للصناعات الهندسية,"القطعة 161, الروبيكى, العاشر من رمضان, الشرقية.",673253
ملح,ابو الحمد للتجارة,"كم 46 طريق القاهرة اسكندرية الصحراوى, قرية الناصر, ابو المطامير, البحيرة.",638996
ملح,الاصدقاء لتكرير وتجهيز الملح,"القطعة 120 - - المنطقة الصناعية الثالثة A1, العاشر من رمضان, الشرقية.",91627
ملح,الاهرام للتجارة وخدمات الشحن,"2 أ عمارات نيركو - الشطر الثالث, دجلة, المعادى, القاهرة.",579048
ملح,السعودية المصرية للاملاح والمعادن - سيكو سولت,"القطعة 106، 107 - - المنطقة الصناعية الثالثة A6, العاشر من رمضان, الشرقية.",447723
ملح,الشركة المصرية لتكرير الملح,". - الدور 4 شقة 44, العاشر من رمضان, الشرقية.",151069
ملح,العاصمة جروب لتصدير الملح,"الشارع العام, بئر العبد, شمال سيناء.",533556
ملح,العز للتسويق والتوكيلات التجارية,"47 ش حلمى حسن على, متفرع من ش محمد مقلد, الحى الثامن, مدينة نصر, القاهرة.",116727
ملح,الفنار لتجارة الملح,"2 ش ابو طوخى - عرب الساحة, الحوامدية, الجيزة.",606251
ملح,المجموعة الاقتصادية لتكرير الملح,"1 ش 27 متفرع من ش جسر السويس - برج الفهد - الدور 1, جسر السويس, القاهرة.",577224
ملح,المصرية للملاحة,"., واحات سيوة, واحة سيوة, واحة سيوة.",442053
ملح,المكس للملاحات,"ش الشمعدان, منطقة وادى القمر, المكس, الاسكندرية.",129213
ملح,اليكس تريد,"496 طريق الحرية - عمارة المهندسين - الدور 4, بولكلى, الاسكندرية.",20926
ملح,اميسال - الشركة المصرية للاملاح والمعادن,"10 ميدان المساحة, الدقى, الجيزة.",138394
ملح,اوميجا لاين ايجيبت,"16 عمارات رابعة الاستثمارى - ش النزهة, مدينة نصر, القاهرة.",212855
ملح,ايجى سولت,"القطعة 9/2 - قطاع و - المنطقة الصناعية الاولى, الصالحية الجديدة, الشرقية.",618481
ملح,ايم سالت,"ش 23 ديسمبر, الدور 2, ابراج النزهة - برج 9, حى الزهور, بور سعيد.",598502
ملح,بى ان سولت ايجينسى,", حى الاعصر, دمياط, دمياط.",689376
ملح,خيرزاد لتعبئة ملح الطعام,"العزيزية, البدرشين, الجيزة.",284388
ملح,ستار سولت,"9 مساكن شرارة, مدينة نصر, القاهرة.",690057
ملح,سولت ايجل,"2 ش عبد السلام عارف ميدان الشهابية - الدور 3, دمياط, دمياط.",478758
ملح,شركة اولاد عبد الرحيم للتوزيع,"ش 15 متفرع من ش النصر, سموحة, الاسكندرية.",409644
ملح,غدا لتجارة الملح,"73 /4 ش حسب الله الكفراوى المجاورة الثانية - الحى الثانى - الدور 1, دمياط الجديدة, دمياط.",528423
ملح,فارمس عساسة,"20 أ عمارات حدائق العبور طريق صلاح سالم, مصر الجديدة, القاهرة.",61330
ملح,كوكى وان,"ش الجمهورية, الابراهيمية, الشرقية.",403595
ملح,كوكينا للصناعات الحديثة,"90 ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",116257
ملح,مؤسسة الفيصل,"ِش 27، متفرع من ش 100, النزهة الجديدة, القاهرة.",628249
ملح,مصطفى عبد العواض محمد,"61 ش ابن طولون, كرموز, الاسكندرية.",24702
ملح,ميكسال,"52 ش جامعة الدول العربية ميدان مصطفى محمود, المهندسين, الجيزة.",571560
ملح,هوم سيستمز,"5 ش عبد العظيم سلامة متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",63795
