Category,Name,Address,ID
ادارة منشآت,اكسبرتك ادارة و تشغيل المنشآت و خدمات الصيانة,"15 / 5, محور 26 يوليو, السادس من اكتوبر, الجيزة.",584430
ادارة منشآت,الندى اف ام,"ش عبد العزيز السيد, النزهة الجديدة, القاهرة.",691824
ادارة منشآت,اس بى سى لصيانة وادارة المشروعات,"32 أ, الشيخ زايد, السادس من اكتوبر, الجيزة.",689095
ادارة منشآت,ايلاند للتوكيلات التجارية والخدمات ش.م.م,"42 ش على باشا ذو الفقار, كفر عبده, الاسكندرية.",271134
ادارة منشآت,بيومصر المحدودة,"برج ادارى 1- ابراج سيتى ستارز, المحور المركزى الموازى, السادس من اكتوبر, الجيزة.",611483
ادارة منشآت,كونتراك اف ام - ش.م.م.,"2005 كورنيش النيل, الدور 4, ابراج نايل سيتى - البرج الجنوبى, رملة بولاق, القاهرة.",181277
ادارة منشآت,ابليونا مصر لادارة المنشات,"7 أ برج دلة, كورنيش المعادى, المعادى, القاهرة.",171788
ادارة منشآت,ابيك,"3 ش مكرم عبيد, الدور 6, مدينة نصر, القاهرة.",682097
ادارة منشآت,اس ام ايه للصيانة والتشطيبات والعقارات,"عمارة 11المنطقة السياحية السادسة، الدور 3, السادس من اكتوبر, الجيزة.",620835
ادارة منشآت,اسكورت,"ش ترعة الزمر, مدينة نصر, القاهرة.",672124
ادارة منشآت,التيسير لادارة المرافق,", المجاورة الثانية, بلوك د - عمارة 8, الفردوس, السادس من اكتوبر, الجيزة.",689680
ادارة منشآت,الحامد للتوريدات العمومية,"14 ش محمد نجيب, سيدى بشر, الاسكندرية.",656467
ادارة منشآت,الحرمين الشريفين للتدريب وللخدمات التعليمية,"ش معبد الكرنك, الاقصر, الاقصر.",483080
ادارة منشآت,الشركة التعليمية الاولى,"129 ش عثمان بن عفان, مصر الجديدة, القاهرة.",412389
ادارة منشآت,الشركة المتخصصة لادارة المبانى,"6 ش رجاء عبد الرسول, متفرع من ش وادى النيل, المهندسين, الجيزة.",429188
ادارة منشآت,الكويتية المصرية للمشروعات السياحية,"7 ش الادريسى, روكسى, مصر الجديدة, القاهرة.",63970
ادارة منشآت,المؤسسة المصرية لادارة المشروعات والقرى,"37 ش الفتح, فلمينج, الاسكندرية.",386050
ادارة منشآت,المتحدة لادارة المرافق,"محور جمال عبد الناصر - كمباوند اسوار ريزيدنس - المبنى الادارى, التجمع الخامس, القاهرة الجديدة, القاهرة.",583738
ادارة منشآت,المصرية للمنشاءات الرياضية,"33 ش النصر, المعادى الجديدة, المعادى, القاهرة.",472633
ادارة منشآت,النبيل لاعمال الصيانة الداخلية,"18 ش محمد كامل الحارونى, متفرع من ش صلاح سالم, الحى السادس, مدينة نصر, القاهرة.",316484
ادارة منشآت,اليسر للاعمال المتكاملة,"26 ش الشيخ محمد النادى متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",445960
ادارة منشآت,ام ار بى لادارة وتشغيل المولات,"ش العبور, متفرع من ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",685249
ادارة منشآت,ام جى - مهنى جروب,"297 ش رمسيس, غمره, القاهرة.",464777
ادارة منشآت,اورو نايل,"25 ش الخليفة المأمون - الدور 6, روكسى, مصر الجديدة, القاهرة.",291862
ادارة منشآت,اى اف اس مصر,"67 ش التسعين الجنوبى, القطاع الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",676962
ادارة منشآت,اى بوينتس,"5 ش بن منظور, ميدان الذهبى, مصر الجديدة, القاهرة.",458909
ادارة منشآت,ايجى برو اف ام اى لادارة المشروعات وتوزيع الطاقة,"46 ش النادى الجديد, المعادى الجديدة, المعادى, القاهرة.",475441
ادارة منشآت,ايمن شربينى انوفيشن,"2 عمارات الشركة السعودية - ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",470489
ادارة منشآت,ايه اف اس لخدمات المنشأت,"1 ش 210 ميدان فيكتوريا, دجلة, المعادى, القاهرة.",540226
ادارة منشآت,ايه اى سى - الشركة العربية الهندسية,"10 ش 23 - الدور 5, المعادى, القاهرة.",339428
ادارة منشآت,باينامك,"75 ش الخليج المصرى, حدائق القبة, القاهرة.",680235
ادارة منشآت,بروسبر ايجيبت لادارة المنشاءات,"24 أ عمارات العبور - طريق صلاح سالم - الدور 5 شقة 1, مصر الجديدة, القاهرة.",618250
ادارة منشآت,بروفيشنال بيزنسز اند بروجكتس مانجمينت,"33 ش مسرة - الدور 2, شبرا, القاهرة.",567989
ادارة منشآت,بريز ميدل ايست,"505 ش عبد المنعم رياض, الحى المتميز, السادس من اكتوبر, الجيزة.",417038
ادارة منشآت,بوميك,"عمارة 341, المجاورة الثانية - المحور المركزى, الحى الثانى, السادس من اكتوبر, الجيزة.",336680
ادارة منشآت,بيلدرز لادارة المنشأت,", النرجس 2 - عمارة 260, التجمع الخامس, القاهرة الجديدة, القاهرة.",551963
ادارة منشآت,بينشمارك اف ام,"13 ش المشتل تقسيم الشيشينى - الدور 8, كورنيش المعادى, المعادى, القاهرة.",545938
ادارة منشآت,تشالنجر للادارة المدرسية والخدمات التعليمية,"303 ش صلاح سالم ميدان ام المصريين, الجيزة, الجيزة.",535105
ادارة منشآت,توجيزر لادارة المرافق - تى اف ام,"6 و, الشقة 13, الدور 1, امتداد مدينة الاخاء, كورنيش المعادى, المعادى, القاهرة.",634059
ادارة منشآت,توشكى للديكور والتصميم الداخلى,"قطعة 1151 - الهضبة الوسطى - الحى الثانى, المقطم, القاهرة.",520747
ادارة منشآت,جريتكس,"37 ش 105, ميدان الاتحاد, حدائق المعادى, المعادى, القاهرة.",629779
ادارة منشآت,جلوبال لادارة المنشأت,"الطريق الدائرى, برج سما, القطامية, القاهرة.",667483
ادارة منشآت,جمعية هليوبوليس التعاونية للمساكن والمصايف,"7 ش الاندلس متفرع من ش الحجاز, روكسى, مصر الجديدة, القاهرة.",564625
ادارة منشآت,دراجون سيرفس لادارة الكافيهات والمطاعم,"31 ش مصطفى كامل, الدور 2, عمارة لؤلؤة سموحة, سموحة, الاسكندرية.",670927
ادارة منشآت,دلتا للانشاءات,"1 ابراج السراج مول - ش عطية الصوالحى - الدور 4 شقة 48, الحى الثامن, مدينة نصر, القاهرة.",57922
ادارة منشآت,رويال سيرفيس,"الطريق الدائرى, مدينة الفرسان - برج السفينة - الدور الاول - الشقة 1, القطامية, القاهرة.",688768
ادارة منشآت,رويال سيرفيس,", الشقة 25, الدور 2, ميدان النجدة, الحى الرابع, السادس من اكتوبر, الجيزة.",633996
ادارة منشآت,ريفيرا هايتس,"27 ش سمير عبد الرؤوف امتداد ش مكرم عبيد - الدور 1, الحى الثامن, مدينة نصر, القاهرة.",233325
ادارة منشآت,ستارت بوينت,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",666887
ادارة منشآت,سكونى فاكوم,"14 عمارات المدفعية - , مدينة نصر, القاهرة.",424821
ادارة منشآت,سمارت تريد لمعدات المرافق,"القطعة 6009, الهضبة العليا, المقطم, القاهرة.",675473
ادارة منشآت,سمارت مين فيكس سيرفيس,"ش سيد العقبى متفرع من ش القصبجى, المنيب, الجيزة.",576961
ادارة منشآت,سماش للادارة,"152 طريق العروبة, الشقة 4, الدور 1, الكوربة, مصر الجديدة, القاهرة.",265098
ادارة منشآت,سى اف ام - كونفدانس لادارة المنشأت,"7 ابراج عثمان كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",586635
ادارة منشآت,سيستم وان,"بلوك 82 - القطعة 8650, المقطم, القاهرة.",130493
ادارة منشآت,سيمون ارزت,"ش ممفيس, برج ماجستيك, حى الشرق, بور سعيد.",659567
ادارة منشآت,شاركس تيم,"ش عبد العزيز ال سعود, المنيل, القاهرة.",568002
ادارة منشآت,فاكت سيرفيس,"21 ش احمد الشاطورى, الدقى, الجيزة.",690805
ادارة منشآت,فيكس تو جو,"فيلا 192, محور محمد نجيب, القاهرة الجديدة, القاهرة.",663294
ادارة منشآت,كلاسيك لصيانة المنشات التجارية والصناعية,"5 ب عمارات معروف - ش محمد حجاج متفرع من ش معروف, وسط البلد, القاهرة.",531510
ادارة منشآت,ليدز تى اف ام,"17 ش البستان, الشيخ زايد, السادس من اكتوبر, الجيزة.",662777
ادارة منشآت,ماتريكس لادارة العقارات,"6 ش الصحابة الكرام, حى السفارات, مدينة نصر, القاهرة.",123365
ادارة منشآت,ماس اف ام,"14 ش محمد زكى منير, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",687401
ادارة منشآت,ماسترز لادارة المنشاءات,"52 ش طومانباى, سراى القبة, القاهرة.",447200
ادارة منشآت,مالك جروب,"2 ش الزهور متفرع من ش ابو بكر الصديق, ميدان المحكمة, مصر الجديدة, القاهرة.",607538
ادارة منشآت,مصر للخدمات والصيانة,"8 ش السد العالى متفرع من ش زاكر حسين, مدينة نصر, القاهرة.",187171
ادارة منشآت,يونى تك للخدمات المتكاملة,"15 ش احمد فهيم بيومى - الدور 4, تريومف, مصر الجديدة, القاهرة.",508960
