Category,Name,Address,ID
جوانات,ابو احمد,"37 ش الجمهورية, القلج, القليوبية.",514819
جوانات,الاسلامية للجوانات,"., الحى السادس, السادس من اكتوبر, الجيزة.",437670
جوانات,البطل,"ش المدرسة, المنيب, الجيزة.",344052
جوانات,البطل لجوانات السيارات,"4 ش حسونة, عين شمس الغربية, القاهرة.",533868
جوانات,الجوكر لجوانات السيارات,"18 ش التوفيقية, وسط البلد, القاهرة.",673458
جوانات,الرومانى,"18 ش المعاهدة, طنطا, الغربية.",408082
جوانات,الزهراء,"ش الزهراء, المنزلة, الدقهلية.",358641
جوانات,الشافعى للجوانات,"ش السنترال الاردنية, العاشر من رمضان, الشرقية.",634717
جوانات,الصقر للجوانات,"81 طريق مصر اسيوط الزراعى, منيل شيحة, الجيزة.",651856
جوانات,العالمية للجوانات,"43 ش القللى, السبتية, القاهرة.",424473
جوانات,الفتح,"63 ش الخصوص العمومى, الخصوص, القليوبية.",332864
جوانات,المحمدى للجوانات,"بلوك 1 - مساكن ايجيكو -, المقطم, القاهرة.",441404
جوانات,النيل للجوانات,"277 ش السودان, المهندسين, الجيزة.",463320
جوانات,امينكو,"ش 9, نجع العرب, المتراس, الاسكندرية.",693991
جوانات,انترتريد,"92 أ ش محمد فريد, عابدين, القاهرة.",61672
جوانات,بيتكوم تريدنج,"4 ش القدس الشريف, النزهة الجديدة, القاهرة.",305246
جوانات,توب,"64 ش الخصوص العمومى, الخصوص, القليوبية.",288943
جوانات,جوانات الراعى,"ش الانتاج, فاقوس, الشرقية.",505540
جوانات,جوانات مارينا,"ش السنترال الاردنية, العاشر من رمضان, الشرقية.",634863
جوانات,حسنين محمد احمد لتجارة الجوانات,"18 ش محمد حنفى, السبتية, القاهرة.",424530
جوانات,سمارة,"60 ش محمد الخلفاوى, شبرا, القاهرة.",231418
جوانات,عيون للجوانات,"15 ش القللى, السبتية, القاهرة.",423409
جوانات,مؤسسة الثمار,"كم 26 - ش عادل والى, ابو رواش, الجيزة.",454869
جوانات,مصنع جوانات الاهرام,"6 ش عبد الواحد الطنطاوى, شبرا, القاهرة.",232021
جوانات,مصنع جوانات الملك,"12 ش فوزى المنسى متفرع من ش محمد نور الدين, العرب, المعادى, القاهرة.",183163
جوانات,مصنع حنا الحناوى,"5 ش عبد الظاهر جاب الله, الجيزة, الجيزة.",175405
جوانات,مكة,"182 عمارات صقر قريش -, المعادى الجديدة, المعادى, القاهرة.",387949
جوانات,ورشة العروبة,"79 ش المستشفى - ش شيكولانى سابقا, شبرا, القاهرة.",467738
