Category,Name,Address,ID
وجبات سريعة,مطعم فايف روسترز فرايدتشكن,"ش مسجد حاتم, السوق التجارى, سموحة, الاسكندرية.",629053
وجبات سريعة,1 كفتة,"ش نعمان الاعصر, المحلة الكبرى, الغربية.",584158
وجبات سريعة,100 كرش,"ش الجمهورية, المنصورة, الدقهلية.",582053
وجبات سريعة,139 لونج اند تراس,"6 ش الهرم, الهرم, الجيزة.",447696
وجبات سريعة,2 كبدة وسجق,"ش الفريق رضا حافظ, المحلة الكبرى, الغربية.",636480
وجبات سريعة,24 دوجز,"62 ش 9, المعادى, القاهرة.",625182
وجبات سريعة,360 ستريت فود,"ش المجزر الالى, المريوطية, الهرم, الجيزة.",625291
وجبات سريعة,64 درب سعادة,", الرحاب 2 - السوق الشرقى, مدينة الرحاب, القاهرة.",622463
وجبات سريعة,68 جيتس,"ش عصام حلمى تقاطع ش ادموند فيرمونت, سموحة, الاسكندرية.",614321
وجبات سريعة,اب نورمال,"15 ش الشهداء, الحى الاول, السادس من اكتوبر, الجيزة.",621989
وجبات سريعة,ابلز,"ش الصناعة متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",416359
وجبات سريعة,ابلز,"ش المعتصم, طنطا, الغربية.",178607
وجبات سريعة,ابن البلد تيك اواى,"8 ش الشريف متفرع من ش الجامع البحرى, بولاق الدكرور, الجيزة.",443474
وجبات سريعة,ابن البلد للوجبات السريعة,"ش المشربة, المسبط, دهب.",449352
وجبات سريعة,ابو احمد,"1 ش فتح الله على, حدائق المعادى, المعادى, القاهرة.",421584
وجبات سريعة,ابو اسماء للوجبات السريعة,"15 ش عبد الرازق السنهورى, مدينة نصر, القاهرة.",665807
وجبات سريعة,ابو الشام,"السوق العمومى, رأس البر, دمياط.",352524
وجبات سريعة,ابو جاسر,"حارة حسنى بك, السيدة زينب, القاهرة.",414951
وجبات سريعة,ابو جبريل تيك اواى,"55 ش جسر البحر, شبرا, القاهرة.",435347
وجبات سريعة,ابو حبيبة,"130 مساكن الدلتا 2 -, مدينة السلام, القاهرة.",391645
وجبات سريعة,ابو حيدر,"13 ش ابراهيم اللقانى, روكسى, مصر الجديدة, القاهرة.",69384
وجبات سريعة,ابو دنيا تيك اواى,"30 ش ترعة الجلاد, الزاوية الحمراء, القاهرة.",566044
وجبات سريعة,ابو ردة,"16 ش يثرب, الدقى, الجيزة.",507743
وجبات سريعة,ابو سامح,"9 ش 26 يوليو, المهندسين, الجيزة.",382938
وجبات سريعة,ابو سمرة تيك اواى,"46 ش قصر العينى, قصر العينى, القاهرة.",424611
وجبات سريعة,ابو ضيف,"ش محمد عبده, امبابة, الجيزة.",344095
وجبات سريعة,ابو عبده تيك اواى,"23 ش ترعة الجلاد, الزاوية الحمراء, القاهرة.",566028
وجبات سريعة,ابو عزب تيك اواى,"5 ش مسجد صلاح الدين, قرية بشتيل, اوسيم, الجيزة.",544824
وجبات سريعة,ابو عمار,"152 ش 9 ميدان دمشق, المعادى, القاهرة.",149621
وجبات سريعة,ابو عمر,"57 ش السد العالى, عين شمس, القاهرة.",416840
وجبات سريعة,ابو فهد,"5 عمارات اول مايو -, مدينة نصر, القاهرة.",474154
