Category,Name,Address,ID
تأجير تمويلى,ايزيليس ايجيبت,"كم 28, القرية الذكية, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",694154
تأجير تمويلى,اكرو مصر للسقالات والشدادات المعدنية,", المنطقة الصناعية - وادى حوف, حلوان, القاهرة.",46580
تأجير تمويلى,اكسبرينس للتمويل البنكى,"4 ابراج نصر الدين ش الهرم, الدور 10, نصر الدين, الهرم, الجيزة.",679100
تأجير تمويلى,الاهلى للتأجير التمويلى,"القطعة 33 - المجاورة السادسة - الحى الرابع, الشيخ زايد, السادس من اكتوبر, الجيزة.",449833
تأجير تمويلى,التوفيق للتأجير التمويلى,"56 ش جامعة الدول العربية ميدان مصطفى محمود, المهندسين, الجيزة.",129494
تأجير تمويلى,الشرق الاوسط للتصنيف الائتمانى وخدمة المستثمرين - ام اى ار اى اس,"8 ش السد العالى ميدان فينى - الدور 6 شقة 23, الدقى, الجيزة.",471302
تأجير تمويلى,الشركة الدولية للاستثمار والتجارة,"8 ش معز الدولة, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",125366
تأجير تمويلى,الشركة الدولية للتأجير التمويلى - انكوليس,"9 ش عبد المنعم رياض, المهندسين, الجيزة.",5514
تأجير تمويلى,الشركة الدولية للتجارة والتمويل,"ش النقراشى, السنبلاوين, الدقهلية.",576061
تأجير تمويلى,القاهرة للتخصيم,"مبنى كونكورديا - القطعة ب 2111 - كم 28 - طريق القاهرة اسكندرية الصحراوى - القرية الذكية, ابو رواش, الجيزة.",428106
تأجير تمويلى,الكرنك للتأجير التمويلى,"الاردنية, العاشر من رمضان, الشرقية.",622461
تأجير تمويلى,المؤسسة الاولى للتمويل متناهى الصغر,"43 ل ش الجزائر, الدور 4, ميدان الجزائر, المعادى الجديدة, المعادى, القاهرة.",427716
تأجير تمويلى,المراعى لتنمية المشروعات,"54 ش عز الدين عمر, الهرم, الجيزة.",233285
تأجير تمويلى,املاك العربية للاستثمار,"35 ش النخيل, المهندسين, الجيزة.",98208
تأجير تمويلى,اندورس,"52 ش لبنان, الدور 5, المهندسين, الجيزة.",677044
تأجير تمويلى,ايجبيت فاكتورز,"بلوك 11/H - - الدور 3, 4, المنطقة الحرة, مدينة نصر, القاهرة.",148953
تأجير تمويلى,بلس ليسينج,"56 ش جامعة الدول العربية, المهندسين, الجيزة.",486537
تأجير تمويلى,تكنوليس,"6 القطعة 2/23 - المحور المركزى, الحى الرابع, السادس من اكتوبر, الجيزة.",157601
تأجير تمويلى,تمكين للتاجير التمويلى,"ش بورسعيد ميدان مشعل - برج سلمى - الدور 3 شقة 7, المنصورة, الدقهلية.",599035
تأجير تمويلى,تمويل الامارات,"6 ش ابن النبيه, الزمالك, القاهرة.",170598
تأجير تمويلى,شركة اوريكس مصر للتأجير التمويلى ش.م.م.,"2 ش عبد القادر حمزة - الدور 5, جاردن سيتى, القاهرة.",34614
تأجير تمويلى,شركة كوربليس للتأجير التمويلى,"مبنى كوربليس ب 2112 - - القرية الزكية - كم 28 طريق القاهرة اسكندرية الصحراوى, السادس من اكتوبر, الجيزة.",110342
تأجير تمويلى,عبد العزيز محمود الطوبارى,"2 حارة رضوان, دمياط, دمياط.",503107
تأجير تمويلى,قارنلى,"ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",667431
تأجير تمويلى,كابرينت فينشيال سيرفيس,"3 ش البرديسى, ارض الجولف, مصر الجديدة, القاهرة.",146011
تأجير تمويلى,ليد فاونديشن,"16 ش لبنان - الدور 4, 8, المهندسين, الجيزة.",149720
تأجير تمويلى,مؤسسة ايد على ايد للتنمية,"64 ش التحرير, الدقى, الجيزة.",271565
تأجير تمويلى,مجموعة بيت الخبرة,"62 كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",452021
تأجير تمويلى,مشروع الخدمات المالية بمصر,"4 ميدان هيئة التدريس, الدقى, الجيزة.",117466
تأجير تمويلى,مصطفى احمد عبد الحميد,"3 ش السكة الحديد, عرايشية مصر, الاسماعيلية.",309425
تأجير تمويلى,يو اى فاينانس,"21 ش جامعة الدول العربية, المهندسين, الجيزة.",615011
