Category,Name,Address,ID
اتوبيسات شارتر ومحطات,ابو السعود,"ش الاخلاص متفرع من ش عثمان محرم, الطالبية, الهرم, الجيزة.",306186
اتوبيسات شارتر ومحطات,ابو الهول,"ش عشم الله, عين شمس الشرقية, القاهرة.",317081
اتوبيسات شارتر ومحطات,ابو الهول للسياحة,"1 ش محمد بركات, المنيرة الغربية, امبابة, الجيزة.",483506
اتوبيسات شارتر ومحطات,ابو حشيش للنقل والسياحة,"4 ش ابو زيد مغازى, تقسيم عمرو بن العاص, بولاق الدكرور, الجيزة.",592500
اتوبيسات شارتر ومحطات,ابو كلاى,"ش السلام متفرع من ش ابراهيم عبد الرازق, عين شمس الشرقية, القاهرة.",321632
اتوبيسات شارتر ومحطات,ابو مخلوف للرحلات,"13 ش حجاج الجزار, ارض اللواء, الجيزة.",548397
اتوبيسات شارتر ومحطات,اصدقاء دريم,"عمارات الضباط -, فيصل, الجيزة.",392535
اتوبيسات شارتر ومحطات,اكرامى للرحلات,"223 ش ملك حفنى, سيدى بشر, الاسكندرية.",223138
اتوبيسات شارتر ومحطات,ال حجر,"ش سيدى عقيل, سمنود, الغربية.",345380
اتوبيسات شارتر ومحطات,ال حسنين للرحلات,"7 ش حسين ابو على متفرع من ش ابن تومرت, الحضرة قبلى, الاسكندرية.",257500
اتوبيسات شارتر ومحطات,الاسراء,"ش الجمهورية, القلج, القليوبية.",423511
اتوبيسات شارتر ومحطات,الايمان جيت,"4 ش علاء الدين, متفرع من ش احمد حلمى, شبرا, القاهرة.",588060
اتوبيسات شارتر ومحطات,الباشا ترافل,"طريق النصر, الدهار, الغردقة.",247395
اتوبيسات شارتر ومحطات,البدر للنقل المميز الجماعى والرحلات,"8 ميدان حليم, السيدة زينب, القاهرة.",95353
اتوبيسات شارتر ومحطات,البراق,"ش عشم الله, عين شمس الشرقية, القاهرة.",317170
اتوبيسات شارتر ومحطات,التوحيد لخدمات النقل والتوريدات,"45 عمارات التعاونيات - ش الاذاعة - المساعيد, العريش, شمال سيناء.",184742
اتوبيسات شارتر ومحطات,التوفيق للرحلات,"8 ش الحافظية, شبرا, القاهرة.",236681
اتوبيسات شارتر ومحطات,الحسين للرحلات,"295 ش سكة الوايلى - الدور 5 شقة 15, حدائق القبة, القاهرة.",254531
اتوبيسات شارتر ومحطات,الحصان الذهبى واوتوبيسى,"16 ش احمد حلمى, شبرا, القاهرة.",213341
اتوبيسات شارتر ومحطات,الرحاب ترافيل,"5 ش محمد فؤاد حامد, حدائق حلوان, القاهرة.",448004
