Category,Name,Address,ID
مسامير قلاووظ وصواميل ومسامير وبنط,بيترو للمواسير ومستلزماتها,"16 - 20 ش باغوش بك يوسف, متفرع من ش ابو الدردار, اللبان, الاسكندرية.",387295
مسامير قلاووظ وصواميل ومسامير وبنط,حسنى ستيل,"17, اسواق المدينة الاردنية, العاشر من رمضان, الشرقية.",152876
مسامير قلاووظ وصواميل ومسامير وبنط,الاقصى للتجارة والتوريدات,"50 ش السبتية, مول المصريين - امام مسجد طلعت, السبتية, القاهرة.",633232
مسامير قلاووظ وصواميل ومسامير وبنط,جنرال للتوريدات,"14, اسواق المدينة - الاردنية, العاشر من رمضان, الشرقية.",152905
مسامير قلاووظ وصواميل ومسامير وبنط,البسيط للتجارة والتوريدات للمسامير الصلب والاستانلس ستيل,"19 أ ش مدرسة عباس, السبتية, القاهرة.",96219
مسامير قلاووظ وصواميل ومسامير وبنط,صبرى للتجارة والتوريدات الصناعية - صبرى ستورز,"امام 38 ش صلاح الدين, العطارين, الاسكندرية.",253703
مسامير قلاووظ وصواميل ومسامير وبنط,2 بى اس جروب,"38 عمارات الشرارة - ش حسن المأمون شقة 3, مدينة نصر, القاهرة.",433373
مسامير قلاووظ وصواميل ومسامير وبنط,ابراهيم احمد سعد,"71 ش ابى الدرداء, المنشية, الاسكندرية.",33009
مسامير قلاووظ وصواميل ومسامير وبنط,ابراهيم عزيز حنا,"46 ش صلاح الدين, اللبان, الاسكندرية.",96642
مسامير قلاووظ وصواميل ومسامير وبنط,ابو العز,"ش بطل السلام, المسلة, الفيوم.",337657
مسامير قلاووظ وصواميل ومسامير وبنط,ابو سليمان للعدد,"28 حارة الحسينى, وسط البلد, القاهرة.",626047
مسامير قلاووظ وصواميل ومسامير وبنط,ابو سمير,"ش الشركات, الزاوية الحمراء, القاهرة.",403314
مسامير قلاووظ وصواميل ومسامير وبنط,ابو عبده,"9 ش محمد ابو النجا, عين شمس, القاهرة.",420695
مسامير قلاووظ وصواميل ومسامير وبنط,ابو يوسف للمسامير,"37 ش غرب السكة الحديد, البساتين, القاهرة.",504157
مسامير قلاووظ وصواميل ومسامير وبنط,ابو يوسف للمسامير,"5 ش محمود مرسى - ارض الحداد, امبابة, الجيزة.",575095
مسامير قلاووظ وصواميل ومسامير وبنط,اس ستيل لمستلزمات المصانع,", الاردنية, العاشر من رمضان, الشرقية.",635718
مسامير قلاووظ وصواميل ومسامير وبنط,اسامة عبد الرحمن للمسامير,"19 ش مدرسة عباس, السبتية, القاهرة.",193300
مسامير قلاووظ وصواميل ومسامير وبنط,اسامة لتجارة المسامير,"16 ش مؤسسة الزكاة, المرج, القاهرة.",562294
مسامير قلاووظ وصواميل ومسامير وبنط,اسماعيل لونجا للمسامير,"ش صلاح سالم, الجيزة, الجيزة.",433437
مسامير قلاووظ وصواميل ومسامير وبنط,ال حافظ,"10 كم 2.5 - طريق مسطرد - المنطقة الصناعية, شبرا الخيمة, القليوبية.",204556
مسامير قلاووظ وصواميل ومسامير وبنط,ال نصر لسحب الاسلاك وصناعة المسامير وتشغيل المعادن,"2 ش حسن شاهين, الشرابية, القاهرة.",168440
مسامير قلاووظ وصواميل ومسامير وبنط,الاحلام,"المدينة الصناعية, بلطيم, كفر الشيخ.",113823
مسامير قلاووظ وصواميل ومسامير وبنط,الاحمدين للمسامير,"الاردنية - ابراج الاحلام - برج ج - وحدة 16, العاشر من رمضان, الشرقية.",620527
