Category,Name,Address,ID
شواطىء,ادرينالين بيتش بارك,"المنتزة, رأس نصرانى, شرم الشيخ.",526848
شواطىء,اروما بيتش كلوب,"كم 34 - طريق العين السخنة السويس, العين السخنة, العين السخنة.",503977
شواطىء,ال جوستو بيتش,", المدينة القديمة, سهل حشيش, الغردقة.",491895
شواطىء,ام ار اس - خدمات الانقاذ البحرى,"147 ش الملتقى العربى, مساكن شيراتون, مصر الجديدة, القاهرة.",670925
شواطىء,بوزها بيتش,"طريق مانجروفى, شاطئ منجروفى, الجونة.",567216
شواطىء,تيراسينا بيتش,"السوق القديم, شرم المياه, شرم الشيخ.",316827
شواطىء,تيراسينا تو بيتش,"., شرم المياه, شرم الشيخ.",255452
شواطىء,دراجون لخدمات القرى السياحية والانقاذ البحرى,"31 ش مصطفى كامل, الدور 2, عمارة لؤلؤة سموحة, سموحة, الاسكندرية.",670931
شواطىء,سانتورينى بيتش,"مارينا 5 - المنطقة 21, مارينا, الساحل الشمالى.",589881
شواطىء,شاطئ اليشمك,"كم 75 -, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",513237
شواطىء,شاطئ سبلاش,"كم 179, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",513352
شواطىء,شاطئ لافام,"كم 94 - طريق اسكندرية مطروح الصحراوى - مارينا 5, مارينا, الساحل الشمالى.",106666
شواطىء,محمية,"., جزيرة جفتون, الغردقة.",148768
شواطىء,هوت بينك,"كم 136 - طريق اسكندرية مطروح الصحراوى, سيدى عبد الرحمن, الساحل الشمالى.",469023
