Category,Name,Address,ID
مدارس رقص,استوديو جابى شيبا للرقص والفنون المسرحية,"45 ش 9, المعادى, القاهرة.",174307
مدارس رقص,اكاديمية باليه فاطيما,"3 ش كمال رسلان, ميدان المحكمة, مصر الجديدة, القاهرة.",577526
مدارس رقص,او ستورى ارتس سنتر,"ش 9 - الدور 1, المقطم, القاهرة.",520530
مدارس رقص,ايتوال جيم,"10 ش عبد القادر المازنى, متفرع من ش ابو قير, الابراهيمية, الاسكندرية.",666846
مدارس رقص,ايزى تالنت اكاديمى,"القطعة 56, منطقة خدمات الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",545318
مدارس رقص,باشن,"77 ش سوريا, الشقة 901, الدور 9, المهندسين, الجيزة.",458627
مدارس رقص,باليرينا,"19 ش احمد كمال, مصر الجديدة, القاهرة.",423019
مدارس رقص,براس مانكيز ستوديوز,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",600691
مدارس رقص,دانس.فت,"عمارات البارون - ش البرت الاول, سموحة, الاسكندرية.",530904
مدارس رقص,دانسيشان ايجيبت,"6 ش الجزائر, الشقة 2, الدور 1, متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",298826
مدارس رقص,ذا سبين ايجيبت,"محور نجيب محفوظ, التجمع الاول, القاهرة الجديدة, القاهرة.",544983
مدارس رقص,سنتر تمارين,"6 ش امير البحار, كفر عبده, الاسكندرية.",101919
مدارس رقص,سنترال ستوديو,"53, النرجس 3, النرجس, القاهرة الجديدة, القاهرة.",675517
مدارس رقص,شيرلى شلبى,"12 عمارات حدائق رامو ش عمر بن الخطاب, الشقة 23, مدينة نصر, القاهرة.",9794
مدارس رقص,فوج سنتر,"82 ش عبد العزيز فهمى, سانت فاتيما, مصر الجديدة, القاهرة.",151371
مدارس رقص,فور ايفر يونج دانس ستوديو,"11 ش البحرين, المريلاند, مصر الجديدة, القاهرة.",600697
مدارس رقص,لاتن لاف دانس سكول,"17 ش 213, الشقة 23, الدور 2, دجلة, المعادى, القاهرة.",530667
مدارس رقص,مدرسة سابيروفا للرقص,", الممشى السياحى, طريق القرى, الغردقة.",147672
مدارس رقص,مركز ارثر مارى للرقص الرياضى,", كمباوند ستيلا, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",62982
مدارس رقص,مركز الرقص المعاصر,"1 ميدان موسى جلال, المهندسين, الجيزة.",522468
مدارس رقص,مركز جوى كلونى,"110/أ ش يحيى ابراهيم, متفرع من ش 26 يوليو, الزمالك, القاهرة.",629377
مدارس رقص,مركز ريزودانس - مصر,"15 ش سيزوستريس, الدور 2, محطة الرمل, الاسكندرية.",260686
مدارس رقص,مركز سامية علوبة للياقة البدنية والرقص,"13 ب ش 254, دجلة, المعادى, القاهرة.",74475
مدارس رقص,موشن ستوديو,"12 ش حسن شفيق المصرى, متفرع من ش عبد الحميد بدوى, خلف كنتاكى, ميدان الحجاز, مصر الجديدة, القاهرة.",631059
