Category,Name,Address,ID
تصميم داخلي,شركة سنجر لصناعة الطوب الطفلى,"طريق الاوتوستراد - ش العمدة, المنطقة الصناعية -عرب ابو ساعد, الصف, الجيزة.",447188
تصميم داخلي,فيوتشر ثرى ايه لاستيراد وتصدير الاستانلس ستيل - م. حمدى عقيل,"طريق دمياط المنصورة السريع, التوفيقية, كفر سعد, دمياط.",348587
تصميم داخلي,ترو تك للنجيل واللاند سكيب والزرع الصناعى,"ش بورسعيد, الموسكى, القاهرة.",680452
تصميم داخلي,الفؤاد جروب,"58 ش الزهراء, متفرع من ش عمان, الدقى, الجيزة.",690828
تصميم داخلي,لاندمارك,", السادس من اكتوبر, الجيزة.",551561
تصميم داخلي,السويدى للادوات والكابلات الكهربائية - احمد صادق,"14 ش سراى الازبكية, متفرع من ش عماد الدين, وسط البلد, القاهرة.",62830
تصميم داخلي,البلتاجى للمقاولات والتجارة,"1 ش فاطمة الزهراء, متفرع من ش شكرى القوتلى, المحلة الكبرى, الغربية.",115592
تصميم داخلي,الذهبية لصناعة وتجارة الاسقف المعلقة,"القطعة 0/14 أ /1, جمعية المهندسين العرب - الزاومل, بلبيس, الشرقية.",684705
تصميم داخلي,سكيل لمقاولات اللاندسكيب والديكور الخارجي,"63 ش صقر قريش, المعادى, القاهرة.",689899
تصميم داخلي,ايرا للتطوير والبناء,"وحدة 7, الدور 4, المحور المركزى, السادس من اكتوبر, الجيزة.",694221
تصميم داخلي,لايتيلا جروب,"ش 112, مدينة العبور, القليوبية.",694130
تصميم داخلي,تبارك للديكور والاسقف المعلقة,"108 ش مؤسسة الزكاة, محطة المصلية, المرج, القاهرة.",565175
تصميم داخلي,رواق للتصميمات,"159 عمارات بهلر ش 26 يوليو, الزمالك, القاهرة.",468194
تصميم داخلي,مكة للمقاولات العامة,"مول مراجع, برج العرب الجديدة, الاسكندرية.",689306
تصميم داخلي,شركة ناجى للزجاج والديكور,"16 ش جوزيف تيتو, النزهة الجديدة, القاهرة.",4240
تصميم داخلي,جريد مجموعة التصميم المتكاملة,"27 ش سعيد الحلوانى, متفرع من ش العروبة, مصر الجديدة, القاهرة.",300866
تصميم داخلي,ثرى دى لايف للمجسمات,"13 ش خالد بن الوليد, متفرع من ش معهد امناء الشرطة, طره, القاهرة.",221680
تصميم داخلي,ديكور سينس لتوريد خامات الاسقف المعلقة والقواطيع الجبسية,", محور الكفراوى, السادس من اكتوبر, الجيزة.",680761
تصميم داخلي,رويال للاسقف المعلقة والديكور,"15 برج ماس ش اللبينى, المريوطية, فيصل, الجيزة.",508763
تصميم داخلي,مؤسسة المستقبل للديكور,", الرابعة الناصرية - شرق سموحة, سموحة, الاسكندرية.",474985
تصميم داخلي,فاين فريمز - م. عبير عوض,"., التجمع الاول, القاهرة الجديدة, القاهرة.",481488
تصميم داخلي,هيدرا للاعمال الفنية - مروان سالم ديزاينز,"الكيلو 11 - طريق اسكندرية الزراعى, ابيس, الاسكندرية.",457911
تصميم داخلي,رتاج للعمارة والديكور والتشطيبات,"2 ابراج الشركة العالمية (ابراج عزيز ميخائيل), الدور 2, المحور المركزى, السادس من اكتوبر, الجيزة.",688342
تصميم داخلي,شركة الاخوة لتصنيع الاثاث - اولاد بطاطا,"11 ش محمد بدوى خلیل, المنطقة الصناعیه, الشرابية, القاهرة.",668333
تصميم داخلي,ايه اتش دابليو اركيتكتس مصر,"برج ريحانة بلازا, الدور 9, زهراء المعادى, المعادى, القاهرة.",690613
تصميم داخلي,هاوس اوف فرامز,"20 ش الماظة, مصر الجديدة, القاهرة.",168439
تصميم داخلي,الروضة للأسقف المعلقة والديكور,"دائري المرج الجدیدة, المرج الجديدة, القاهرة.",674399
تصميم داخلي,جدار للتنمية والمقاولات,"25 أ عمارات العبور طريق صلاح سالم, مدينة نصر, القاهرة.",208330
تصميم داخلي,كادر للبراويز,"قطعة 5/54, المنطقة الصناعية الثالثة, مدينة بدر, القاهرة.",49904
تصميم داخلي,العالمية لتجارة الدهانات - ماجو توب,"20 ش جمال عبد الناصر, فيكتوريا, الاسكندرية.",233209
تصميم داخلي,ارك فيلد,"4 ش محمود طلعت - ش السلولى سابقا, متفرع من ش النيل, الدقى, الجيزة.",156190
تصميم داخلي,بروساينز للدعاية والاعلان,"3 مكرر ش نجيب محفوظ, متفرع من ميدان شاهين, العجوزة, الجيزة.",123476
تصميم داخلي,ال على للزجاج والبلور واعمال السيكوريت,"11535, المجاورة السادسة, الحى الرابع, السادس من اكتوبر, الجيزة.",612766
تصميم داخلي,الرواد للمقاولات واعمال التشطيبات,"15 ش اللواء محمد سامى البارودى متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",600076
تصميم داخلي,السمان جروب,"180 ش ابو بكر الصديق متفرع من ش 18 - تقسيم عمر بن الخطاب, جسر السويس, القاهرة.",541169
تصميم داخلي,بناء للمقاولات والاستثمار,"42 ش 18, الحي الخامس, التجمع الخامس, القاهرة الجديدة, القاهرة.",563402
تصميم داخلي,بيراميديانز - معماريون,"31 ش عمر بكير - برج ارابيسك, سانت فاتيما, مصر الجديدة, القاهرة.",191446
تصميم داخلي,ديزاين وورلد,"37 ش عباس العقاد, مدينة نصر, القاهرة.",336358
تصميم داخلي,شركة ارك لاين,"6 ش معز الدولة, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",602850
تصميم داخلي,فيوتشر للتوريدات,"67 ش عبد العزيز فهمى - النزهة, مصر الجديدة, القاهرة.",67869
تصميم داخلي,كى اتش ديزاين,"2 ابراج المهندسين -, كورنيش المعادى, المعادى, القاهرة.",451881
تصميم داخلي,ماجستى للتشطيبات التكميلية,"21 برج الاكرام - ش احمد فتحى, جليم, الاسكندرية.",476925
تصميم داخلي,مجموعة الكل فى واحد,"20 ش جمال سالم, متفرع من ش مصدق, الدقى, الجيزة.",1049
تصميم داخلي,مصنع ريتش وود للاثاث,"قطعة 56 - بلوك 16, امتداد المنطقة الصناعية, دمياط الجديدة, دمياط.",600258
تصميم داخلي,يونايتد للتجارة والهندسة والديكورات الاستانلس,"25 ش عمر بن الخطاب, الهرم, الجيزة.",320399
تصميم داخلي,360 ْ معماريون,"المنطقة 11 - مكتب 301, مدينة السادات, المنوفية.",621433
تصميم داخلي,360 اركتيكتس,"بلوك 2/1محور خدمات الحى السابع الدور 2, مدينة السادات, المنوفية.",621290
تصميم داخلي,اب,"4 ش قناة السويس - الدور 4, المنصورة, الدقهلية.",470523
تصميم داخلي,ابتكار,"1 ش مصر اكتوبر متفرع من ش ترعة الزمر, الهرم, الجيزة.",468250
تصميم داخلي,ابتكارك,"6 ش جامعة الدول العربية, المهندسين, الجيزة.",522428
تصميم داخلي,ابداع,"15 ش عبد السميع عيسى, فيصل, الجيزة.",394610
تصميم داخلي,ابداع للتصميم الداخلى,"3 ش حسين بكرى, دمياط, دمياط.",507921
تصميم داخلي,ابداع للديكور,"., بلطيم, كفر الشيخ.",245446
تصميم داخلي,ابداع للديكورات,"ميدان ام البطل - ابراج الكهرباء - برج 4 - الدور 1 شقة 2, اسيوط, اسيوط.",504396
تصميم داخلي,ابداع للعمارة الراقية,"عمارة 92 - - غرب ارابيلا, ارابيلا, القاهرة الجديدة, القاهرة.",458048
