Category,Name,Address,ID
مديريات الثقافة,اقليم القاهرة الكبرى وشمال الصعيد الثقافى,"ش اليابان, الهرم, الجيزة.",345648
مديريات الثقافة,اقليم القناة وسيناء الثقافى,"6 ش عدلى تقاطع ش الجيش, وسط البلد, الاسماعيلية.",345645
مديريات الثقافة,اقليم شرق الدلتا الثقافى,"ش الجمهورية, المنصورة, الدقهلية.",345644
مديريات الثقافة,اقليم غرب ووسط الدلتا الثقافى,"84 طريق الحرية, باب شرق, الاسكندرية.",345633
مديريات الثقافة,اقليم وسط وجنوب الصعيد الثقافى,"منطقة الوليدية, حى شرق, اسيوط.",345637
مديريات الثقافة,مديرية الثقافة - اسوان,"ش كورنيش النيل, وسط البلد, اسوان.",342491
مديريات الثقافة,مديرية الثقافة - اسيوط,"12 ش 1 تقسيم الحقوقيين, اسيوط, اسيوط.",343139
مديريات الثقافة,مديرية الثقافة - الاسكندرية,"456 عمارات السعد - طريق الحرية - الدور 9, رشدى, الاسكندرية.",339869
مديريات الثقافة,مديرية الثقافة - الاسماعيلية,"ش صبرى مبدة, الشيخ زايد, الاسماعيلية.",344771
مديريات الثقافة,مديرية الثقافة - الاقصر,"ش كورنيش النيل - العوامية, الاقصر, الاقصر.",344654
مديريات الثقافة,مديرية الثقافة - البحر الاحمر,"ش الاحياء, الدهار, الغردقة.",342475
مديريات الثقافة,مديرية الثقافة - البحيرة,"ش الجمهورية, دمنهور, البحيرة.",339113
مديريات الثقافة,مديرية الثقافة - الجيزة,"30 ش اليابان, الهرم, الجيزة.",343081
مديريات الثقافة,مديرية الثقافة - الدقهلية,"ش الجمهورية, المنصورة, الدقهلية.",344933
مديريات الثقافة,مديرية الثقافة - السويس,"3 ش سعد زغلول, حى السويس, السويس.",345157
مديريات الثقافة,مديرية الثقافة - الشرقية,"ش اللواء عبد العزيز على, الزقازيق, الشرقية.",345023
مديريات الثقافة,مديرية الثقافة - العريش,"ش 23 يوليو - الدور 4, العريش, شمال سيناء.",344708
مديريات الثقافة,مديرية الثقافة - الغربية,"عمارة الاوقاف الجديدة - ش المديرية, طنطا, الغربية.",339114
مديريات الثقافة,مديرية الثقافة - الفيوم,"ش الجمهورية, وسط البلد, الفيوم.",345355
مديريات الثقافة,مديرية الثقافة - القاهرة,"30 ش شريف, وسط البلد, القاهرة.",345422
مديريات الثقافة,مديرية الثقافة - القليوبية,"كورنيش النيل, بنها, القليوبية.",345584
مديريات الثقافة,مديرية الثقافة - المنوفية,"حى غرب, شبين الكوم, المنوفية.",339888
مديريات الثقافة,مديرية الثقافة - الوادى الجديد,"ش العدل, الخارجة, الوادى الجديد.",343538
مديريات الثقافة,مديرية الثقافة - بنى سويف,"ش احمد عرابى, بنى سويف, بنى سويف.",343008
مديريات الثقافة,مديرية الثقافة - بورسعيد,"ش 23 يوليو, حى الشرق, بور سعيد.",345209
مديريات الثقافة,مديرية الثقافة - جنوب سيناء,"., الطور, جنوب سيناء.",344689
مديريات الثقافة,مديرية الثقافة - دمياط,"18 ش طلعت حرب, دمياط, دمياط.",344244
مديريات الثقافة,مديرية الثقافة - سوهاج,"2 ش التحرير ميدان الثقافة, سوهاج, سوهاج.",343207
مديريات الثقافة,مديرية الثقافة - قنا,"ش الشهيد مصطفى كمال, وسط البلد, قنا.",341076
مديريات الثقافة,مديرية الثقافة - كفر الشيخ,"ش ابو بكر الصديق, حى شرق, كفر الشيخ.",343785
مديريات الثقافة,مديرية الثقافة - مطروح,"ش الجلاء, وسط البلد, مرسى مطروح.",339112
