Category,Name,Address,ID
مساحة ومعدات مساحة,الشرق الاوسط لتكنولوجيا المساحة,"12 ش سليمان الحلبى, متفرع من ش عماد الدين, وسط البلد, القاهرة.",589483
مساحة ومعدات مساحة,سيرفيينج سيستمز,"عمارة قصر تبارك ش مصطفى كامل, الدور 3, سموحة, الاسكندرية.",50984
مساحة ومعدات مساحة,ابو سلامة لقياس وتقسيم الاراضى,"2 ش الشهيد عبد العزيز متفرع من ش التحرير - صفط اللبن, بولاق الدكرور, الجيزة.",559167
مساحة ومعدات مساحة,ارمز لانظمة المساحة والتحكم,"279 هـ , حدائق الاهرام, الهرم, الجيزة.",546582
مساحة ومعدات مساحة,اس ام ايه لاعمال المساحة والهندسة,"ش علوان, منشية الحبشى - عمارة الايمان, دمنهور, البحيرة.",635436
مساحة ومعدات مساحة,اس جى جى سيستمز,"201 ش 26 يوليو ميدان سفنكس - الدور 8, المهندسين, الجيزة.",435875
مساحة ومعدات مساحة,استرايك فورث للامن والخدمات,"5 ب ش غرناطة, روكسى, مصر الجديدة, القاهرة.",349952
مساحة ومعدات مساحة,اكسكو تك لاعمال المساحة المتكاملة,"ج ابراج كيروسيز - - الدور 4 شقة 410, السيوف, الاسكندرية.",135976
مساحة ومعدات مساحة,الالفى للتخطيط والمساحة,"., حدائق الاهرام, الهرم, الجيزة.",440656
مساحة ومعدات مساحة,الامل للتجارة والمعدات,"88 ش جسر السويس, روكسى, مصر الجديدة, القاهرة.",2173
مساحة ومعدات مساحة,التوحيد,"ش مسجد الامام على, وسط البلد, الاسماعيلية.",153193
مساحة ومعدات مساحة,الجيزة للمساحة والمقاولات,"ش المريوطية تقاطع ش الهرم, المريوطية, الهرم, الجيزة.",521121
مساحة ومعدات مساحة,الحاوى لاعمال المساحة والمقاولات,"ش عثمان محمد متفرع من ش طه الحكيم - الدور 3, طنطا, الغربية.",379689
مساحة ومعدات مساحة,الراضى للمساحة,"ش الكورنيش, دمنهور, البحيرة.",644673
مساحة ومعدات مساحة,الشرق الاوسط للخبرة والمراجعة - ميسكو,"7 ميدان سعد زغلول, محطة الرمل, الاسكندرية.",31793
مساحة ومعدات مساحة,الشركة الدولية للتفتيش,"6 ش عبد المجيد مرسى, باب شرق, الاسكندرية.",115108
