Category,Name,Address,ID
خرسانة جاهزة,الفاروق للخرسانة الجاهزة والمقاولات,"98 عمارات الضباط ش 22, مصطفى كامل, الاسكندرية.",162629
خرسانة جاهزة,كون ستار للتجارة والإستيراد والتصدير,"برج النخلة ش قناة السويس, المنصورة, الدقهلية.",669897
خرسانة جاهزة,جايجانتك للتجارة والمقاولات,"64 ش الحجاز, النزهة, مصر الجديدة, القاهرة.",687391
خرسانة جاهزة,المدينة للخرسانة الجاهزة,"برج النخلة ش قناة السويس, المنصورة, الدقهلية.",652133
خرسانة جاهزة,اجياد للخرسانة الجاهزة,", المجاورة الاولى, الحى الثانى - قرية ليجاندا - المبنى التجارى 3I, الشيخ زايد, السادس من اكتوبر, الجيزة.",693207
خرسانة جاهزة,النصر للخرسانة الجاهزة - النصر ميكس,"الكيلو 57, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",688786
خرسانة جاهزة,النعمان جروب للمقاولات,", قرية خرفة, جرجا, سوهاج.",693965
خرسانة جاهزة,امكس للخرسانة الجاهزة,"محور احمد زويل, حدائق اكتوبر, السادس من اكتوبر, الجيزة.",692460
خرسانة جاهزة,ماستر بيلدرز,"ش 20, سموحة, الاسكندرية.",190280
خرسانة جاهزة,مصادر للاستيراد والتصدير,"19 عمارة 8 فيروزة سموحة طريق المحمودية, سموحة, الاسكندرية.",688965
خرسانة جاهزة,هوم ميكس للخرسانة الجاهزة,"150 ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",689283
