Category,Name,Address,ID
مهندسين معماريين,ماس للاستشارات الهندسية,"11 ش محمد النادى, متفرع من ش مكرم عبيد - موازى ش مصطفى النحاس, مدينة نصر, القاهرة.",139834
مهندسين معماريين,رواق للتصميمات,"159 عمارات بهلر ش 26 يوليو, الزمالك, القاهرة.",468194
مهندسين معماريين,جريد مجموعة التصميم المتكاملة,"27 ش سعيد الحلوانى, متفرع من ش العروبة, مصر الجديدة, القاهرة.",300866
مهندسين معماريين,ثرى دى لايف للمجسمات,"13 ش خالد بن الوليد, متفرع من ش معهد امناء الشرطة, طره, القاهرة.",221680
مهندسين معماريين,رتاج للعمارة والديكور والتشطيبات,"2 ابراج الشركة العالمية (ابراج عزيز ميخائيل), الدور 2, المحور المركزى, السادس من اكتوبر, الجيزة.",688342
مهندسين معماريين,ايه اتش دابليو اركيتكتس مصر,"برج ريحانة بلازا, الدور 9, زهراء المعادى, المعادى, القاهرة.",690613
مهندسين معماريين,ام بى للاستشارات الهندسية,"11 ش الاديب على ادهم, الشقة 401, الدور 4, متفرع من ش الشهيد سيد زكريا خليل, مساكن شيراتون, مصر الجديدة, القاهرة.",60646
مهندسين معماريين,ادفايزر للاستشارات - معماريون ومصممون,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",694114
مهندسين معماريين,المكتب الهندسى الاستشارى - ايه اف اس,"8 ش 162 ب, حدائق المعادى, المعادى, القاهرة.",347573
مهندسين معماريين,ارك فيلد,"4 ش محمود طلعت - ش السلولى سابقا, متفرع من ش النيل, الدقى, الجيزة.",156190
مهندسين معماريين,شركة الانشاءات العربية,"مبنى شركة الانشاءات العربية - مبنى 14 س, كمباوند الدبلوماسيين, التجمع الخامس, القاهرة الجديدة, القاهرة.",10365
مهندسين معماريين,شركة دار الهنا للانشاءات والتجارة,"58 عمارة حسين صدقى ش مصر حلوان الزراعى, الشقة 14, الدور 1, المعادى, القاهرة.",629786
مهندسين معماريين,ابتك للاستشارات الهندسية - مهندس احمد ابو سمك ومشاركوه,"10 ش سلمان الفارسى, العصافرة بحرى, الاسكندرية.",568559
مهندسين معماريين,انكوم جروب,"16 أ برج الصبان - عمارات العبور - ش صلاح سالم - الدور 1, مصر الجديدة, القاهرة.",463509
مهندسين معماريين,بيراميديانز - معماريون,"31 ش عمر بكير - برج ارابيسك, سانت فاتيما, مصر الجديدة, القاهرة.",191446
مهندسين معماريين,مؤسسة السعودى للاعمال الهندسية,"ش الجمهورية تقسيم البرداويل, العامرية, الاسكندرية.",611430
مهندسين معماريين,ابداع مكتب العمارة,"17 عمارات العبور، طريق صلاح سالم, مدينة نصر, القاهرة.",55029
مهندسين معماريين,ابراهيم محمود محمد,"ش السنترال, الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619152
مهندسين معماريين,ابسلون للاستشارات الهندسية,"17 ش نادى الصيد, الدقى, الجيزة.",267172
مهندسين معماريين,ابعاد للهندسة والديكور,"ش الشيراتون, سقالة, الغردقة.",152279
مهندسين معماريين,ابكو - مكتب المهندسين الاستشاريين للتخطيط,"20 ش الثورة - الدور 2 شقة 201, الدقى, الجيزة.",19271
مهندسين معماريين,ابن الهيثم الاستشارى,"31 ش 100, المعادى, القاهرة.",6961
مهندسين معماريين,ابو الفضل - الحضرى - الخولى - مهندسون استشاريون,"21 ش امين فكرى - الدور 4 شقة 21, محطة الرمل, الاسكندرية.",33229
مهندسين معماريين,ابيكو للاستشارات الهندسية,"259 ش جسر السويس, جسر السويس, القاهرة.",239491
مهندسين معماريين,ات ديزاين,"113 ش النزهة - الدور 1 شقة 5, تريومف, مصر الجديدة, القاهرة.",383908
مهندسين معماريين,احمد بدوى,"96 ش النيل ميدان الجلاء, الدقى, الجيزة.",132318
مهندسين معماريين,احمد حجاج القمصانى,"حارة محمد سعد - متفرع من ش العلوايا, عين شمس الشرقية, القاهرة.",326554
مهندسين معماريين,احمد فضل احمد,"37 ش عباس عنانى, البدرشين, الجيزة.",206759
مهندسين معماريين,ادفيزور,"ش الكوبرى, بنها, القليوبية.",303257
مهندسين معماريين,اديكون - مكتب التصميمات والاستشارات الهندسية,"13 ش 26 يوليو ميدان لبنان, المهندسين, الجيزة.",250527
مهندسين معماريين,ار ام سى - رأفت ميلر للاستشارات,"6 ش بولس حنا, الدقى, الجيزة.",99536
مهندسين معماريين,ار دبليو ارمسترونج,"15 طريق العروبة متفرع من طريق صلاح سالم - الدور 2 شقة 7, مساكن شيراتون, مصر الجديدة, القاهرة.",462650
مهندسين معماريين,اراديكيا للتصميمات الهندسية,"12 ش ابن سندر, سراى القبة, القاهرة.",659794
مهندسين معماريين,ارب تك جردانة,"36 ش ميشيل باخوم, الدقى, الجيزة.",171019
مهندسين معماريين,ارت برودكشن هوس,"فيلا 155 - - حى الفيلات - الحى الرابع - التجمع الخامس , القاهرة الجديدة, القاهرة.",216498
مهندسين معماريين,ارك,"3 ش اسحق يعقوب - الدور 1, الماظة, مصر الجديدة, القاهرة.",177951
مهندسين معماريين,ارك بلان,"6 عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",160019
مهندسين معماريين,ارك ستوديو,"32 ش بهجت على, الزمالك, القاهرة.",146612
مهندسين معماريين,ارك كونسلت,"1 ابراج برعى بلازا المحور المركزى, الدور 1, ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",451044
مهندسين معماريين,ارك ماستر,"15 ش 5, مصر الجديدة, القاهرة.",137454
مهندسين معماريين,ارك.سبيس,"291 ش رمسيس - الدور 2, غمره, القاهرة.",578128
مهندسين معماريين,اركتكت بوب,"57 ش 25, شبرا الخيمة, القليوبية.",410865
مهندسين معماريين,اركميد,"12 ش تونس متفرع من ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",528875
مهندسين معماريين,اركون,"4 ش قمبيز, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",95157
مهندسين معماريين,اركى تك للهندسة,"41 ش احمد حشمت, الزمالك, القاهرة.",130001
مهندسين معماريين,اركى سويتس,"18 ش رمضان بيومى, المريوطية, فيصل, الجيزة.",267623
مهندسين معماريين,اركى فيو,"1 أ ميدان العادل ابو بكر, الزمالك, القاهرة.",221259
مهندسين معماريين,اركيبلان للاستشارات الهندسية,"49 ب ش الثورة, ارض الجولف, مصر الجديدة, القاهرة.",144965
مهندسين معماريين,اركيتكتشر ستوديو,"435 ب - الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",267946
مهندسين معماريين,اركيد للهندسة والمقاولات,"13 ميدان اسوان, المهندسين, الجيزة.",440117
مهندسين معماريين,اس ايه للهندسة المعمارية,"15 ش طيبة متفرع من ش سليمان اباظة - الدور 4 شقة 44, الدقى, الجيزة.",463491
مهندسين معماريين,اس سكوير للانشاء والتعمير,"46 ش النزهة, الشقة 20, الدور 7, النزهة, مصر الجديدة, القاهرة.",689530
مهندسين معماريين,استشارى العمارة والهندسة,"47 ش بيروت, الشقة 303, الدور 3, ميدان صلاح الدين, مصر الجديدة, القاهرة.",174341
مهندسين معماريين,اسكتش للتصميمات المعمارية,"19 ش محمد عبده - باب الحرس, دمياط, دمياط.",503257
مهندسين معماريين,اسكو - المكتب الاستشارى لهندسة النظم الكهربائية,"1 برج نوران ش 302, الدور 5, تقسيم القضاة, سموحة, الاسكندرية.",467083
مهندسين معماريين,اسلام,"ش تونس, وسط البلد, كفر الشيخ.",339912
مهندسين معماريين,اسماعيل حلمى,"195 ش 26 يوليو, المهندسين, الجيزة.",6458
مهندسين معماريين,اسيدج - مجموعة الهندسة للاستشارات والتصميم,"44 أ ش الدقى, الدقى, الجيزة.",21963
مهندسين معماريين,اشرقت,"ش 23 يوليو, سيدى سالم, كفر الشيخ.",368027
مهندسين معماريين,افكو العربى الفرنسى للاستشارات,"14 ش السيل, روكسى, مصر الجديدة, القاهرة.",1892
مهندسين معماريين,اكاسيا ديزاين جروب,"17 ش ابن كثير, مصر الجديدة, القاهرة.",457988
مهندسين معماريين,اكاسيا كروب,"ش المدينة المنورة متفرع من ش مكة المكرمة - حى الزعفران, المنصورة, الدقهلية.",577060
مهندسين معماريين,اكتو - المكتب الفنى للاستشارات والاعمال الهندسية,"16 ش كلية الزراعة, الجيزة, الجيزة.",50959
مهندسين معماريين,اكيوريت لاينز,"المنطقة السياحية السادسة - عمارة 114, الشيخ زايد, السادس من اكتوبر, الجيزة.",574740
مهندسين معماريين,ال دى بى بارتنرز,"القطعة د طريق الزهراء الرئيسى, الشطر الاول, زهراء المعادى, المعادى, القاهرة.",629553
مهندسين معماريين,الا فوترى,"المحور المركزى, الحى الاول, السادس من اكتوبر, الجيزة.",347064
مهندسين معماريين,الاتقان للتصميمات المعمارية,"10 ش عبد المنعم حمزة, شبين الكوم, المنوفية.",541982
مهندسين معماريين,الاستشارات الهندسية المتكاملة,"12 عمارات مصر للتعمير - ش 18 - المنطقة الثالثة, مساكن شيراتون, مصر الجديدة, القاهرة.",2675
