Category,Name,Address,ID
انتيكات,ابتكار لصناعة الكراسى والانتيكات,"قرية الشعرا, دمياط, دمياط.",441078
انتيكات,ابداع للانتيكات,"4 ش المنتزة 2, شبرا, القاهرة.",432231
انتيكات,ابراهيم الصفتى,"63 ش العطارين متفرع من ش الليثى, العطارين, الاسكندرية.",24015
انتيكات,ابو شقة لتجارة الصدف,"2 ش الشيخ احمد التنجيرى, منشية ناصر, القاهرة.",635206
انتيكات,اتش ام,"45 ش نخلة المطيعى, تريومف, مصر الجديدة, القاهرة.",192494
انتيكات,اتيليه فاضل,"20 ش اللبينى, المريوطية, فيصل, الجيزة.",682065
انتيكات,احجار كريمة,"15 ش خان الخليلى, خان الخليلى, القاهرة.",125259
انتيكات,احمد الضبع وولده,"28 ش محمد مظهر امتداد ش البرازيل, الزمالك, القاهرة.",223477
انتيكات,احمد خضر,"17 ش شجرة الدر, الزمالك, القاهرة.",124377
انتيكات,احمد محمود,"148 ش الترعة البولاقية, شبرا, القاهرة.",467566
انتيكات,اسعار زمان,"ش مصطفى كامل, كوم حمادة, البحيرة.",373064
انتيكات,اسواق المدينة للانتيكات,"ش صبرى ابو علم, السنبلاوين, الدقهلية.",351001
انتيكات,اسيا,"17 ش منصور محمد, الزمالك, القاهرة.",434
انتيكات,اشرف ابو جاد,"6 ش بطليموس, دمياط, دمياط.",503759
انتيكات,اطلس ماركونا,"44 ش النصر, المنشية, الاسكندرية.",200411
انتيكات,افريكان ستور,"29 ش مصطفى كامل - برج التوفيق, المعادى, القاهرة.",474517
انتيكات,اكسمبورت,"1 ش عمر شعبان, متفرع من ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",10389
انتيكات,ال حبشى للانتيكات,"1 ش كمال حجاب, جسر السويس, القاهرة.",205203
انتيكات,ال مرزوق,"26 ش بسيونى جمعة, عزبة النخل, القاهرة.",417155
انتيكات,الابيض للانتيكات,"55 ش النادى الرياضى - برج الاطباء, فيصل, الجيزة.",509503
انتيكات,الاردنية للتجارة والتوزيع,"6 ش مصطفى عبد الباقى, النزهة الجديدة, القاهرة.",444005
انتيكات,الاسلامية,"مدينة العمال, امبابة, الجيزة.",262935
انتيكات,الاقصر,"7 ش ميخائيل شرقاوى, منشية ناصر, القاهرة.",191692
انتيكات,الانتيكات الملكية,"47, تقسيم شمال سيناء - متفرع من ش الخمسين, زهراء المعادى, المعادى, القاهرة.",616735
انتيكات,الاهرام سحلى,"ش جمال عبد الناصر, شبين الكوم, المنوفية.",161436
انتيكات,الباشا,"ش سيدى محمد, سمنود, الغربية.",345835
انتيكات,الباشا للانتيكات,"65 ش يعقوب بطرس, عين شمس الشرقية, القاهرة.",661634
انتيكات,الباشا للانتيكات,"2 ش الثلاثينى الجديد, الكوم الاخضر, الهرم, الجيزة.",415975
انتيكات,البذرة للانتيكات,"11 الشارع التجارى, دمياط, دمياط.",505510
انتيكات,البطل للتجارة,"3 ش النشرتى متفرع من ش روض الفرج, شبرا, القاهرة.",207037
انتيكات,البيت بيتك,"1 ش سكة عبد الرازق, حدائق المعادى, المعادى, القاهرة.",418024
انتيكات,التومى للانتيكات,"26 ش شاهين, منوف, المنوفية.",570646
انتيكات,الجندى للاستيراد والتصدير,"7 ش محمد السادات, النزهة الجديدة, القاهرة.",442541
انتيكات,الحداد,"29 ش الشهيد مصطفى حافظ, المنشية, الاسكندرية.",30234
انتيكات,الخان,"42 ش الشريفة دينا, المعادى, القاهرة.",60825
انتيكات,الخضرى,"26 ش سيدى متولى , العطارين, الاسكندرية.",181333
انتيكات,الخواص,"16 ش المشهد الحسينى, خان الخليلى, القاهرة.",424202
انتيكات,الدكتور,"23 ش ابو الفتوح عبد الله, عين شمس الشرقية, القاهرة.",330518
انتيكات,الدولية,"ش ابو بكر الصديق, دكرنس, الدقهلية.",353764
انتيكات,الذهبية للانتيكات,"ش الموازين, دمنهور, البحيرة.",356974
انتيكات,الرحاب للتحف,"12 ش سيد مازن, النزهة الجديدة, القاهرة.",442297
انتيكات,الرشد للانتيكات,"8 امتداد ش د. احمد مصطفى, النزهة الجديدة, القاهرة.",442266
انتيكات,الرضا للانتيكات,"21 ش طلعت حرب, برج الهدى, شبين الكوم, المنوفية.",533476
انتيكات,الرضوان لصناعة التحف,", خورشيد القبلية, خورشيد, الاسكندرية.",641300
انتيكات,الرنيسانس,"5 ش زكى على, الزمالك, القاهرة.",221646
انتيكات,الريان,"95 ش ترعة عبد العال 2 - صفط اللبن, بولاق الدكرور, الجيزة.",579035
انتيكات,الريم للانتيكات,"50 ش على السايس, حدائق حلوان, القاهرة.",652244
انتيكات,الزامك للانتيكات,"9 ش رمسيس, دمياط, دمياط.",503784
انتيكات,الزهراء,"10 ش الصنادقية, الازهر, القاهرة.",125257
انتيكات,الزهور للانتيكات,"3 ش مدرسة الاعدادية القديمة, شبين الكوم, المنوفية.",537998
انتيكات,السلام,"143 ش القلعة - ش محمد على سابقا, العتبة, القاهرة.",221544
انتيكات,الشافعى,"ش الجيش, قطور, الغربية.",346874
انتيكات,الشركة الدولية للتجارة والاستيراد,"عمارة السرايا ستايل - طريق 14 مايو - الدور 0,1, سموحة, الاسكندرية.",196388
انتيكات,الشموع للانتيكات,"13 ش الخليفة المأمون, روكسى, مصر الجديدة, القاهرة.",184436
انتيكات,الصاوى للانتيكات,"8 ش محمد شاهين متفرع من ش سور المطار, امبابة, الجيزة.",449551
انتيكات,الصفوة لفنون وعمارة البيت,", السوق التجارى, مدينة الرحاب, القاهرة.",165269
انتيكات,الضاحى,"ش الجيش, كفر الزيات, الغربية.",343621
انتيكات,الظاهر,"برج النظامى الجديد, المنطقة الصناعية, المحلة الكبرى, الغربية.",667423
انتيكات,العالمية,"ش سعد زغلول, ههيا, الشرقية.",361960
انتيكات,العالمية للانتيكات,"31 ش مصطفى العسال, ارض اللواء, الجيزة.",552941
انتيكات,العباسى للتحف والفضيات,"ش ابراهيم الخليل, جسر السويس, القاهرة.",150954
انتيكات,العقاد للتحف والهدايا,"108 ش السيد محمد كريم , المنشية, الاسكندرية.",200291
انتيكات,الف جاليرى,"14 ش محمد انيس, الدور 1, الزمالك, القاهرة.",17248
انتيكات,الفاروق للانتيكات,"28 ش السيسى, المريوطية, الهرم, الجيزة.",508162
انتيكات,الفلاح,"ش 45 متفرع من ش مصطفى كامل, الرأس السوداء, الاسكندرية.",267797
انتيكات,القصر الملكى,"269 ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",429053
انتيكات,المائدة الملكية,"99 ش الثورة, ارض الجولف, مصر الجديدة, القاهرة.",60596
انتيكات,المارشية,"71 ش مسجد العطارين, العطارين, الاسكندرية.",213637
انتيكات,المتحدة,"23 برج مكة - - الدور 6 شقة 14, ارض اللواء, الجيزة.",386367
انتيكات,المدينة المنورة,"ش احمد شوقى, كفر الزيات, الغربية.",342269
انتيكات,المراد للانتيكات,"115 ش احمد زكى, حدائق المعادى, المعادى, القاهرة.",219076
انتيكات,المركز الايطالى المصرى للترميم والاثار,"31 ش الحلمية الجديدة, الحلمية, القاهرة.",66981
انتيكات,المصطفى للتحف,"ش حسن توفيق سعد - ش سوق الطباخين سابقا, المنشية, الاسكندرية.",229843
انتيكات,المعرض الصغير,"13 ش احمد عرابى, المنشية, الاسكندرية.",198442
انتيكات,المهدى,"., السوق القديم, شرم الشيخ.",259930
انتيكات,الندى,"1 ش المديرية, بنها, القليوبية.",302406
انتيكات,النمر للصناعات الخشبية والتصدير,"كم 23 - , طريق الاسكندرية القاهرة الزراعى, الاسكندرية.",181324
انتيكات,النمرسى للاستيراد و التصدير,"7 ش الشماعين, المحلة الكبرى, الغربية.",135263
انتيكات,الهنا,"ش عطية الصوالحى امتداد ش مكرم عبيد - الدور 1, الحى الثامن, مدينة نصر, القاهرة.",190406
انتيكات,اليسر للتجارة والاستيراد,"12 ش السيد مازن متفرع من ش طه حسين, النزهة الجديدة, القاهرة.",442593
انتيكات,ام السعد للانتيكات,"58 ش مصدق, الدقى, الجيزة.",18700
انتيكات,امروس للانتيكات,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",612727
انتيكات,انترناشيونال,"4 ميدان مصطفى كامل, وسط البلد, القاهرة.",8743
