Category,Name,Address,ID
توابل واعشاب,كامينا برودكتس كوربوريشن,"طريق كفر طهرمس, الطالبية, فيصل, الجيزة.",49464
توابل واعشاب,شركة يورو ايجيبتك,", امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",166268
توابل واعشاب,الميرا فودز,"قطعة VIIIG, المنطقة الصناعية B1, العاشر من رمضان, الشرقية.",667275
توابل واعشاب,جريت فوودز اوريجينال للصناعات الغذائية,"القطعة 295 أ, العاشر من رمضان, الشرقية.",348186
توابل واعشاب,25 يناير,"ش سليم, فيصل, الجيزة.",364702
توابل واعشاب,ابا الزهراء للاعشاب,"2 ش رمضان عبد المعطى, عزبة النخل, القاهرة.",527994
توابل واعشاب,ابراهيم دودة,"ش العمدة, سمنود, الغربية.",345526
توابل واعشاب,ابراهيم راشد العطار,"73 ش سعد زغلول - الحى الاول, حى الافرنج, الاسماعيلية.",145087
توابل واعشاب,ابن البلد,"10 مساكن اطلس -, مدينة السلام, القاهرة.",389214
توابل واعشاب,ابن النفيس,"ش الثورة, الابراهيمية, الشرقية.",363916
توابل واعشاب,ابن الهيثم,"33 ش طرابلس متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",409264
توابل واعشاب,ابن سينا,"ش التحرير, ابو حماد, الشرقية.",364686
توابل واعشاب,ابن سينا,"ش سعد زغلول, المنزلة, الدقهلية.",358978
توابل واعشاب,ابن سينا,"ش سعد زغلول, الزقازيق, الشرقية.",326333
توابل واعشاب,ابن سينا للعطارة,"14 ش عدن, المهندسين, الجيزة.",661733
توابل واعشاب,ابن مالك,"ش الزهراء, مدينة بدر, البحيرة.",370625
توابل واعشاب,ابناء اسوان,"30 ش المساكن, فيصل, الجيزة.",398078
توابل واعشاب,ابناء اسوان,"8 ش عبد اللطيف عبد الفتاح, الهرم, الجيزة.",399801
توابل واعشاب,ابناء الجمل,"ش عزبة النخل متفرع من ش 10, دمياط, دمياط.",425981
توابل واعشاب,ابناء العدوى,"ش جمعة عضيم, دار السلام, القاهرة.",330052
توابل واعشاب,ابناء سوهاج,"5 ش 6 اكتوبر, بولاق الدكرور, الجيزة.",197374
توابل واعشاب,ابناء صالح العطار,"52 عمارات رابعة الاستثمارى ش النزهة, مدينة نصر, القاهرة.",212195
توابل واعشاب,ابو احمد,"109 ش المركز الاجتماعى, المرج, القاهرة.",481245
توابل واعشاب,ابو احمد,"ش الساحة, كفر صقر, الشرقية.",351764
توابل واعشاب,ابو احمد,"92 ش عز الدين عمر, الطالبية, الهرم, الجيزة.",416108
توابل واعشاب,ابو اسامة,"ش حمد ياسين, فيصل, الجيزة.",407136
توابل واعشاب,ابو اسلام,"27 ش النصر, امبابة, الجيزة.",344107
توابل واعشاب,ابو اسلام للعطارة,"8 ش مرسى محمود, بولاق الدكرور, الجيزة.",270913
توابل واعشاب,ابو البركات,"ش حمام المصبغة, الازهر, القاهرة.",381790
توابل واعشاب,ابو التهامى,"ش الشادر, الحسينية, الشرقية.",365731
توابل واعشاب,ابو الخير,"ش المركز, ابو المطامير, البحيرة.",373437
توابل واعشاب,ابو السعد,"20 ش سليمان جوهر, الدقى, الجيزة.",387867
توابل واعشاب,ابو العينين العطار,"ميدان الشيخ حسنين, المنصورة, الدقهلية.",465445
توابل واعشاب,ابو الوفا العطار,"2 ش زين العابدين - المنيرة الغربية, امبابة, الجيزة.",539490
توابل واعشاب,ابو انجى,"48 ش بنى فهيم, عباسية, القاهرة.",277441
توابل واعشاب,ابو ايمن للعطارة,"8 ش جامع السنية, المنيب, الجيزة.",660029
توابل واعشاب,ابو جندى,"ش محمد محسن حمد, اشمون, المنوفية.",320978
توابل واعشاب,ابو خليل,"47 ش الجامع, الهرم, الجيزة.",197312
توابل واعشاب,ابو دية العطار,"مشروع ناصر, كفر الزيات, الغربية.",463921
توابل واعشاب,ابو ذكرى للعطارة,"63 ش المدرسة, المنيب, الجيزة.",342623
توابل واعشاب,ابو زياد العطار,"3 ب عمارات الشرق للتأمين ش د. محمود ابراهيم, الحى السابع, مدينة نصر, القاهرة.",678493
توابل واعشاب,ابو زيد,"ش السلام, دمنهور, البحيرة.",361653
توابل واعشاب,ابو عبد الله,"ش العشرينى, حى الافرنج, الاسماعيلية.",291280
توابل واعشاب,ابو عجوة,"ش سعد زغلول, ميت غمر, الدقهلية.",341279
توابل واعشاب,ابو عرام للعطارة,"ش شحات عيد, حدائق المعادى, المعادى, القاهرة.",410982
