Category,Name,Address,ID
مكاتب تموين,مكتب تموين - 6 اكتوبر,"36, المجاورة السادسة, الحى السادس, السادس من اكتوبر, الجيزة.",249388
مكاتب تموين,مكتب تموين - 6 اكتوبر,"قرية 6 اكتوبر, بئر العبد, شمال سيناء.",265463
مكاتب تموين,مكتب تموين - ابا الوقف,"قرية ابا الوقف, مغاغة, المنيا.",267825
مكاتب تموين,مكتب تموين - ابسوج,"قرية ابسوج, الفشن, بنى سويف.",258442
مكاتب تموين,مكتب تموين - ابشادات,"قرية ابشادات, ملوى, المنيا.",267836
مكاتب تموين,مكتب تموين - ابشان,"قرية ابشان, بيلا, كفر الشيخ.",264791
مكاتب تموين,مكتب تموين - ابشنا,"قرية ابشنا - الدور 2, بنى سويف, بنى سويف.",405350
مكاتب تموين,مكتب تموين - ابشواى,"ش الجمهورية, ابشواى, الفيوم.",260277
مكاتب تموين,مكتب تموين - ابنهس,"قرية ابنهس, قويسنا, المنوفية.",258188
مكاتب تموين,مكتب تموين - ابنوب,"ش التحرير, ابنوب, اسيوط.",268117
مكاتب تموين,مكتب تموين - ابنود,"قرية ابنود - الدور 2, وسط البلد, قنا.",255866
مكاتب تموين,مكتب تموين - ابو الريش,"حارة الخوالقة, دمنهور, البحيرة.",408522
مكاتب تموين,مكتب تموين - ابو الشقاف,"قرية ابو الشقاف, حوش عيسى, البحيرة.",401545
مكاتب تموين,مكتب تموين - ابو الشقوق,"قرية ابو الشقوق, كفر صقر, الشرقية.",259258
مكاتب تموين,مكتب تموين - ابو الغر,"قرية ابو الغر, كفر الزيات, الغربية.",256406
مكاتب تموين,مكتب تموين - ابو الغيط,"قرية ابو الغيط, القناطر الخيرية, القليوبية.",250594
مكاتب تموين,مكتب تموين - ابو المطامير,"باب الكوم, ابو المطامير, البحيرة.",261091
مكاتب تموين,مكتب تموين - ابو النمرس,"6 ش 6 اكتوبر, ابو النمرس, الجيزة.",249732
مكاتب تموين,مكتب تموين - ابو بدوى,"قرية ابو بدوى, بيلا, كفر الشيخ.",264795
مكاتب تموين,مكتب تموين - ابو تشت,"., ابو طشت, قنا.",251612
مكاتب تموين,مكتب تموين - ابو تيج,"طريق اسيوط سوهاج, ابو تيج, اسيوط.",268121
مكاتب تموين,مكتب تموين - ابو جرج,"قرية ابو جرج, بنى مزار, المنيا.",267443
مكاتب تموين,مكتب تموين - ابو جندير,"قرية ابو جندير, اطسا, الفيوم.",260289
مكاتب تموين,مكتب تموين - ابو حماد,"المساكن الشعبية -, ابو حماد, الشرقية.",258933
مكاتب تموين,مكتب تموين - ابو حمص,"المساكن الاقتصادية القديمة, المهاجرين, ابو حمص, البحيرة.",261098
مكاتب تموين,مكتب تموين - ابو خليفة,". - مركز القنطرة غرب, ابو خليفة, الاسماعيلية.",250954
مكاتب تموين,مكتب تموين - ابو داود,"قرية ابو داود, طماى الامديد, الدقهلية.",402010
مكاتب تموين,مكتب تموين - ابو داوود,"قرية ابو داوود, طماى الامديد, الدقهلية.",264111
مكاتب تموين,مكتب تموين - ابو دراز,"قرية ابو دراز - الدور 3, فوه, كفر الشيخ.",406790
مكاتب تموين,مكتب تموين - ابو دياب غرب,"قرية ابو دياب غرب, دشنا, قنا.",406606
مكاتب تموين,مكتب تموين - ابو رديس,"ش الحرية - ابو رديس, جنوب سيناء, شرم الشيخ.",268091
مكاتب تموين,مكتب تموين - ابو رماد,"قرية ابو رماد, بير شالاتن, البحر الاحمر.",269038
مكاتب تموين,مكتب تموين - ابو رواش,"., ابو رواش, الجيزة.",249391
مكاتب تموين,مكتب تموين - ابو زعبل,"., ابو زعبل, القليوبية.",250756
مكاتب تموين,مكتب تموين - ابو زنيما,"., ابو زينما, جنوب سيناء.",268094
مكاتب تموين,مكتب تموين - ابو سلطان,"., ابو سلطان, الاسماعيلية.",250965
مكاتب تموين,مكتب تموين - ابو سمبل,"ش السوق السياحى, ابو سمبل, اسوان.",257136
مكاتب تموين,مكتب تموين - ابو شوشة,"قرية ابو شوشة, ابو طشت, قنا.",251613
مكاتب تموين,مكتب تموين - ابو صوير المحطة,"., ابو سوير المحطة, ابو صوير المحطة, الاسماعيلية.",267958
مكاتب تموين,مكتب تموين - ابو صير الملق,"قرية ابو صير الملق, الوسطى, بنى سويف.",258454
مكاتب تموين,مكتب تموين - ابو صير دفنو,"قرية ابو صير دفنو, اطسا, الفيوم.",260285
مكاتب تموين,مكتب تموين - ابو طويلة,"قرية ابو طويلة, الشيخ زويد, شمال سيناء.",265474
مكاتب تموين,مكتب تموين - ابو عاشور,"قرية ابو عاشور, التل الكبير, الاسماعيلية.",250951
مكاتب تموين,مكتب تموين - ابو عزيز,"قرية ابو عزيز, مطاى, المنيا.",267822
مكاتب تموين,مكتب تموين - ابو غنيمة,"قرية ابو غنيمة, سيدى سالم, كفر الشيخ.",264804
