Category,Name,Address,ID
توكيلات تجارية,اورجانيك للاستيراد والتصدير والتوكيلات التجارية و التوريدات,"ش مصطفى كاملابراج بانوراما النيل - مدخل 3، الدور 4, شبين الكوم, المنوفية.",616509
توكيلات تجارية,ابراكا للتوكيلات التجارية,"30 ش بهجت على - الدور 5, الزمالك, القاهرة.",152674
توكيلات تجارية,ابو شقرة للتجارة,"3 ش مكرم عبيد - الدور 6, المنطقة السادسة, مدينة نصر, القاهرة.",147896
توكيلات تجارية,اتون للتوكيلات والتجارة,"25 ش الخليفة المأمون - الدور 10, روكسى, مصر الجديدة, القاهرة.",123427
توكيلات تجارية,احمس للتجارة والتوكيلات,"49 ش نوبار, باب اللوق, القاهرة.",152735
توكيلات تجارية,ادفانسد ديجيتال سوليوشنز,"11 أ ش كمال حسن على, الشقة 22, الدور 2, متفرع من ش المشير احمد اسماعيل, مساكن شيراتون, مصر الجديدة, القاهرة.",636995
توكيلات تجارية,ادكو فاشون للاستيراد والتصدير,"19 ش البطراوى متفرع من ش عباس العقاد - الدور 2 شقة 6, المنطقة الاولى, مدينة نصر, القاهرة.",144544
توكيلات تجارية,ادميرال,"15 ش الماظة, الماظة, مصر الجديدة, القاهرة.",226926
توكيلات تجارية,اديكو - الشركة العربية للهندسة والتوزيع,"القطعة الثانية - متفرع من ش الشويفات - المنطقة السادسة - الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",19716
توكيلات تجارية,اف ام تريد,"18 عمارات العبور - , مدينة نصر, القاهرة.",183864
توكيلات تجارية,افاك,"14 ابراج عثمان - كورنيش النيل - الدور 1, كورنيش المعادى, المعادى, القاهرة.",12090
توكيلات تجارية,اكترا - الشركة المصرية للاستشارات والتجارة,"12 أ ش حسن صبرى, الزمالك, القاهرة.",17629
توكيلات تجارية,اكس فرست,"38 ش الحرية, المطرية, القاهرة.",398578
توكيلات تجارية,ال ام جى انترناشيونال تريد كوربوريشن,"11 ش عرابى, وسط البلد, القاهرة.",12810
توكيلات تجارية,الاتحادية للتجارة والتوريدات,", المحور المركزى - ميدان ليلة القدر, السادس من اكتوبر, الجيزة.",687389
توكيلات تجارية,الاخوة المتحدين للصناعة والتجارة,"71 أ ش جامعة الدول العربية, المهندسين, الجيزة.",172983
توكيلات تجارية,الاستشارات العربية,"21 ش 26 يوليو, وسط البلد, القاهرة.",13101
توكيلات تجارية,الايمان للتجارة والتوزيع,"42 - تعاونيات سموحة, سموحة, الاسكندرية.",142138
توكيلات تجارية,البا سبلاى,"10 ش الخرطوم, المهندسين, الجيزة.",688054
توكيلات تجارية,البراق للتوريدات العمومية,"8 ش الشيخ فرج, حى السويس, السويس.",158446
توكيلات تجارية,التجارية للترويج والاستثمار,"ش سعد زغلول , ههيا, الشرقية.",172873
توكيلات تجارية,الحجاز للتجارة والتوريدات,"35 ش الجلاء, وسط البلد, القاهرة.",145616
توكيلات تجارية,الحكيم للهندسة والتجارة والتوكيلات,"12 عمارات مصر للتعمير - - المنطقة التاسعة - الدور 1 شقة 8, مساكن شيراتون, مصر الجديدة, القاهرة.",190294
توكيلات تجارية,الدار المعمور,"4 ش الجلاء, وسط البلد, القاهرة.",183704
توكيلات تجارية,الدولية للتوكيلات التجارية,"15 ش الجيزة, الجيزة, الجيزة.",130607
توكيلات تجارية,الرفاعى للتوكيلات التجارية,"23 ش راغب, حلوان, القاهرة.",642736
توكيلات تجارية,الريادة للتجارة والتوكيلات التجارية,"3 ش عمر حفنى, الدور 2, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",155274
توكيلات تجارية,السلام,"2 ش الزهور متفرع من طريق صلاح سالم, مدينة نصر, القاهرة.",131030
