Category,Name,Address,ID
اماكن ورك سبيس,شركة الفهد لتأجير السيارات والمكاتب الادارية,"5 ز/2 ش شوقى عبد المنعم, متفرع من ش النصر - تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",104853
اماكن ورك سبيس,302 لابس,"7 ش وهران متفرع من ش الطيران, المنطقة الاولى, مدينة نصر, القاهرة.",490699
اماكن ورك سبيس,اربين ستاشن,"2 ش وادى النيل تقاطع ش جامعة الدول العربية, المهندسين, الجيزة.",511864
اماكن ورك سبيس,اركان,"6 ش عبد الرازق محمد متفرع من ش وزارة الزراعة - الدور 1, الدقى, الجيزة.",583263
اماكن ورك سبيس,اركان,"ش ابو ذر الغفارى متفرع من ش كلية الاداب - برج طيبة, المنصورة, الدقهلية.",582720
اماكن ورك سبيس,اركتوبيا,"35 ش محمد النادى, مدينة نصر, القاهرة.",621419
اماكن ورك سبيس,أروم وركينج سبيس,"12 ش عمر بن الخطاب, متفرع من ميدان الاسماعيلية, مصر الجديدة, القاهرة.",660473
اماكن ورك سبيس,ارينا كووركينج سبيس,"فيلا 232, البنفسيج 1, البنفسج, القاهرة الجديدة, القاهرة.",624019
اماكن ورك سبيس,اسكا كووركينج سبيس,"3 عمارات الشرطة, الشقة 3, الدور 1, عباسية, القاهرة.",581772
اماكن ورك سبيس,اضف,"143 ش 8 ميدان النافورة, المقطم, القاهرة.",540596
اماكن ورك سبيس,اكاديمية كووركينج سبيس,"2 ش احمد عرابى, وسط البلد, كفر الشيخ.",622613
اماكن ورك سبيس,الاقصر سيليكون فالى كووركينج سبيس,"14 أ ش مبنى الجوازات, متفرع من ش خالد بن الوليد, العوامية, الاقصر, الاقصر.",581779
اماكن ورك سبيس,البيت,"13 ش يوسف فهمى عثمان متفرع من ش سينما اوديون, كامب شيزار, الاسكندرية.",582715
اماكن ورك سبيس,الجريك كامبس,"171 ش التحرير, باب اللوق, القاهرة.",462338
اماكن ورك سبيس,الديب,"5 ش طلعت حرب, وسط البلد, القاهرة.",569876
اماكن ورك سبيس,الديوان كووركينج سبيس,"8 أ عمارات غرب الاستاد, بنها الجديدة, القليوبية.",667542
اماكن ورك سبيس,المجرة كووركينج سبيس,"7 ش عمر بن الخطاب, فلل الجامعة, الزقازيق, الشرقية.",545707
اماكن ورك سبيس,المحطة,"فيلا 231 - - الياسمين 5, الياسمين, القاهرة الجديدة, القاهرة.",599968
اماكن ورك سبيس,المدرسة,"10 ش امين الرافعى ميدان المساحة, الدقى, الجيزة.",538852
اماكن ورك سبيس,المربع,"18 ش عمر بن الخطاب - فلل الجامعة, الزقازيق, الشرقية.",574422
اماكن ورك سبيس,المقر,"20 ش الشهيد محمود فؤاد, متفرع من ش عمر بن الخطاب, الماظة, مصر الجديدة, القاهرة.",437541
اماكن ورك سبيس,اليفين اليفين كووركينج سبيس,", الجيزة, الجيزة.",685980
اماكن ورك سبيس,اليكس تارجت,"39 ش هليوبوليس, كامب شيزار, الاسكندرية.",171381
اماكن ورك سبيس,ام ام ستيشن كووركينج سبيس,"القطعة 6315, الهضبة الوسطى, المقطم, القاهرة.",685949
اماكن ورك سبيس,امباير ترينينج رومز - اى تى اى,", المحور المركزى, الحى العاشر, السادس من اكتوبر, الجيزة.",656653
اماكن ورك سبيس,امكان,"ش الخدمة الاجتماعية متفرع من ش قناة السويس, بنها, القليوبية.",574184
