Category,Name,Address,ID
صالات بولينج ومعدات,المركز الدولى للبولينج القوات المسلحة - اى بى سى,"طريق صلاح سالم, مدينة نصر, القاهرة.",67170
صالات بولينج ومعدات,ام جى بولينج,"9 ش البطراوى متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",106561
صالات بولينج ومعدات,اميوز بولينج سنتر,"بورت غالب, خليج كورايا, مرسى علم.",546078
صالات بولينج ومعدات,ايجيبت سبورت للبولينج والبلياردو,"6 ابراج المروة - ش احمد تيسير, ارض الجولف, مصر الجديدة, القاهرة.",440572
صالات بولينج ومعدات,باونس بولينج اند مور,"1 ش فلسطين, المعادى الجديدة, المعادى, القاهرة.",286583
صالات بولينج ومعدات,بولينج السراج سيتى مول,"ش عطية الصوالحى امتداد ش مكرم عبيد, الحى الثامن, مدينة نصر, القاهرة.",110649
صالات بولينج ومعدات,بولينج دار المشاة,"ش اسماعيل الفنجرى, كوبرى القبة, القاهرة.",110656
صالات بولينج ومعدات,بولينج فاميلى لاند,"11 ابراج عثمان - , كورنيش المعادى, المعادى, القاهرة.",110585
صالات بولينج ومعدات,سترايك زون,"كم 38 طريق مصر اسماعيلية الصحراوى, مدينة الشروق, القاهرة.",674149
صالات بولينج ومعدات,ستريكرز بولينج,"كم 28, طريق القاهرة الاسكندرية الصحرا, طريق القاهرة الاسكندرية الصحراوى, الجيزة.",626302
صالات بولينج ومعدات,سوهو بولينج,"سوهو سكوير, خليج الفارس الابيض, شرم الشيخ.",196662
صالات بولينج ومعدات,عايدة للاجهزة الرياضية,"4 عمارة الصفا - ش المروة, روكسى, مصر الجديدة, القاهرة.",18957
صالات بولينج ومعدات,ماس بولينج سنتر,"., خليج نعمة, شرم الشيخ.",106487
صالات بولينج ومعدات,مركز السلام الترفيهى,"عمارات ضباط مصطفى كامل ش احمد شوقى, مصطفى كامل, الاسكندرية.",67204
صالات بولينج ومعدات,مركز الغردقة للبولينج,"., سقالة, الغردقة.",54300
صالات بولينج ومعدات,مركز بولينج وندر لاند,"ش عباس العقاد, الحى السابع, مدينة نصر, القاهرة.",110659
