Category,Name,Address,ID
جواهرجية,مجوهرات نبيل عبد العزيز مصطفى رزق,"112 ش عبد السلام عارف, زيزينيا, الاسكندرية.",156869
جواهرجية,ابانوس,"كم 17 -, طريق القرى, الغردقة.",247736
جواهرجية,ابراهيم احمد زايد,"ش الحنفى, المحلة الكبرى, الغربية.",303888
جواهرجية,ابراهيم الشافعى,"ش الحزب الوطنى, بركة السبع, المنوفية.",319594
جواهرجية,ابراهيم ايوب,"ش الجيش, ابو حماد, الشرقية.",364375
جواهرجية,ابراهيم بلبل,"22 ش الشهيد مصطفى حافظ, المنشية, الاسكندرية.",29495
جواهرجية,ابراهيم حسن قاسم,"ش مصطفى كامل, غبريال, الاسكندرية.",250473
جواهرجية,ابراهيم عوض عبد الفتاح,"23 أ ش الشيخ محمد رفعت, السيدة زينب, القاهرة.",223315
جواهرجية,ابراهيم فخرى شاكر,"151 ش المطراوى, المطرية, القاهرة.",261269
جواهرجية,ابن النيل,"10 ش سكة البادستان, خان الخليلى, القاهرة.",208174
جواهرجية,ابناء عوض بشارة,"ش محمد فريد, بلقاس, الدقهلية.",357371
جواهرجية,ابو الدهب,"ش السوق, اوسيم, الجيزة.",350986
جواهرجية,ابو الدهب,"ش الحنفى, المحلة الكبرى, الغربية.",303959
جواهرجية,ابو الدهب,"ش رشدى, شبرا الخيمة, القليوبية.",282815
جواهرجية,ابو الدهب,"ش الخصوص العمومى, الخصوص, القليوبية.",290387
جواهرجية,ابو الدهب,"3 ش عبد العظيم امين, العياط, الجيزة.",275114
جواهرجية,ابو الدهب للمجوهرات,"44 ش عبد الرحمن, حلوان, القاهرة.",459459
جواهرجية,ابو العزم,"70 ش بوالينو, محرم بك, الاسكندرية.",22791
جواهرجية,ابو باسم للمجوهرات,"14 ش حسن فخرى - زهراء مصر القديمة, مصر القديمة, القاهرة.",544456
جواهرجية,ابو زهو,"ش التحرير, بين السرايات, الجيزة.",329496
جواهرجية,ابو زياد للذهب الصينى,"المجاورة الثانية, الحى 11, السادس من اكتوبر, الجيزة.",437816
جواهرجية,ابو زيد المكاوى,"ش الصاغة, ميت غمر, الدقهلية.",341054
جواهرجية,ابو سلامة,"ش التحرير, ابو كبير, الشرقية.",329517
جواهرجية,ابو سمرة,"9 ش المحلاوى, الدقى, الجيزة.",270510
جواهرجية,ابو سمير,"ش مصر تقاطع ش سوريا, حى الافرنج, الاسماعيلية.",290293
جواهرجية,ابو سيفين للمجوهرات,"6, ميدان الاسكندرية, مدينة السلام, القاهرة.",687914
جواهرجية,ابو شنب,"ش السلطان حسين, شبين الكوم, المنوفية.",286070
جواهرجية,ابو عدلى,"ش دمشق ميدان عباس, الثلاثينى, الاسماعيلية.",290282
جواهرجية,ابو عزة,"57 ش الدرب الاحمر, الدرب الاحمر, القاهرة.",377565
جواهرجية,ابو غالى للمجوهرات,"165 ش فيصل, ميدان المساكن, الطالبية, الكوم الاخضر, فيصل, الجيزة.",510883
جواهرجية,ابو ليلة للمصوغات,"ش الابراهيمى ميدان الابراهيمى, دسوق, كفر الشيخ.",133463
جواهرجية,ابو مريم,"11 ش هارون الرشيد, ميدان الجامع, مصر الجديدة, القاهرة.",425988
جواهرجية,ابو هانى للمصوغات,"40 ش احمد عرابى , شبرا الخيمة, القليوبية.",206297
جواهرجية,ابو يوسف,"ش المحكمة القديمة, الحسينية, الشرقية.",366098
جواهرجية,ابيدوس,"62 ش جمال عبد الناصر, حدائق حلوان, القاهرة.",243900
