Category,Name,Address,ID
مطاعم خليجية,استكانة لونج,"49 ش ميشيل باخوم, الدقى, الجيزة.",563000
مطاعم خليجية,الدوار,"58 ش سعد زغلول تقاطع ش طلعت حرب - البر الشرقى, شبين الكوم, المنوفية.",576772
مطاعم خليجية,المطبخ السعودى,", برج زمزم, الملاحة, السويس.",637936
مطاعم خليجية,المطعم اليمنى,"10 ش ايران, الدقى, الجيزة.",112297
مطاعم خليجية,الواحة البدوية,"خط 10, جمعية عرابى, مدينة العبور, القليوبية.",647538
مطاعم خليجية,بيت التنور,"68 ش عباس العقاد, المنطقة السادسة, مدينة نصر, القاهرة.",605626
مطاعم خليجية,بيت الخليج,"49 أ ش 5, حدائق الاهرام, الهرم, الجيزة.",583983
مطاعم خليجية,بيت المندى,"واحة مدينتى, مدينتى, القاهرة.",634026
مطاعم خليجية,تكية حضر موت,"24 ش مصطفى النحاس, مدينة نصر, القاهرة.",686761
مطاعم خليجية,حضر موت,"عمارة الطورى - ش العهد الجديد, قويسنا, المنوفية.",314526
مطاعم خليجية,حضر موت,"ش الكفراوى, دمياط الجديدة, دمياط.",576253
مطاعم خليجية,حضر موت ال سعود,"14 ش تحسين فرغلى, المنطقة الاولى, مدينة نصر, القاهرة.",686245
مطاعم خليجية,حضر موت الحلبى,"ش القومية العربية - برج الموناليزا, الزقازيق, الشرقية.",611606
مطاعم خليجية,حضر موت الدمشقى,"ش البحر متفرع من ش طه الحكيم, طنطا, الغربية.",613405
مطاعم خليجية,حضرموت,"12 عمارات المركز الرئيسى ش محمود ابو الوفا, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",425402
مطاعم خليجية,حضرموت,"34 عمارات مجلس الدفاع الوطنى -, حدائق القبة, القاهرة.",201031
مطاعم خليجية,حضرموت,"11 ب عمارات المثلث ش مصطفى النحاس, امتداد ش افريقيا, المنطقة العاشرة, مدينة نصر, القاهرة.",552442
مطاعم خليجية,حضرموت,"اسكان الشباب 100 متر, مدينة الشروق, القاهرة.",621998
مطاعم خليجية,حضرموت,"34 ش توفيق غرابة, محطة المعرض, طنطا, الغربية.",426135
مطاعم خليجية,حضرموت,"ش المحافظة, تقسيم 2, كفر الشيخ.",347300
مطاعم خليجية,حضرموت,"27 ش 314 متفرع من ش مصطفى كامل, سموحة, الاسكندرية.",392882
مطاعم خليجية,حضرموت,"6 ش عبد الحميد لطفى, متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",19351
مطاعم خليجية,حضرموت,"المحور المركزى - ميدان الحصرى, الحى السابع, السادس من اكتوبر, الجيزة.",213244
مطاعم خليجية,حضرموت,"318 ش خالد بن الوليد, ميامى, الاسكندرية.",225492
مطاعم خليجية,حضرموت,"52 ش اسكندر ابراهيم, ميامى, الاسكندرية.",172131
مطاعم خليجية,حضرموت,"68 ش خالد بن الوليد, ميدان محمد نجيب, سيدى بشر, الاسكندرية.",526129
مطاعم خليجية,حضرموت البخارى,"5 ش الطحاوى, متفرع من ش الخليفة المأمون, روكسى, مصر الجديدة, القاهرة.",473968
مطاعم خليجية,حضرموت الحضرمى,"16 عمارات طابية سيدى بشر - طريق الجيش, سيدى بشر بحرى, الاسكندرية.",581730
مطاعم خليجية,حضرموت الطيران,"2 طريق النصر, مدينة نصر, القاهرة.",560855
مطاعم خليجية,حضرموت العرب,"عمارة 19/3 - المجاورة الثانية, الحى الثانى, السادس من اكتوبر, الجيزة.",526127
مطاعم خليجية,حضرموت المهندسين,"3 عمارات امتداد رمسيس طريق النصر, مدينة نصر, القاهرة.",584555
