Category,Name,Address,ID
مديريات الشئون الاجتماعية,مديرية التضامن الاجتماعى - جنوب سيناء,"., الطور, جنوب سيناء.",433734
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - اسيوط,"ش الزراعيين, حى فريال, اسيوط, اسيوط.",247654
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الاسكندرية,"19 ش كلية الطب, محطة الرمل, الاسكندرية.",232242
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الاسماعيلية,"ش عطية احمد عطية, امتداد ش العشرينى, الشيخ زايد, الاسماعيلية.",455009
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الاقصر,"ش السادات, متفرع من ش صلاح سالم, الاقصر, الاقصر.",247671
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - البحر الاحمر,"ش النصر, الدهار, الغردقة.",247657
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - البحيرة,"ش الجيش المصرى, دمنهور, البحيرة.",247662
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الجيزة,"1 ش حافظ حسن, العجوزة, الجيزة.",232244
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - السويس,"ش البلدية, حى السويس, السويس.",247667
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الشرقية,", قرية شيبة, الزقازيق, الشرقية.",247668
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الغربية,"ش سعيد, تقاطع ش دسوقى, طنطا, الغربية.",247665
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الفيوم,"مساكن التعاونيات, وسط البلد, الفيوم.",247652
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - القاهرة,", ميدان التحرير, وسط البلد, القاهرة.",232239
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - القليوبية,"ش كورنيش النيل, بنها, القليوبية.",232243
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - المنوفية,"ش جمال عبد الناصر, شبين الكوم, المنوفية.",247663
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - المنيا,"ش محمود حسين, عمارة ابو تلاوى, وسط البلد, المنيا.",247653
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - الوادى الجديد,"ش جمال عبد الناصر, الخارجة, الوادى الجديد.",247658
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - بنى سويف,"ش صلاح سالم, المرماح, بنى سويف, بنى سويف.",247651
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - بورسعيد,"ش عبد السلام عارف, حى المناخ, بور سعيد.",187462
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - حلوان,", المجاورة الاولى, اطلس - المشروع الامريكى, مدينة 15 مايو, القاهرة.",232245
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - دمياط,"مساكن مصنع الغزل, دمياط, دمياط.",247650
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - سوهاج,", مدينة ناصر - مجمع المصالح الحكومية, سوهاج, سوهاج.",247656
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - شمال سيناء,"ش الجيش, العريش, شمال سيناء.",247660
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - قنا,"ش المحافظة, منطقة حوض 10, وسط البلد, قنا.",247670
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - كفر الشيخ,"ش الجمهورية, وسط البلد, كفر الشيخ.",247666
مديريات الشئون الاجتماعية,مديرية الشئون الاجتماعية - مطروح,"ش بورسعيد, وسط البلد, مرسى مطروح.",247659
