Category,Name,Address,ID
منتجات العناية بالمنزل,الشركة العربية للكيماويات والمنظفات - كلين واى,"36 برج كونتيننتال بالاس ش توت عنخ امون, سموحة, الاسكندرية.",487810
منتجات العناية بالمنزل,البنا جلاس,", منطقة الشروق الصناعية, الخانكة, القليوبية.",624606
منتجات العناية بالمنزل,اس ايه اس للمنتجات الخشبية والمعدنية,"9 /1 الشطر التاسع متفرع من ش النصر, المعادى, القاهرة.",564069
منتجات العناية بالمنزل,البطل الرومانى للادوات المنزلية,"1 ش محمد عبيد, متفرع من ش محمد جاد حسانين, عزبة النخل, القاهرة.",659008
منتجات العناية بالمنزل,المتحدة للتوريدات,"101 ش حامد نافع متفرع من ش احمد زكى, حدائق المعادى, المعادى, القاهرة.",605697
منتجات العناية بالمنزل,المصرية جروب لتصنيع البلاستيك,", المنطقة الصناعية السادسة - منطقةا التلتميات, السادس من اكتوبر, الجيزة.",626089
منتجات العناية بالمنزل,الملكة للادوات المنزلية,"2 ش محمد عبيد, متفرع من ش محمد جاد حسانين, عزبة النخل, القاهرة.",659012
منتجات العناية بالمنزل,ام النور للادوات المنزلية,"2 ش محمد عبيد, متفرع من ش محمد جاد حسانين, عزبة النخل, القاهرة.",659023
منتجات العناية بالمنزل,ام دى اندستريز,"55 ش الجيزة, الجيزة, الجيزة.",5490
منتجات العناية بالمنزل,اى ايه اس للتوريدات العامة,"1 ش 262, المعادى الجديدة, المعادى, القاهرة.",396500
منتجات العناية بالمنزل,توب كلين سيرفيس,"40 ش السلام متفرع من سعد زغلول - متفرع من ش الاربعين, جسر السويس, القاهرة.",504182
منتجات العناية بالمنزل,حماده الزامك للادوات المنزلية,"برج النور ش كلية الاداب, المنصورة, الدقهلية.",365583
منتجات العناية بالمنزل,دمياط للصناعات الكيماوية - دايك,", المنطقة الصناعية, دمياط الجديدة, دمياط.",124758
منتجات العناية بالمنزل,روزيرا للعطور والمنتجات العطرية والمنظفات,"امتداد من السيد رزق - المنطقة الصناعية, قطور, الغربية.",606884
منتجات العناية بالمنزل,سنتر ادم,", قرية بهجورة, نجع حمادى, قنا.",660768
منتجات العناية بالمنزل,مؤسسة الزهور للمنظفات المتطورة,"1 برج الحجاز ش المهندس عبد الهادى راضى, ارض اللواء, ارض اللواء, الجيزة.",226238
منتجات العناية بالمنزل,مصنع ام اتش سى لصناعة الادوات المنزلية,"بلوك أ, المنطقة الصناعية الاولى, جمصة, الدقهلية.",531438
منتجات العناية بالمنزل,مودرن هوم للادوات المنزلية,"برج النور ش احمد ماهر, الدور 2, متفرع من ش الخلفاء الراشدين, المنصورة, الدقهلية.",168406
