Category,Name,Address,ID
بترول,بيترو للمواسير ومستلزماتها,"16 - 20 ش باغوش بك يوسف, متفرع من ش ابو الدردار, اللبان, الاسكندرية.",387295
بترول,تايجر للخدمات البترولية وتشغيل وتشكيل المعادن وتجهيز السيارات,", أم زغيو, العجمى, الاسكندرية.",689507
بترول,الايطالية للخدمات البترولية,"23 ش النصر, المنشية, الاسكندرية.",674798
بترول,شركة الصفا للتجارة,"613 ب طريق الحرية, زيزينيا, الاسكندرية.",20841
بترول,مصنع العالمية للتعدين,"ش الارسال, المنطقة الصناعية الخامسة - قطعه 245, مدينة السادات, المنوفية.",692927
بترول,مجموعة شركات الدلتا للغازات,"قطعة 34, المنطقة الصناعية B3, العاشر من رمضان, الشرقية.",945
بترول,ادكو انترناشونال,"ش مصطفى كامل, المعمورة, الاسكندرية.",145015
بترول,شركة اير سبلاى,"23 ش فوزى معاذ, مول الحرية, سموحة, الاسكندرية.",381899
بترول,اس ايه انترناشيونال,"40 ش الفردوس, الدور 11, برج الاعلاميين, سموحة, الاسكندرية.",236462
بترول,فيم تشارترز للخدمات البحرية,"16 برج مكة ش د. عبد المنعم الرباح ابو شوشة, الجمرك, الاسكندرية.",467942
بترول,اتيك انترناشونال للخدمات البترولية ش.م.م,"49 عمارات المركز الرئيسى, الشقة 3, الدور 1, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",584968
بترول,اوربيت للاستيراد والتصدير,"برج الرياض - الشارع الحربى - الدور 3, دمياط, دمياط.",571207
بترول,اباتشى,"11 ش 281, المعادى الجديدة, المعادى, القاهرة.",11869
بترول,ابركو - العامرية لتكرير البترول,"كم 19 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",105219
بترول,ابسكو,"ش رمسيس, ايتاى البارود, البحيرة.",589704
بترول,ابسكو - الشركة المصرية للخدمات البترولية,"ش المخيم الدائم, الحى السادس, مدينة نصر, القاهرة.",148623
بترول,ابكس للخدمات البترولية,"42 ش العروبة, المعادى الجديدة, المعادى, القاهرة.",292463
بترول,ابكو,"106 برج الحجاز ش جمال عبد الناصر, ميامى, الاسكندرية.",440045
بترول,ابناء الحقول للخدمات البترولية,"59 عمارات اطلس - الشطر السادس, زهراء المعادى, المعادى, القاهرة.",158098
بترول,ابو قير للخدمات البحرية والبترولية,"10 ش عمر بن الخطاب, ابو قير, الاسكندرية.",437791
بترول,اتش ام للهندسة والكيماويات,"16 ش المختار, منيل الروضة, القاهرة.",195293
بترول,اتش بى اس انترناشيونال ايجيبت,"12 ش النادى الجديد, المعادى الجديدة, المعادى, القاهرة.",98480
بترول,اتش سى اتش سبلاى,"فيلا 29 - ش 269 متفرع من ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",19305
بترول,اتش سى اتش سبلاى,"القطعة 70ع - الشطر الخامس, زهراء المعادى, المعادى, القاهرة.",602715
بترول,اتكس للمنتجات البترولية,"13 طريق ترعة المنصورية, كرداسة, الجيزة.",306759
بترول,اتلانتك مارين سيرفيس ايجيبت,"22 ش بيروت, ميدان الجامع, مصر الجديدة, القاهرة.",180540
بترول,ادكو للاستشارات والخدمات البترولية,"السوق التجارى الثانى - المنطقة الثامنة, مساكن شيراتون, مصر الجديدة, القاهرة.",310932
بترول,ادماسكو للخدمات البترولية,"28 ش 270 متفرع من ش العروبة - الشطر الرابع - الدور 1,2, المعادى الجديدة, المعادى, القاهرة.",16975
بترول,اديسكو - النظم الهندسية المتقدمة,"طريق الصرف متفرع من الطريق الدائرى, ابيس, الاسكندرية.",465642
بترول,اديسون انترناشيونال,"القطعة 17 - قطاع 1, التجمع الخامس, القاهرة الجديدة, القاهرة.",478701
بترول,اديكو - الشركة المصرية للتنمية والهندسة,"22 عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",60177
بترول,ار ام جى,"1 ش مكرم عبيد - مبنى سيتى لايت - مدخل ج - الدور 8, المنطقة السادسة, مدينة نصر, القاهرة.",160540
بترول,ار اند اف للخدمات البترولية,"5 ش 292, المعادى الجديدة, المعادى, القاهرة.",44034
بترول,ار اند اى للخدمات البترولية,"303 طريق الجيش, سابا باشا, الاسكندرية.",260648
بترول,ار دبليو اى ديا مصر,"16 ش 253, دجلة, المعادى, القاهرة.",54999
بترول,ارابكو - الشركة العربية للخدمات البترولية,"36 ش عبد الحميد جودة السحار - المنطقة الصناعية السادسة, زهراء المعادى, المعادى, القاهرة.",583777
بترول,اركان مصر,"4 ش 292، الشطر الرابع, المعادى الجديدة, المعادى, القاهرة.",621678
بترول,اروجاس - المنطقة الحرة,"6 ش الكويت, الدقى, الجيزة.",148522
بترول,ازكو للخدمات البترولية,"38 ب ش التسعين, النرجس, القاهرة الجديدة, القاهرة.",391841
بترول,اسبك - الاسكندرية للمنتجات البترولية المتخصصة,"ش البترول الجديد, مرغم, الاسكندرية.",527414
بترول,اسبلاش انترناشونال للخدمات البترولية,"الطريق الدائرى - مدينة البارون - عمارة 5, القطامية, القاهرة.",581781
بترول,اسكندرية امبكس جروب,"4 ش سوريا - الدور 2, رشدى, الاسكندرية.",210115
بترول,اسكندرية للخدمات الهندسية والتجارية,"37 ميدان فيكتور عمانويل, سموحة, الاسكندرية.",311769
بترول,اسكومى اويل تولز ايجيبت,"كم 10 - طريق العين السخنة - تجمع شركات البترول, القطامية, القاهرة.",47975
بترول,اسلوب - الزيوت الصناعية المتخصصة,"18 ش الاديب على ادهم, مساكن شيراتون, مصر الجديدة, القاهرة.",147795
بترول,اسيا للخدمات البترولية,"71 ش النزهة المجاورة الاولى - الحى الاول - الدور 3 شقة 303, الشيخ زايد, السادس من اكتوبر, الجيزة.",599478
بترول,اسيان للتوريدات العمومية,"ش امين حسونة, متفرع من ش مصطفى كامل, السيوف شماعة, الاسكندرية.",687893
بترول,اسيوط لتكرير البترول,"منطقة اسيوط البترولية - قرية جحدم, منفلوط, اسيوط.",148526
