Category,Name,Address,ID
مساجد ودور تحفيظ,ابناء الازهر لتحفيظ القرآن,"ش مسجد صلاح - قرية طنان, قليوب, القليوبية.",586582
مساجد ودور تحفيظ,ابو طبيخ,"ش الحرية, القناطر الخيرية, القليوبية.",305555
مساجد ودور تحفيظ,احمد عيسى,"ش درب الجماميز - الكردى, السيدة زينب, القاهرة.",407736
مساجد ودور تحفيظ,اكاديمية اقرأ نور البيان,"11 ع امتداد ش مينا, حدائق الاهرام, الهرم, الجيزة.",539535
مساجد ودور تحفيظ,اكاديمية الماهر لتحفيظ القران,"3 ش محمد النويهى, زهراء عين شمس, عين شمس, القاهرة.",648240
مساجد ودور تحفيظ,اكاديمية المحفظ,"المجاورة الاولى، الحى التاسع, الشيخ زايد, السادس من اكتوبر, الجيزة.",632376
مساجد ودور تحفيظ,اكاديمية المحمدى,", عزبة الشيخ موهب, الداخلة, الوادى الجديد.",671705
مساجد ودور تحفيظ,اكاديمية اهل القرأن التعليمية,"45 ش ابو حيان التوحيدى, الحى السابع, مدينة نصر, القاهرة.",313665
مساجد ودور تحفيظ,اكاديمية بنت الاسلام,", ., مدينة نصر, القاهرة.",261533
مساجد ودور تحفيظ,الاتقان,"5 ش ابو سرية, شبرا الخيمة, القليوبية.",414691
مساجد ودور تحفيظ,الاخلاص لتحفيظ القرآن,"38 ش عبد الحليم المأذون - القصيرين, الزاوية الحمراء, القاهرة.",566680
مساجد ودور تحفيظ,الازهرى,"10 ش المنيل, شبرا الخيمة, القليوبية.",245781
مساجد ودور تحفيظ,الاصيل,"5 ش حسن ابو طالب, المرج, القاهرة.",479678
مساجد ودور تحفيظ,الامام حسن,"1 ش محمد سبيع, المرج, القاهرة.",480795
مساجد ودور تحفيظ,الايمان,"24 ش عثمان محرم, الطالبية, الهرم, الجيزة.",306594
مساجد ودور تحفيظ,الجامع القديم,"2 ش الجامع القديم - العزبة البيضاء, الخصوص, القليوبية.",486249
مساجد ودور تحفيظ,الجامع الكبير,"ش 19, وادى حوف, القاهرة.",454895
مساجد ودور تحفيظ,الجامع الكبير,"27 ش الجمعية التعاونية, المنوات, الجيزة.",616823
مساجد ودور تحفيظ,الجمعية الاهلية,"54 ش الصحة, عزبة النخل, القاهرة.",459620
مساجد ودور تحفيظ,الحافظ لتحفيظ القران,"ش على حسن, عين شمس الشرقية, القاهرة.",320663
مساجد ودور تحفيظ,الحسين,"16 ش الاحمدى البحرى, شبرا الخيمة, القليوبية.",418802
مساجد ودور تحفيظ,الرحمة لتحفيظ القرآن,"41 ش الطنانى - عزبة الصعايدة, امبابة, الجيزة.",590763
مساجد ودور تحفيظ,الرحمة لتحفيظ القران,"29 ش الاورمان - وراق العرب, الوراق, الجيزة.",596149
مساجد ودور تحفيظ,السبيل لتحفيظ القران,"1 ش احمد جبريل - قرية المعتمدية, كرداسة, الجيزة.",553473
مساجد ودور تحفيظ,السلسبيل,"76 طريق الباجور - سنتريس, اشمون, المنوفية.",566955
مساجد ودور تحفيظ,الشيخ لتحفيظ القرآن,"11 ش صلاح شكرى, شبرا, القاهرة.",435631
مساجد ودور تحفيظ,الشيخ يوسف,"ش الزعيم غاندى, عين شمس, القاهرة.",284982
مساجد ودور تحفيظ,الصحابة لتحفيظ القران,"152 ش ابراهيم عبد الرازق, عين شمس الشرقية, القاهرة.",319119
مساجد ودور تحفيظ,الصفا لتحفيظ القرأن,"43 ش سيد رخا - مدينة الامل, امبابة, الجيزة.",537358
مساجد ودور تحفيظ,الطيب لتحفيظ القرآن,"5 ش السادات, كرداسة, الجيزة.",557886
مساجد ودور تحفيظ,العالمين لتحفيظ القران,"6 ش محمد رضا, حدائق المعادى, المعادى, القاهرة.",411684
مساجد ودور تحفيظ,العلم والايمان,"26 ش ابو وردة, بحرى, الاسكندرية.",233541
مساجد ودور تحفيظ,العلم والايمان لتحفيظ القران,"5 ش احمد بدوى, ابو النمرس, الجيزة.",602519
مساجد ودور تحفيظ,الفرقان,"امتداد ش الكمال, الباجور, المنوفية.",584266
مساجد ودور تحفيظ,القصبجى,"2 ممر سكة البادستان -, الحسين, القاهرة.",369146
مساجد ودور تحفيظ,الكتاب,"6 ش سعد انور, المريوطية, فيصل, الجيزة.",509040
مساجد ودور تحفيظ,الكوثر لتحفيظ القران,"5 ش حسنى مبارك - عزبة العسيلى - كفر برك الخيام, كرداسة, الجيزة.",557166
مساجد ودور تحفيظ,المؤمن لتحفيظ القرأن,"9 ش مكة المكرمة تقسيم عمرو بن العاص, بولاق الدكرور, الجيزة.",592693
مساجد ودور تحفيظ,الماهر بالقران,"11 ش المدبح, العياط, الجيزة.",612402
مساجد ودور تحفيظ,الماهر لتحفيظ القرآن,"30 ش الصوفى, اشمون, المنوفية.",560127
مساجد ودور تحفيظ,المسجد البحرى,"ش المركز, ابو المطامير, البحيرة.",373333
مساجد ودور تحفيظ,المسجد الجديد,"44 ش التحرير, منوف, المنوفية.",571472
مساجد ودور تحفيظ,المسجد الشرقى,"الطريق السياحى - منشأة عبد الله, وسط البلد, الفيوم.",325624
مساجد ودور تحفيظ,المسجد الشرقى,"27 ش بورسعيد - سنتريس, اشمون, المنوفية.",568989
مساجد ودور تحفيظ,المسجد الكبير,"ش 19, وادى حوف, القاهرة.",379946
مساجد ودور تحفيظ,المسجد الكبير,"ش غرب السكة الحديد, عزبة النخل, القاهرة.",655919
مساجد ودور تحفيظ,المسجد الكبير,"., الحرفيين, القاهرة.",481728
مساجد ودور تحفيظ,المسجد الكبير,"ش السوق القديم, قلين, كفر الشيخ.",359552
مساجد ودور تحفيظ,المسجد الكبير,"ش السوق, الرياض, كفر الشيخ.",364617
مساجد ودور تحفيظ,المسجد الكبير,"ش طراد النيل, طموه, الجيزة.",398441
مساجد ودور تحفيظ,المسجد الكبير,"ش البحر تقاطع ش الجمهورية, زفتى, الغربية.",336255
مساجد ودور تحفيظ,المسجد الكبير,"ش د. لاشين, الكوم الاخضر, فيصل, الجيزة.",331423
مساجد ودور تحفيظ,المسجد الكبير,"ش سعد زغلول, كفر الزيات, الغربية.",343431
