Category,Name,Address,ID
خرائط ونظم معلوماتية,يلوميديا - يلوبيدجز مصر,"6 أ/ 18, تقاطع شارعى 205 مع 253, دجلة, المعادى, القاهرة.",44735
خرائط ونظم معلوماتية,الشرق الاوسط للنشر,"6 أ ميدان اسوان, المهندسين, الجيزة.",51077
خرائط ونظم معلوماتية,الشركة المصرية الكويتية لنظم المعلومات الجغرافية,"18 ب عمارات العبور - طريق صلاح سالم, مدينة نصر, القاهرة.",168006
خرائط ونظم معلوماتية,المجموعة الاستشارية للخرائط والمعلومات الارضية,"13 عمارات العبور - - الدور 12, مدينة نصر, القاهرة.",63548
خرائط ونظم معلوماتية,المركز العالمى للمساحة والخرائط والمقاولات,"2 ش احمد تيسير متفرع من ش الميرغنى - عمارات المروة, كلية البنات, مصر الجديدة, القاهرة.",564613
خرائط ونظم معلوماتية,النظم الهندسية المتكاملة,"2 ج عمارات شركة مصر الجديدة - ميدان بقطر, الالف مسكن, مصر الجديدة, القاهرة.",128908
خرائط ونظم معلوماتية,اى تراك,"18 ش احمد كامل متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",584901
خرائط ونظم معلوماتية,ايجيتك لانظمة معامل اللغات ونظم المعلومات الجغرافية,"37 ش حسن افلاطون, امام دار البنك الاهلى المصرى, ارض الجولف, مصر الجديدة, القاهرة.",116132
خرائط ونظم معلوماتية,ايدج برو,"3 ش 5 - الدور 3, كلية البنات, مصر الجديدة, القاهرة.",137103
خرائط ونظم معلوماتية,بانوراما ايجيبت,"13 ميدان التحرير, وسط البلد, القاهرة.",489644
خرائط ونظم معلوماتية,برو مابس,"59 ش ايران متفرع من ش محيى الدين ابو العز, المهندسين, الجيزة.",592064
خرائط ونظم معلوماتية,بي ام اس للبرمجیات ونظم المعلومات,"102 عمارات اتحاد ملاك البستان 1 ش النصر, الدور 1, سموحة, الاسكندرية.",681052
خرائط ونظم معلوماتية,تيون ات اب,"3 ب عمارات الشرق للتأمين - ش د. محمود ابراهيم متفرع من ش عباس العقاد, الحى السابع, مدينة نصر, القاهرة.",580740
خرائط ونظم معلوماتية,جارمين ايجيبت - دلتا,"54 ش جوزيف تيتو, النزهة الجديدة, القاهرة.",286666
خرائط ونظم معلوماتية,جى بى اس جو,"2 ش جعفر, حلوان, القاهرة.",608907
خرائط ونظم معلوماتية,جيوبلان,"عمارات معروف ب - , وسط البلد, القاهرة.",142964
خرائط ونظم معلوماتية,دوت ماب,"13 ش الثمار ميدان مصطفى محمود, المهندسين, الجيزة.",126420
خرائط ونظم معلوماتية,روك,"4 ش المشير احمد اسماعيل, خلف شيراتون هليوبوليس, مساكن شيراتون, مصر الجديدة, القاهرة.",2804
خرائط ونظم معلوماتية,ستارت لتكنولوجيا المعلومات,"18 ش مجلس الشعب ميدان لاظوغلى, وسط البلد, القاهرة.",297794
خرائط ونظم معلوماتية,فليت انفورماشن تكنولوجى - اف اى تى,"14 ش سمير مختار, الشقة 2, الدور 1, متفرع من ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",199357
خرائط ونظم معلوماتية,كونكشن,"28 ش الاشجار, الدقى, الجيزة.",60281
خرائط ونظم معلوماتية,لامبادا لتصميم الخرائط,"36 ش الحجارى, بحرى, الاسكندرية.",58071
خرائط ونظم معلوماتية,مارينكارت,"24 ش النصر - الدور 5 شقة 504, المنشية, الاسكندرية.",29325
خرائط ونظم معلوماتية,نيو ورلد للتجارة والتوزيع,"32 ش حسن رفعت, سيدى بشر قبلى, الاسكندرية.",330982
