Category,Name,Address,ID
شمع,الوطنية للشموع,"قطعة 8732 ش د. تيمور, متفرع من ش 9, المقطم, القاهرة.",693074
شمع,الاسكندرية للمنتجات الشمعية,"19 ش كمال الدين صلاح, سموحة, الاسكندرية.",95996
شمع,الرضوى لانتاج الشموع,"14 ش عبد السلام عارف, المنصورة, الدقهلية.",445640
شمع,الشاطر حسن للشموع,"6 ش الغورية, الدرب الاحمر, القاهرة.",596449
شمع,اولاد الحاج جابر الشماع,"ش المعز لدين الله الفاطمى, بوابة المتولى, الازهر, القاهرة.",689262
شمع,حنانز كاندل,", ., وسط البلد, القاهرة.",692911
شمع,زيا كاندلز,"ش 14 مايو, المنطقة الصناعية, سموحة, الاسكندرية.",182748
شمع,طيبة لصناعة الشموع,"49 ش المدينة المنورة, متفرع من ش محيى الدين ابو العز, المهندسين, الجيزة.",62883
شمع,عالم الشموع,"ش اللبينى, الهرم, الجيزة.",399205
شمع,فيرو للشموع,"ش الحكمة, طنطا, الغربية.",539985
شمع,كاندل كونكشن,", ., القاهرة الجديدة, القاهرة.",292827
شمع,كاندل مانيا ايجيبت,"4 ش حسن الليثى متفرع من ش جوزيف تيتو, النزهة الجديدة, القاهرة.",430169
شمع,كاندلز اند مور,", ., المعادى, القاهرة.",692909
شمع,كانديز كاندل,", ., وسط البلد, القاهرة.",692910
شمع,ليليز كاندل اند ناتشروال بروداكتس,", ., وسط البلد, القاهرة.",692912
شمع,ماجلايت للشموع,"بلوك 6, المجاورة 27, المنطقة الصناعية, مدينة 15 مايو, القاهرة.",334792
شمع,مصنع شموع الشرقية,"11 عمارات الشركة السعودية ش النزهة, مصر الجديدة, القاهرة.",90895
شمع,مصنع كاندل,"4 ش الاسقفية, المنشية, الاسكندرية.",34874
