Category,Name,Address,ID
امن صناعي,مؤسسة القاهرة للتجارة والهندسة,"1 ش 26 يوليو, وسط البلد, القاهرة.",14713
امن صناعي,شركة ايجل لتوريدات الامن الصناعى والحريق,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",474756
امن صناعي,مجموعة شركات سالم منطاوي للاستيراد والتوريدات,"الطريق البطئ, ميت حلفا, قليوب, القليوبية.",64189
امن صناعي,السعد لاستيراد مهمات السلامة والامن الصناعى,", الاردنية, العاشر من رمضان, الشرقية.",694812
امن صناعي,العربية للتوريدات ومهمات الامن الصناعى,", المحور المركزى - ميدان ليلة القدر, الحى 12, السادس من اكتوبر, الجيزة.",650433
امن صناعي,سيفتى جروب لمستلزمات الامن الصناعى,"ش محمد حافظ, الاردنية, العاشر من رمضان, الشرقية.",462590
امن صناعي,الفا فاير,"وحدة 45, الاردنية - المصرية سنتر 3, العاشر من رمضان, الشرقية.",692098
امن صناعي,المؤسسة الدولية للتوريدات والخدمات البترولية,"6 /1 ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",692836
امن صناعي,مكتب المتوكل للتوريدات,"ش عرابى, وسط البلد, القاهرة.",695203
امن صناعي,ال يوسف للتوريدات والامن الصناعى,"ش حسن الاكبر, باب الخلق, القاهرة.",694375
امن صناعي,المتحدة للاجهزة الامنية,"257, المجاورة الثالثة, الحى الثالث, السادس من اكتوبر, الجيزة.",687240
امن صناعي,ايجيبت تريد لمهمات الامن الصناعى,"99 أ ش الجمهورية, وسط البلد, القاهرة.",626600
امن صناعي,سمارت ماتريكس للتجارة والمقاولات,"2 بلوك 9 ش سعيد زكريا, حى السفارات, مدينة نصر, القاهرة.",629182
امن صناعي,سيزر تكنولوجى,"1 ش التسعين الجنوبى, النرجس, القاهرة الجديدة, القاهرة.",686902
