Category,Name,Address,ID
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - 6 اكتوبر,"11, المجاورة الرابعة, الحى المتميز, السادس من اكتوبر, الجيزة.",274010
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - ابنوب,"حى الخبازين, ابنوب, اسيوط.",276534
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - ابو قرقاص,"بلوك 42 -, ابو قرقاص, المنيا.",276449
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - اخميم,"حى الكوثر, اخميم, سوهاج.",276588
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - ارمنت,"ش الشهيد عبد الرحمن - الوابورات, ارمنت, الاقصر.",276556
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - اسنا,"ش جسر السيالة, اسنا, الاقصر.",276552
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - اسوان,"عمارة الاوقاف - ش ابطال التحرير, وسط البلد, اسوان.",276539
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - اسيوط,"برج مصر للتأمين - ش الجيش, اسيوط, اسيوط.",276529
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الازبكية,"11 ش المبتديان, السيدة زينب, القاهرة.",273659
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الاسماعيلية,"6 ش التجارى, وسط البلد, الاسماعيلية.",276268
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الاقصر,"ش المحطة, الاقصر, الاقصر.",276547
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الباجور,"عمارات الاوقاف - ش جمال عبد الناصر, الباجور, المنوفية.",276623
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الجمرك,"برج المحروسة - ش محمود صدقى تقاطع ش بنما, حى الشرق, بور سعيد.",276265
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الحوامدية,"3 مساكن زهرة السكر - - الشيخ عثمان, الحوامدية, الجيزة.",276363
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الخانكة,"مبنى زكى سالم اللبان - ش عمر الريس, الخانكة, القليوبية.",273979
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الدخيلة,"13 ش الغرفة التجارية, المنشية, الاسكندرية.",276314
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الدقى,"8 أ ميدان ابن خلدون, العجوزة, الجيزة.",274147
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الرمل,"19 ش المشير احمد اسماعيل, سيدى جابر, الاسكندرية.",276278
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الزقازيق,"ش اللواء عبد العزيز, الزقازيق, الشرقية.",274273
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الزيتون,"17 ش سنان, الزيتون, القاهرة.",273909
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - الساحل,"1377 ابراج اغاخان - كورنيش النيل - شبرا المظلات, شبرا, القاهرة.",273639
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - السادات,"8 ش بلال بن رباح - المنطقة الاولى, مدينة السادات, المنوفية.",276619
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - السنبلاوين,"برج السلام - - حى النخيل, السنبلاوين, الدقهلية.",274203
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - السويس,"ش الجيش, حى السويس, السويس.",276334
مأموريات الضرائب على المبيعات,مأمورية الضرائب على المبيعات - السيدة زينب,"11 ش المبتديان, السيدة زينب, القاهرة.",273657
