Category,Name,Address,ID
مدارس ازهري,المعهد الدينى بساحل الجوابر,"قرية ساحل الجوابر, الشهداء, المنوفية.",135624
مدارس ازهري,مجمع معاهد الحسن الازهرى النموذجى,"الطريق الدائرى, مدينة السلام, القاهرة.",286916
مدارس ازهري,مجمع معاهد سيد المرسلين الازهرية,"23 ش النجاح, مصر القديمة, القاهرة.",167543
مدارس ازهري,مدارس ال عثمان الازهرية للغات,"عمارات نيركو, الشطر الخامس, زهراء المعادى, المعادى, القاهرة.",471321
مدارس ازهري,مدارس الالسن الازهرية للغات,"39 ش على فهمى متفرع من ش اللبينى, المريوطية, الهرم, الجيزة.",612392
مدارس ازهري,مدارس براعم طيبة الازهرية الخاصة للغات,"30 ش د. النبوى المهندس, المندره قبلى, الاسكندرية.",184596
مدارس ازهري,مدرسة نور الاسلام,"ش مدرسة نور الاسلام متفرع من ش ترعة السيسى - تقسيم الحلو, الهرم, الجيزة.",329602
مدارس ازهري,معاهد البخارى الازهرية للغات,"الحى الثالث - المنطقة الخامسة, التجمع الخامس, القاهرة الجديدة, القاهرة.",184773
مدارس ازهري,معاهد الكمال الازهرية للغات,"المنطقة الاولى - الحى الثالث, التجمع الخامس, القاهرة الجديدة, القاهرة.",136565
مدارس ازهري,معاهد تاجان الازهرية للغات,"., البنفسج, القاهرة الجديدة, القاهرة.",149338
مدارس ازهري,معهد اجياد الازهرى للغات,"4 هـ - ارض الاستثمار, زهراء المعادى, المعادى, القاهرة.",157284
مدارس ازهري,معهد الاندلس الازهرى,"ش الشيخ عبد الموجود متفرع من ش عثمان محرم - الطالبية, الهرم, الجيزة.",231683
مدارس ازهري,معهد الحرمين الابتدائى الازهرى,"ابو شيخة, ههيا, الشرقية.",144916
مدارس ازهري,معهد الحصرى الازهرى للغات,"المجاورة الثالثة - الحى الاول , السادس من اكتوبر, الجيزة.",149328
مدارس ازهري,معهد الدكتور طلعت السيد النموذجى الثانوى,"ش عبد العزيز عيسى متفرع من ش مصطفى النحاس, الحى الثامن, مدينة نصر, القاهرة.",563584
مدارس ازهري,معهد الصفا الازهرى,"طريق ترعة الاسماعيلية - المعاهدة, مسطرد, القليوبية.",156010
مدارس ازهري,معهد الغد المشرق الازهرية الخاصة للغات,"محلية 4 - - الحى الثانى, التجمع الخامس, القاهرة الجديدة, القاهرة.",55943
مدارس ازهري,معهد الكريم الازهرى الخاص,"13 ش الكريم, سراى القبة, القاهرة.",166020
مدارس ازهري,معهد المنطقة الثامنة الابتدائى النموذجى,"ش عبد الحى حجازى, مدينة نصر, القاهرة.",683041
مدارس ازهري,معهد المنيرة,"قرية المنيرة, الخارجة, الوادى الجديد.",118492
مدارس ازهري,معهد النور الازهرى,"ش داير الناحية - بركة الحاج, المرج, القاهرة.",341453
مدارس ازهري,معهد الهدى الازهرى للغات,"غرب صوميد, الحى المتميز, السادس من اكتوبر, الجيزة.",354812
مدارس ازهري,معهد الوفاء الازهرى,"15 ش سيناتريوم, حلوان, القاهرة.",68571
مدارس ازهري,معهد انشاص الرمل الابتدائى الازهرى,"انشاص الرمل, بلبيس, الشرقية.",238662
مدارس ازهري,معهد دجلة الازهرى للغات,"ش نجيب محفوظ - عمارات نيركو, دجلة, المعادى, القاهرة.",252420
مدارس ازهري,معهد صلاح الدين الازهرى - ايه ام اس,"ش نادى عوض الصياد متفرع من ش عثمان محرم, الطالبية, الهرم, الجيزة.",235949
مدارس ازهري,معهد طلائع الازهر الشريف النموذجى,"ش جسر السويس - ارض ابو رجيلة, جسر السويس, القاهرة.",136866
مدارس ازهري,معهد عبد الله رفاعى الازهرى,"6 ش عبد الله رفاعى, كفر الشرفا, المرج, القاهرة.",141706
مدارس ازهري,معهد فتيات الفتح المبين الثانوى,"ش النبى دانيال, العطارين, الاسكندرية.",23003
مدارس ازهري,معهد فتيات المحامدة القبلية الازهرى,"قرية المحامدة القبلية, حى غرب, سوهاج.",136407
مدارس ازهري,معهد قرطبة الازهرى,"14 ش مسجد التوحيد, فيصل, الجيزة.",100613
مدارس ازهري,معهد كتامة الازهرى,"قرية كتامة, بسيون, الغربية.",131933
مدارس ازهري,معهد محمد جلال الازهرى,"ش عبد العزيز عبد الدايم متفرع من ش احمد عصمت, عين شمس الشرقية, القاهرة.",324252
مدارس ازهري,معهد نور الاسلام الازهرى للغات,"ش الفريق محمد على فهمى نزلة البطران, المريوطية, الهرم, الجيزة.",563146
مدارس ازهري,معهد وادى النيل الازهرى الخاص,"105 ش مكة متفرع من ش مصطفى حافظ, عين شمس, القاهرة.",563787
