Category,Name,Address,ID
فطير,ابن القليوبية,"78 ش العشرين - تقسيم الاباصيرى, عين شمس الشرقية, القاهرة.",318344
فطير,ابناء الشرقية,"36 ش عزبة الوالدة - عزبة الوالدة, حلوان, القاهرة.",385880
فطير,ابو الفطاير,"ش 9, المقطم, القاهرة.",272987
فطير,ابو حربى,"ابراج الامريكية، المحور المركزى, الحى الاول, السادس من اكتوبر, الجيزة.",622082
فطير,ابو حمزة للبيتزا والفطائر,"26 ش سعد امام, الطالبية, الهرم, الجيزة.",639047
فطير,ابو سمرة,"التقسيم السياحى, القناطر الخيرية, القليوبية.",302809
فطير,ابو سيد للفطير,"7 ش مسجد الصفا, الحوامدية, الجيزة.",603967
فطير,ابو هادى,"4 ش المنشية, فيصل, الجيزة.",404061
فطير,احلى ليالى,"ش مهران, البساتين, القاهرة.",371748
فطير,افندينا,"12 ش اسامة ابو عميرة, متفرع من ش فيصل, حسن محمد, فيصل, الجيزة.",99923
فطير,افندينا,"65 ش انور السادات - ش ترسا سابقا, الطالبية, الهرم, الجيزة.",133942
فطير,اكسترا,"الهضبة الوسطى - الحى الخامس, المقطم, القاهرة.",520880
فطير,الازهر للبيتزا والفطير,"4 ش زكرى انس, المرج, القاهرة.",434384
فطير,الامانة,"36 ش قاسم امين, محرم بك, الاسكندرية.",24501
فطير,الامير,"6 ش سكة الظاهر, باب الشعرية, القاهرة.",365193
فطير,الامير,"ش السكة الحديد, اولاد صقر, الشرقية.",366883
فطير,الامير للبيتزا والفطائر,"8 ش مهذب الدين الحكيم, الحلمية الجديدة, القاهرة.",647381
فطير,الاندلس,"28 ش المسابك - عزبة المفتى, امبابة, الجيزة.",353481
فطير,الانصارى للفطائر,"48 ش الثلاجة متفرع من ش ترعة عبد العال 1 - صفط اللبن, بولاق الدكرور, الجيزة.",588603
فطير,البركة,"ش الشيخ الشعراوى, ميت غمر, الدقهلية.",339283
فطير,البركة,"ش السوق, سمنود, الغربية.",345531
فطير,البلدى الاصيل للفطير,"ش محطة الزيتون, الزيتون, القاهرة.",662101
فطير,التحرير للبيتزا والفطائر,"225 ش الترعة البولاقية, شبرا, القاهرة.",434199
فطير,الحاج,"ش زكى مطر, امبابة, الجيزة.",264390
فطير,الحرافيش كافيه,"طريق عجيبة - خليج الابيض, حى القصر, مرسى مطروح.",226831
فطير,الحرمين,"تقسيم الزهراء, القناطر الخيرية, القليوبية.",305808
فطير,الحسينى,"ش وادى النيل, المهندسين, الجيزة.",383960
