Category,Name,Address,ID
الومنيوم,شركة التراث لمقاولات واجهات الزجاج والكلادينج وشبابيك اليو بى فى سى,"القطعة 115 مجاورة 1, الحى السابع, الشيخ زايد, الجيزة.",680609
الومنيوم,سمارت ساينز,"79 ش مصدق, الدقى, الجيزة.",583882
الومنيوم,ميتافورم لصناعة السلالم والسقالات الالومنيوم,"98 ش عمر بن الخطاب, الماظة, مصر الجديدة, القاهرة.",158994
الومنيوم,الفؤاد جروب,"58 ش الزهراء, متفرع من ش عمان, الدقى, الجيزة.",690828
الومنيوم,هايبر ميتال - الخالد للالومنيوم والاكسسوار,"ش اللبينى, فيصل, الجيزة.",399246
الومنيوم,شاتر فليكس,"21 ش الطاقة, الشقة 12, الدور 2, الحى الثامن, مدينة نصر, القاهرة.",452477
الومنيوم,الكو ايجيبت,"14 ش 286, متفرع من ش 269, المعادى الجديدة, المعادى, القاهرة.",11881
الومنيوم,ارت كلادينج للواجهات المتطورة والديكور,"10, التجمع الخامس, القاهرة الجديدة, القاهرة.",691307
الومنيوم,رويال شتر لاعمال شيش الحصيرة وسلك البليسية,"محور محمد نجيب, التجمع الخامس, القاهرة الجديدة, القاهرة.",694063
الومنيوم,كيميت للمقاولات,"253 ش الحجاز, مصر الجديدة, القاهرة.",585412
الومنيوم,انظمة الالومنيوم العالمية - اينتال,"7 أ برج دله, كورنيش المعادى, كورنيش المعادى, المعادى, القاهرة.",463536
الومنيوم,تكنو فريم,"26 ش المقريفى, موازى ش حسن مأمون, مدينة نصر, القاهرة.",464509
الومنيوم,"دوائر لاستشارات الزجاج المسطح, شركة ذات مسئولية محدودة","31 ش أحمد فهيم, متفرع من عبدالعزيز فهمي, صلاح سالم, مصر الجديدة, القاهرة.",552616
الومنيوم,مجموعة طيبة لانظمة الالوميتال,"ش مؤسسة الزكاة, متفرع من الطريق الدائري, كفر ابو صير - محطة المطحن, المرج, القاهرة.",693330
الومنيوم,كريدى بولى تك لتصنيع الواح يو بى فى سى,", المنطقة الصناعية الاولى - بلوك ج - قطعه 14/15, جمصة, الدقهلية.",694541
الومنيوم,مودرن تال لانظمة الالومنيوم واعمال الكلادينج,"4 أ ابراج طيبة, زهراء المعادى, المعادى, القاهرة.",65195
الومنيوم,العزيزية للالوميتال ويو بى فى سى - م. عمار محمد حسين الهندى,"346 برج الشرطة ش السودان, المهندسين, الجيزة.",588502
الومنيوم,مجموعة رؤية لتجارة الالومنيوم,"طريق المريوطية العمومى, فيصل, الجيزة.",690138
الومنيوم,البسملة لاعمال الالومنيوم والديكورات,"15 ش كمال شحاته, متفرع من ش ترعة القبة, مدينة ناصر, الاميرية, القاهرة.",183556
الومنيوم,جيرمان ايجيبت ويندوز للصناعات الهندسية والاستيراد,"فيلا 203, البنفسج, التجمع الاول, القاهرة الجديدة, القاهرة.",613864
الومنيوم,المتحدة لأعمال الالوميتال والواجهات الزجاجية,"أول الطريق الدولى, طريق المحمودية, العوايد, الاسكندرية.",689774
الومنيوم,ابداع للصناعات الهندسية,"القطعة 59, المنطقة الصناعية - منطقة 100 فدان, مدينة بدر, القاهرة.",687310
الومنيوم,جارديان للاعمال المعدنية المعمارية,"برج الحرية ش 153, الشقة 125, الدور 12, ميدان الحرية, المعادى, القاهرة.",92040
الومنيوم,مصنع المناره للحلول المتكاملة,"ش الجوهرة, مجمع الصناعات - المنطقة الثانية - عنبر 27, برج العرب الجديدة, الاسكندرية.",690538
الومنيوم,العربية لتصنيع ودهان الالومنيوم - ابراهيم البطران,"قطعة 106/ 107, المنطقة الصناعية السادسة, السادس من اكتوبر, الجيزة.",501339
الومنيوم,الفتح لانظمة الزجاج المتطوره - عمر فتحى,"2 ش حسن متولى, متفرع من طريق مصر اسكندرية, شبرا الخيمة, القليوبية.",577890
الومنيوم,اليو باور لحلول الالومنيوم,"87 ك, بوابة خفرع, حدائق الاهرام, الهرم, الجيزة.",688417
الومنيوم,كيمو ميتال لتجارة المواسير,"23 ش المنصورى, متفرع من ش السبتية, السبتية, القاهرة.",140440
الومنيوم,الصفوة لانظمة اعمال الالومنيوم والزجاج المتكاملة,"القطعة 482, امتداد المنطقة الصناعية السادسة, مخازن الشباب - 300 متر, السادس من اكتوبر, الجيزة.",551578
الومنيوم,انتر سيتى لتجارة الالمونيوم,"161 ش التروللى, مؤسسة الزكاة, القاهرة.",690413
الومنيوم,مزايا للابواب والشبابيك اليو بى في سى,"عمارة سموحة اورجينال ش خمسين, الدور 1, متفرع من ش مصطفى كامل, سموحة, الاسكندرية.",434736
الومنيوم,الدولية ميتال لجميع أعمال الالومنيوم ودهانات الالكتروستاتيك,", المنطقة 15 - الشريط المميز, مدينة السادات, المنوفية.",690981
الومنيوم,البنا لتصنيع الالومنيوم,"44 ش محمد انور السادات, العوايد, الاسكندرية.",164623
الومنيوم,جولدن شتر الدولية,"مبنى رقم 7242 - الطريق الدائرى - مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",613115
الومنيوم,جولدن ميتال للصناعات الهندسية,"القطعة 21 - مربع 12001, الامتداد الشمالى, المنطقة الصناعية, مدينة العبور, القليوبية.",167253
الومنيوم,رويال شتر لاعمال شيش الحصيرة وسلك البليسية,"قطعة 31, المنطقة الصناعية ب - ج, مدينة العبور, القليوبية.",597978
الومنيوم,شركة المنصورة للنوافذ والابواب - يو بى فى سى,"ش عمارة المستشاريين, المنصورة, الدقهلية.",581376
الومنيوم,شركة سبائك,", المنطقة الصناعية الثالثة A5, العاشر من رمضان, الشرقية.",567749
الومنيوم,ماستر لاعمال الالومنيوم والواجهات وتشغيل المعادن,"15, مشروع دارنا الطريق الدائرى, المعادى, القاهرة.",590162
الومنيوم,مطابخ جنة السورية,"اول ش الزهراء - العمرانية, الطالبية, الهرم, الجيزة.",603349
الومنيوم,ابانوب للالوميتال,"5 ش الشهيد, عزبة النخل, القاهرة.",522596
الومنيوم,ابانوب للالوميتال,"27 ش عمر بن الخطاب, الخصوص, القليوبية.",499960
الومنيوم,ابتكار للالوميتال,"1 ش مندى عبد الحميد, المرج, القاهرة.",480564
الومنيوم,ابداع للالوميتال,"14 ش ترعة عبد العال 1 - الشوربجى, بولاق الدكرور, الجيزة.",591347
الومنيوم,ابداع للالوميتال,"46 ش النقراشى, طوخ, القليوبية.",515830
الومنيوم,ابراهيم للالوميتال,"20 ش بكر العطار, عين شمس الشرقية, القاهرة.",623012
الومنيوم,ابراهيم محمد الطنطاوى,"2 ش مشمش البصل, اللبان, الاسكندرية.",23047
الومنيوم,ابكو - شركة المنتجات المعمارية,"المنطقة الصناعية B1, العاشر من رمضان, الشرقية.",151235
الومنيوم,ابن الخطيب للالوميتال,"40 ش بورسعيد - سنتريس, اشمون, المنوفية.",568995
الومنيوم,ابناء الاباصيرى,"ش ابو بكر الصديق, كفر الزيات, الغربية.",343729
