Category,Name,Address,ID
علامات وستيكرز,بروفيشنال برنت,"117 عمارات صقر قريش ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",694275
علامات وستيكرز,تكنو برنت للصناعات البلاستيكية,"69 ش النصر, مساكن شيراتون, مصر الجديدة, القاهرة.",694508
علامات وستيكرز,هاى بلاست,", المنطقة الصناعية الثالثة B3 - مجمع تبارك الصناعى - وحدة 38، 39, العاشر من رمضان, الشرقية.",666206
علامات وستيكرز,يونايتد باك لصناعات التغليف,"ش سامى البيلى, متفرع من الطريق البطئ, قليوب, القليوبية.",565425
علامات وستيكرز,ستاركو جروب,"القطعة ٦/٥/٣, المنطقة الصناعية A2, العاشر من رمضان, الشرقية.",112650
علامات وستيكرز,اى جى ستيكر,"5 ش الجامع, مدينة قباء, جسر السويس, القاهرة.",563967
علامات وستيكرز,سيلوباك لصناعات التغليف,"القطعة 94 ش 14, المنطقة الصناعية الثالثة, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",146949
علامات وستيكرز,ارتكس لخدمات المنسوجات,"6 ش منيل الروضة, منيل الروضة, القاهرة.",167848
علامات وستيكرز,ال خليفة,"412 ش بورسعيد - الدور 1 شقة 213, الموسكى, القاهرة.",175965
علامات وستيكرز,الاتحاد الاخوى,"طريق القاهرة اسكندرية الزراعى - المنطقة الصناعية, شبرا الخيمة, القليوبية.",232507
علامات وستيكرز,الايمان لطباعة الاستيكر,"66 مساكن الشباب, المنطقة الصناعية الثانية, مدينة العبور, القليوبية.",656011
علامات وستيكرز,الحمد باك للباركود والاستيكر,", طريق ديرب نجم, كفر الاشراف, الزقازيق, الشرقية.",688405
علامات وستيكرز,الرواد للطباعة,"طريق بلبيس العاشر من رمضان, منطقة بلبيس الصناعية, بلبيس, الشرقية.",688608
علامات وستيكرز,السارة للاستيراد والتصدير,"كم 26 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",158066
علامات وستيكرز,الفا هولوجرام ايجيبت,"5 ش عبد المنعم فوزى, النزهة الجديدة, القاهرة.",388944
علامات وستيكرز,المتحدة للدعاية والاعلان,"20 ش عمر لطفى, كامب شيزار, الاسكندرية.",96444
علامات وستيكرز,المروة جروب,"9 ش المواردى, قصر العينى, القاهرة.",58754
علامات وستيكرز,المصانع الحديثة,"3 ش الحمراوى, الموسكى, القاهرة.",57753
علامات وستيكرز,المصرية لانتاج وتصنيع الاستيكرز,"41 ش احمد قاسم جودة متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",2477
علامات وستيكرز,النور للاستيراد والتصدير,"28 ش محمد بيوشى, بولاق الدكرور, الجيزة.",387499
علامات وستيكرز,الوعد للطباعة,"29 ش اسحق متفرع من ش احمد عصمت , عين شمس الشرقية, القاهرة.",228180
علامات وستيكرز,اليكس جرافو,"7 ش حداد, كامب شيزار, الاسكندرية.",14699
علامات وستيكرز,ايباك - الشركة المصرية لتحويل الورق,"القطعة 2/3 - - المنطقة الصناعية الثالثة A1', العاشر من رمضان, الشرقية.",160732
علامات وستيكرز,ايتوال ديزاين,"القطعة 9 - 19, مجمع الصناعات الصغيرة C2, العاشر من رمضان, الشرقية.",176882
