Category,Name,Address,ID
جودة,ادكو انترناشونال,"ش مصطفى كامل, المعمورة, الاسكندرية.",145015
جودة,تراست ايجيبت لنظم الجودة والمعايرة,"24 ش محمود حب الله, الحى الثامن, مدينة نصر, القاهرة.",545338
جودة,جوست للمعاينات والاختبارات,"برج القصر الملكى 122 ش جلال الدسوقى, وابور المياه, باب شرق, الاسكندرية.",131342
جودة,او اس اس,"45 ش ابن قتيبة, متفرع من ش ذاكر حسين, مدينة نصر, القاهرة.",580341
جودة,اس ايه انترناشيونال,"40 ش الفردوس, الدور 11, برج الاعلاميين, سموحة, الاسكندرية.",236462
جودة,كوتكنا للفحص - مصر,"40 برج الاعلاميين ش الفردوس, الشقة 1002, الدور 10, سموحة, الاسكندرية.",143291
جودة,اتيك انترناشونال للخدمات البترولية ش.م.م,"49 عمارات المركز الرئيسى, الشقة 3, الدور 1, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",584968
جودة,اس ان ار لشهادات الجودة,"8 عمارات رابعة الاستثمارى - طريق النصر - الدور 5 شقة 53, مدينة نصر, القاهرة.",577076
جودة,اس جى اس ايجيبت,"9 ج ش احمد كامل متفرع من ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",345830
جودة,اسيرتا ميدل ايست,"فيلا 9030 - ش الاسراء المجاورة التاسعة - المعراج السفلى, المعادى, القاهرة.",400514
جودة,اطلس ايجيبت للتفتيش والخدمات البترولية,"18 ش سوريا, رشدى, الاسكندرية.",590262
جودة,اف كيو سى ميدل ايست,"5 أ ش احمد شوقى, سيدى جابر, الاسكندرية.",293347
جودة,اكاديمية الجودة المصرية,"13 ش عوض حجازى, السرايا, الاسكندرية.",390933
جودة,البحر الابيض المتوسط للاعتماد والتفتيش الزراعى,"30 ش محيى الدين ابو العز - الدور 5 شقة 2, المهندسين, الجيزة.",389738
جودة,التقنية للتطوير والاستشارات وانظمة الجودة م. مجدى خطاب,"القطعة 32 - د/4 - - مركز المدينة MC2 - الدور 4, العاشر من رمضان, الشرقية.",405935
جودة,الجمعية المصرية للجودة,"12 عمارات العبور طريق صلاح سالم, الدور 8, مصر الجديدة, القاهرة.",192124
جودة,الشركة المصرية ايجيبتك ايزو,"ش الجيش, تقاطع ش احمد ماهر, برج هاى كلاس, حى الشرق, بور سعيد.",153198
جودة,المتحدة لانظمة التسجيل,"37 ش الحجاز متفرع من ش وادى النيل - الدور 3, المهندسين, الجيزة.",512082
جودة,المجموعة الفنية لخدمات المعاينة والتفتيش الدولى ش.م.م,"9 ش جمال الدين ابو المحاسن - الدور 1, جاردن سيتى, القاهرة.",79574
جودة,المركز الدولى للمعايرة والجودة‎ - اى سى تو كيو,"13 عمارات ضباط الجبل الاخضر طريق النصر, مدينة نصر, القاهرة.",640253
جودة,المركز العربى للجودة والايزو,"14 ش الارمن, ميامى, الاسكندرية.",424536
جودة,المركز الوطنى لمنح الشهادات الدولية,"2 ش عباس العقاد - الدور 4, مدينة نصر, القاهرة.",384645
جودة,المصرية للخدمات العلمية والهندسية - خدمات معايرة وقياسات,"27 ش ذهنى, الشقة 6, الدور 3, متفرع من ش رمسيس, الظاهر, القاهرة.",530119
جودة,المكتب الاستشارى لرسن - ام,"قطعة 1267 - - الحى الرابع - المنطقة الرابعة, السادس من اكتوبر, الجيزة.",351336
جودة,المكتب الدولى لنظم وادارة الجودة - كيو ام اس,"برج العاصمة دريم, المريوطية, الهرم, الجيزة.",158255
جودة,النور للشهادات الدولية,"10 ش سيزوستريس, الشقة 17, الدور 3, حى الشرق, بور سعيد.",445753
جودة,اليكس ستيوارد انسبكشن ايجيبت,"8 ش منيل الروضة, المنيل, القاهرة.",115148
جودة,ام اس سيرت,"ابراج سيدى جابر - برج 1 -, سموحة, الاسكندرية.",228131
جودة,انترتك,"69 ش 161, تقاطع ش 104, المعادى, القاهرة.",9436
جودة,انترتك كاليبريت ايجيبت,"217 ش عبد السلام عارف, لوران, الاسكندرية.",42899
جودة,انترسيف للتفتيش الهندسى والاختبارات,"52 ش محمد جلال حماد, ميامى, الاسكندرية.",440257
جودة,انسبكت للخدمات البترولية,"42 ش محمود غنيم, مدينة نصر, القاهرة.",557249
جودة,انسبكتا ميدل ايست - اى ام اى,"12 ش 1 متفرع من ش النصر, سموحة, الاسكندرية.",317652
جودة,انسبكتوريت لنظم ادارة الجودة,"26 ش البطل احمد عبد العزيز, المهندسين, الجيزة.",4829
جودة,اى سى سى - المركز الدولى للاستشارات,"36 ش الشهيد زكريا عبد القوى متفرع من ش ترسا - الدور 9 شقة 17, المريوطية, الهرم, الجيزة.",426977
جودة,ايكو - المركز المصرى للزراعة العضوية,"29 ش يثرب, متفرع من ش السودان, المهندسين, الجيزة.",67579
جودة,ايه جيه ايه ايجيبت,"102 ابراج الامل - طريق الاوتوستراد - الدور 5 شقة 53, المعادى الجديدة, المعادى, القاهرة.",154874
جودة,بالتك كنترول,"برج 6085 - وحدة 302 - طريق المعادى, زهراء المعادى, المعادى, القاهرة.",440347
جودة,بالتيك كنترول ايجيبت,"41 ش بهاء الدين الغتورى, سموحة, الاسكندرية.",191019
جودة,بترو سبكت,"15 ش ابن القاضى متفرع من ش الجلال, فيكتوريا, الاسكندرية.",527042
جودة,بى سى اى ايجيبت - الشهادات الانجليزية المعتمدة,"43 ش عمارات الشركة السعودية, السواح, القاهرة.",271414
جودة,بيرو فريتاس مصر,"51 ش حسن افلاطون متفرع من ش النزهة - الدور 6, ارض الجولف, مصر الجديدة, القاهرة.",10478
جودة,تانك اويل جروب,"بلوك 10 طريق اسكندرية القاهرة الصحراوى, منطقة مرغم الصناعية, مرغم, الاسكندرية.",607213
جودة,توب كواليتى,"8 عمارات المنيب الشارع الرئيسى, الشقة 6, الدور 5, المنيب, الجيزة.",640683
جودة,تى سى اس ميديل ايست سيرتفيكشين,"118 ش جمال عبد الناصر, ميامى, الاسكندرية.",307770
جودة,تى كيو سى اس اى ايجيبت,"5 ش 162 متفرع من طريق مصر حلوان الزراعى, حدائق المعادى, المعادى, القاهرة.",563478
جودة,تى يو او,"ش 302 تقاطع ش 314 - تقسيم القضاة, سموحة, الاسكندرية.",506436
جودة,تى يو فى - هيئة الرقابة الفنية الالمانية,"1 ش طهران متفرع من ش مصدق, الدقى, الجيزة.",380030
جودة,تى يو فى رينلاند مصر,"19 بلوك س61 - الشطر العاشر - الدور 3 شقة 301, زهراء المعادى, المعادى, القاهرة.",54299
جودة,تى يو فى لمراقبة الجودة,"19 بلوك س61 - الشطر العاشر - الدور 3 شقة 301, زهراء المعادى, المعادى, القاهرة.",319054
جودة,تيم كواليتي,"ش عباس العقاد, حى السبع عمارات - المنطقة 11- برج اليسرا, مدينة السادات, المنوفية.",628140
جودة,جاما للتفتيش والاختبارات,"6 ش امين خيرت الغندور, ميامى, الاسكندرية.",182744
جودة,جلف تيك سيرتفيكيشن,"28 د ابراج سما - الدور الارضى الطريق الدائرى, المعادى الجديدة, المعادى, القاهرة.",668823
جودة,جلوبال سيرفاى,"4 ش صفوت منصور, كليوباترا, الاسكندرية.",621292
جودة,جى ال سى - جرمانشر لويد للشهادات,"11 ش حنين بن اسحاق, الحى السابع, مدينة نصر, القاهرة.",58457
جودة,حلول الجودة المتكاملة,"242 ش عبد السلام عارف - الدور 4 شقة 405, لوران, الاسكندرية.",184412
جودة,خبراء الجودة والتعليم,"26 عمارات اسكان المستقبل -, مدينة العبور, القليوبية.",326495
جودة,دى ان فى - ديت نورسك فريتاس,"380 أ ابراج الجوهرة -, كورنيش المعادى, المعادى, القاهرة.",429985
جودة,ديفكو جروب,"33 ش نجيب محفوظ, الحى الثامن, مدينة نصر, القاهرة.",135722
جودة,ديفكو جروب,"3 أ ش المعسكر الرومانى - الدور 3 شقة 6, رشدى, الاسكندرية.",20741
جودة,رويال سيرت,"40 ش عرفان - الدور 2, محرم بك, الاسكندرية.",403532
جودة,رويال سيرت الشرق الاوسط,"11 عمارات شباب المهندسين ش النصر, الشقة 4, مدينة نصر, القاهرة.",661192
جودة,رينا ايجيبت,"برج فلوريدا ش الشيخ على جاد الحق, الدور 4, مساكن شيراتون, مصر الجديدة, القاهرة.",21923
جودة,سنتريور انترناشونال,"62 ش نهرو, مصر الجديدة, القاهرة.",99305
جودة,سويس سيرت,"10 ابراج منتصر - كورنيش النيل, حدائق حلوان, القاهرة.",394934
