Category,Name,Address,ID
مهندسين,رتاج للعمارة والديكور والتشطيبات,"2 ابراج الشركة العالمية (ابراج عزيز ميخائيل), الدور 2, المحور المركزى, السادس من اكتوبر, الجيزة.",688342
مهندسين,ابو جد - مهندسون معماريون,"63 ش النبى دانيال, محطة الرمل, الاسكندرية.",34161
مهندسين,ابو غزالة للاستشارات الهندسية,"244 ب ش احسان عبد القدوس, الحى الرابع, التجمع الخامس, القاهرة الجديدة, القاهرة.",663083
مهندسين,اتحاد المهندسين الاستشاريين,"20 ش محمد سعيد باشا, ثروت, الاسكندرية.",637295
مهندسين,اتمو للهندسة المدنية والصناعية,"6 ش نجيب الريحانى, محطة الرمل, الاسكندرية.",32863
مهندسين,احمد عيد للاستشارات الهندسية,"239 ش سعد بن عبادة, الحى السابع, السادس من اكتوبر, الجيزة.",427358
مهندسين,احمد محمد عبده عبد المقصود,"- منية مجاهد, دكرنس, الدقهلية.",231681
مهندسين,ار ام اى,"10 ش عبده باشا, عباسية, القاهرة.",676049
مهندسين,ار اى اس جلوبال,"القطعة د - طريق الزهراء الرئيسى الشطر الاول, زهراء المعادى, المعادى, القاهرة.",561536
مهندسين,ار اى تو للطاقة المتجددة,"10 ش حسن منصور, مصر الجديدة, القاهرة.",672806
مهندسين,اربن ارت للهندسة والمقاولات,"9 ش رفاعة رافع متفرع من ش اباظة, المريلاند, مصر الجديدة, القاهرة.",603478
مهندسين,ارك جروب,"107 ش عبد السلام عارف, جليم, الاسكندرية.",144479
مهندسين,اريس ستار,"فيلا 249, قطاع ج - متفرع من ش التسعين, جنوب الاكاديمية, القاهرة الجديدة, القاهرة.",634735
مهندسين,اس سى اس,"4 ش العروبة, المريوطية, الهرم, الجيزة.",686287
مهندسين,استشارات البناء الحديث,"ش محمود النقراشى برج المكاوى - ارض المحلج, السنبلاوين, الدقهلية.",600605
مهندسين,اسكتش للاستشارات الهندسية,"ش السنترال, الاردنية, العاشر من رمضان, الشرقية.",620228
مهندسين,اسيك الهندسية,"91 ش 250, المعادى, القاهرة.",154388
مهندسين,اعمار المنسى,", قرية سجين الكوم, قطور, الغربية.",638384
مهندسين,اف ايه اس - فكرة للحلول المعمارية,"5 /7 ش لبيب شاكور, حدائق القبة, القاهرة.",431423
مهندسين,اكسيز للاستشارات الهندسية,"23 عمارات الشركة السعودية - ش النزهة - الدور 2 شقة 21, ارض الجولف, مصر الجديدة, القاهرة.",435881
مهندسين,الاستشاريون العالميون,"91 ش عمر لطفى, الابراهيمية, الاسكندرية.",41225
مهندسين,الاستشاريون المتضامنون,"11 ب/1 ش احمد كامل تقسيم اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",58952
مهندسين,الاسراء,"ش مؤسسة الزكاة, المرج, القاهرة.",331270
مهندسين,الاقصى للاستشارات الهندسية,"عمارات الضرائب ش خاتم المرسلين, الهرم, الجيزة.",673474
مهندسين,الاقصى للصناعات الهندسية,"المنطقة الصناعية الثالثة A6, العاشر من رمضان, الشرقية.",131864
مهندسين,البارون الهندسية,"6 ش عادل عبد القادر متفرع من ش الملكة, مدكور, فيصل, الجيزة.",140042
مهندسين,البحيرة للاستشارات الهندسية,"7 ابراج الجيش - ش الجيش - الدور 1, دمنهور, البحيرة.",603306
مهندسين,البسيونى للهندسة,"ش المركز, الحامول, كفر الشيخ.",348574
مهندسين,البطل للاستشارات الهندسية,"1101 عمارات الضباط - - الدور 1 شقة 4, زهراء مدينة نصر, مدينة نصر, القاهرة.",387498
مهندسين,البنيان مهندسون استشاريون,"4 ش احمد يحيى متفرع من ش وادى النيل, المهندسين, الجيزة.",124066
مهندسين,الجادو للخدمات الهندسية,"12 ش ابو العتاهية, امتداد ش عباس العقاد, الحى الثامن, مدينة نصر, القاهرة.",137514
مهندسين,الجوران للاستشارات الهندسية,"15 ش السباق, متفرع من ش الحجاز, روكسى, مصر الجديدة, القاهرة.",667054
مهندسين,الحمد استشاريون ومهندسون,"25 عمارات ميلسا -, ارض الجولف, مصر الجديدة, القاهرة.",501457
مهندسين,الخالدية,"ش الدلتا, طوخ, القليوبية.",316372
مهندسين,الدار للهندسة,"محلية 6 - محور السادات - الحى الاول, مدينة العبور, القليوبية.",522675
مهندسين,الدقة للاستشارات الهندسية - بى سى اي,"39 ش بابل, الدقى, الجيزة.",467254
مهندسين,الدولى للاستشارات الهندسية,"27 ش د. السبكى, الدقى, الجيزة.",596117
مهندسين,الرائد للخدمات الهندسية,", الاردنية, العاشر من رمضان, الشرقية.",619200
مهندسين,الرياض للاستشارات الهندسية,"36 ش طلعت حرب - الدور 4 شقة 30, وسط البلد, القاهرة.",613949
مهندسين,السيد سعد عبد الله,"ش صبرى ابو علم, السنبلاوين, الدقهلية.",351060
مهندسين,الشرق الاوسط للاستشارات الهندسية,"الاردنية, العاشر من رمضان, الشرقية.",619869
مهندسين,الشرق للتصميمات الهندسية,"ش مكة المكرمة المجاورة الاولى, الحى السابع, السادس من اكتوبر, الجيزة.",437484
مهندسين,الشركة المصرية الهندسية,"16 ابراج بدر، الطريق الدائرىمدينة زهور المعادى، الدور 3, القطامية, القاهرة.",623064
مهندسين,الشركة المصرية للتدريب الهندسى,"32 ش احمد عرابى تقاطع ش فؤاد, العطارين, الاسكندرية.",372465
مهندسين,الشركة المصرية للهندسة والتجارة,"33 ب ش رمسيس, وسط البلد, القاهرة.",160329
مهندسين,الشركة الهندسية للانشاء والتعمير,"26 ش الاطباء, المهندسين, الجيزة.",5169
مهندسين,العبور ديزاين سنتر,"محلية 6 - - الحى الاول, مدينة العبور, القليوبية.",525957
مهندسين,العمار للتصميمات الهندسية والمقاولات العامة,"عمارة 23ك - الدور 2 شقة 10, حدائق الاهرام, الهرم, الجيزة.",611669
مهندسين,العمار للهندسة والتجارة,"2 ش محمود احمد المليجى, ميدان الحجاز, مصر الجديدة, القاهرة.",171603
مهندسين,العمارة العربية,"2 ش اسماعيل فهمى, الدور 2, الماظة, مصر الجديدة, القاهرة.",685844
مهندسين,الفا للهندسة,"28 ش قمبيز متفرع من ش مصدق, الدقى, الجيزة.",5664
مهندسين,الفتح للاستشارات الهندسية,"الاردنية - مركز المدينة, العاشر من رمضان, الشرقية.",619717
مهندسين,الفتح للاعمال الهندسية,"7 أ ش احمد الفيومى تقاطع ش فيصل, فيصل, الجيزة.",575664
مهندسين,الفتح للتصميمات الهندسية,"368 ش عبد السلام عارف, فيكتوريا, الاسكندرية.",221027
مهندسين,القادة للانشاءات المعدنية,"16 ش 105, كورنيش المعادى, المعادى, القاهرة.",624543
مهندسين,الكرمة للخدمات الهندسية,"ش البحر, قرية مشطا, طما, سوهاج.",679867
مهندسين,المجموعة الاستشارية للعمارة والتخطيط,"3 ش عرابى وابو الفدا, الجمهورية, بور سعيد.",21427
مهندسين,المجموعة الاستشارية للهندسة,"15 حارة على الكسار, وسط البلد, القاهرة.",388167
مهندسين,المجموعة العامة للحلول الهندسية,"24 عمارات الشرارة - ش حسن المأمون, مدينة نصر, القاهرة.",416472
مهندسين,المجموعة المصرية للعمارة,"بلوك 6 - عمارات شركة مدينة نصر - عمارة 4 - - حى الواحة, مدينة نصر, القاهرة.",540733
مهندسين,المركز الدولى للدراسات والتدريب - ايكوسات,"23, المحور المركزى, الحى الرابع, السادس من اكتوبر, الجيزة.",683356
مهندسين,المركز الفنى للتوريدات وصيانة المرافق,"33 ش بورسعيد متفرع من ش ابو الهول السياحى, الهرم, الجيزة.",142328
مهندسين,المروة,"ش مجلس المدينة, ايتاى البارود, البحيرة.",370807
مهندسين,المستشار الهندسي,", المعادى, القاهرة.",613569
مهندسين,المستقبل,"21 ش 15 مايو, شبرا الخيمة, القليوبية.",415198
مهندسين,المكتب الاستشارى المصرى,"29 ش محمود عطية، متفرع من ش ابن الحكم الدور 1, حلمية الزيتون, القاهرة.",623996
مهندسين,المكتب الاستشارى الهندسى,"18 ش الشيخ محمود شلتوت, الدور 3, امتداد ش الطيران, مدينة نصر, القاهرة.",470609
مهندسين,المكتب الاستشارى الهندسى,"الحى الثامن, مدينة نصر, القاهرة.",117427
مهندسين,المكتب الاستشارى الهندسى,"2 ش بك بولكلى, بولكلى, الاسكندرية.",20940
مهندسين,المكتب الاستشارى الهندسى,"73 /2 ش حسب الله الكفراوى المجاورة الثانية - الحى الثانى - الدور 3, دمياط الجديدة, دمياط.",528472
مهندسين,المكتب العربى للتصميمات والاستشارات الهندسية,"امتداد ش رمسيس , عباسية, القاهرة.",16716
مهندسين,المكتب الهندسى,"ش الزراعيين متفرع من ش ليبيا, تقسيم 2, كفر الشيخ.",346302
مهندسين,المكتب الهندسى,"., الحى السابع, السادس من اكتوبر, الجيزة.",439752
مهندسين,المكتب الهندسى (سيفكو),"ش النبى دانيال, محطة الرمل, الاسكندرية.",31364
مهندسين,المكتب الهندسى للبترول,"34 عمارة المقاولون - ش عدلى, وسط البلد, القاهرة.",117927
مهندسين,المهندس عبد الاله المهنا للاستشارات الهندسية,"93 ش عبد العزيز ال سعود, المنيل, القاهرة.",427924
مهندسين,المهندس للهندسة,"20 ش سامى حسن, فيصل, الجيزة.",644485
مهندسين,المهندسون الاستشاريون المصريون,"71 ب طريق سقارة, المريوطية, الهرم, الجيزة.",7517
مهندسين,النمر,"3 ش نادى البلاستيك, شبرا الخيمة, القليوبية.",412158
مهندسين,النيل الهندسى للاستشارات,"برج الايمان - ابراج سيدى جابر - ش توت عنخ امون, سموحة, الاسكندرية.",142449
مهندسين,الهندسية للرسومات التنفيذية,"ش الطائف, الحى السابع, السادس من اكتوبر, الجيزة.",261173
مهندسين,الهندسية للنظم التكنولوجية المتطورة,"11 ش حسب النبى, فيصل, الجيزة.",123511
مهندسين,الوحش للتصميمات الهندسية,"عمارات المروة - - الاردنية, العاشر من رمضان, الشرقية.",211140
مهندسين,اليكسلوشن للاستشارات الهندسية,"وحدة 10, الاردنية, العاشر من رمضان, الشرقية.",636856
مهندسين,ام تى كى للهندسة,"76 ش عبد الله جاد الحق, مدينة نصر, القاهرة.",683981
مهندسين,ام سى جى - مسعود كونسلتينج جروب,"50 ميدان عمان, الدقى, الجيزة.",482929
مهندسين,انترماس,"13 ش محمود بسيونى, وسط البلد, القاهرة.",144967
مهندسين,انجرا - مصر,"1 ش الجزيرة الوسطى, الزمالك, القاهرة.",45646
مهندسين,انفرا جروب,"7 ش السعادة - الدور 8 شقة 81, روكسى, مصر الجديدة, القاهرة.",464807
مهندسين,انفينتى للمقاولات العامة,"23 ش ابو الوفا, دمياط, دمياط.",505779
مهندسين,اوبتمم للهندسة والتجارة,"6 /5ج ش اللاسلكى, المعادى الجديدة, المعادى, القاهرة.",136623
مهندسين,اوبتيم واى,"20 ش محمد رفعت, موازي شارع طه حسين, النزهة, مصر الجديدة, القاهرة.",685673
مهندسين,اوبتيما,"3 ش حسن صادق متفرع من ش الميرغنى - الدور 5 شقة 505, مصر الجديدة, القاهرة.",391025
مهندسين,اوبتيموم للحلول الهندسية,"ش عباس العقاد, مدينة السادات, المنوفية.",694020
مهندسين,اور ايرا اسوسياشن,"ش سعد زغلول, منيا القمح, الشرقية.",485061
مهندسين,اوس للهندسة,"5 ش 301, المعادى الجديدة, المعادى, القاهرة.",225541
مهندسين,اولسن لافواه,"4 ش عبد الحكيم الرفاعى, الحى الثامن, مدينة نصر, القاهرة.",139989
مهندسين,اوميجا للتوريدات والاستشارات الهندسية,"14 ش الغنام, المنطقة الثامنة, مدينة نصر, القاهرة.",443398
مهندسين,اى بروكس,"5 ش الخليفة المطيعى, متفرع من ش الطيران, مدينة نصر, القاهرة.",691415
مهندسين,ايبك,"ش صلاح الدين الايوبى, الزقازيق, الشرقية.",326263
مهندسين,ايجما - المجموعة الهندسية المصرية للاستشارات,"18 ش خالد بن الوليد, مساكن شيراتون, مصر الجديدة, القاهرة.",102242
مهندسين,ايدجس,"فيلا 5, المجاورة الخامسة, التجمع الاول, القاهرة الجديدة, القاهرة.",692936
مهندسين,ايديال جروب,"3 ش شاهين, العجوزة, الجيزة.",131071
مهندسين,ايكاد - ايـمـيك للاستشارات والتصميمات الهندسية,"5 ش الشريف متفرع من ش ابو النور, روكسى, مصر الجديدة, القاهرة.",475873
مهندسين,ايلاف للخدمات الهندسية,"ش النحاس, طنطا, الغربية.",688262
مهندسين,ايلاف للهندسة,"ش النحاس, طنطا, الغربية.",693530
مهندسين,ايه اس جى,"178, البنفسج 3, التجمع الاول, القاهرة الجديدة, القاهرة.",685638
