Category,Name,Address,ID
ماكولات البحر المتوسط,اكلى,"34 ش طيبة تقاطع ش مكة, الدقى, الجيزة.",530768
ماكولات البحر المتوسط,ال دينتى,"طريق السلام, خليج نعمة, شرم الشيخ.",105493
ماكولات البحر المتوسط,الدبكة,"1 ش الشهيد سيد زكريا متفرع من طريق العروبة, مساكن شيراتون, مصر الجديدة, القاهرة.",45234
ماكولات البحر المتوسط,السرايا,"ش ابطال التحرير, وسط البلد, اسوان.",445287
ماكولات البحر المتوسط,القرية النوبية,"كورنيش النيل - جزيرة الروضة, جاردن سيتى, القاهرة.",64595
ماكولات البحر المتوسط,المار,"كم 42 - طريق نويبع طابا, مرتفعات طابا, طابا.",144297
ماكولات البحر المتوسط,اوليفز,"13 ش الكرنك الجديد, الاقصر, الاقصر.",175924
ماكولات البحر المتوسط,اوليفوس,"طريق القصير سفاجا, وسط البلد, القصير.",143064
ماكولات البحر المتوسط,اونيون رينجز,"33 أ كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",506083
ماكولات البحر المتوسط,بار سوشى,"65 ش عبد الحميد بدوى, مصر الجديدة, القاهرة.",121973
ماكولات البحر المتوسط,باستا اى باستا,"كم 19 - طريق القصير مرسى علم, جنوب قصير, القصير.",478266
ماكولات البحر المتوسط,بلو بلو,"., شاركس باى, شرم الشيخ.",413306
ماكولات البحر المتوسط,بيبرز,"48 ش الحرية متفرع من ش النزهة, الماظة, مصر الجديدة, القاهرة.",485526
ماكولات البحر المتوسط,بيبلوس,"طريق السلام - الغرقانة, خليج نبق, شرم الشيخ.",459718
ماكولات البحر المتوسط,بيتش ريستوران,"طريق السلام, خليج نعمة, شرم الشيخ.",246107
ماكولات البحر المتوسط,تيرا ايه مارى,"ميناء اسوان, الكورنيش, اسوان.",545992
ماكولات البحر المتوسط,دليلة,"كم 30 - طريق سفاجا الغردقة, مكادى باى, الغردقة.",204408
ماكولات البحر المتوسط,دوبيو زيرو,"كم 6 -, طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",505436
ماكولات البحر المتوسط,ذا ميد,"ش الهرم ميدان الرماية, الهرم, الجيزة.",66970
ماكولات البحر المتوسط,ريف جريل,"1 طريق فور سيزونز بوليفارد, شاركس باى, شرم الشيخ.",105915
ماكولات البحر المتوسط,زيجولينى,"الممشى السياحى, خليج نعمة, شرم الشيخ.",61389
ماكولات البحر المتوسط,ساتشى ريستوران,"3 ش كليوباترا, الكوربة, مصر الجديدة, القاهرة.",445773
