Category,Name,Address,ID
اعشاب طبية,اركو تريد,"4 عمارة انور وجدى - ش محمد مظلوم - الدور 4, باب اللوق, القاهرة.",8733
اعشاب طبية,ارو هيد هربس للاستيراد والتصدير,"46 ش بورسعيد, ابشواى, الفيوم.",560344
اعشاب طبية,اروما فارما,"ش خاتم المرسلين, ابراج بنك مصر - برج أ, العمرانية الغربية, الهرم, الجيزة.",612066
اعشاب طبية,اعشابنا الطبيعية,"55 ش الحرية, المطرية, القاهرة.",136176
اعشاب طبية,اكاسيا هيربال هاوس,"13 ش الحكمة, متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",463713
اعشاب طبية,الاتحاد للاعشاب,"ش التحرير, درب الجامع, ابشواى, الفيوم.",636450
اعشاب طبية,الاهرام الدولية للتجارة,"5 ش احمد ماهر, مساكن شيراتون, مصر الجديدة, القاهرة.",175242
اعشاب طبية,الجابرى للاعشاب الطبيعية,"58 ش ترعة الزمر - عمارة الضرائب, العمرانية الشرقية, الهرم, الجيزة.",19501
اعشاب طبية,الداليا للاستيراد والتصدير,"21 عمارات رابعة الاستثمارى - - الدور 7 شقة 73, مدينة نصر, القاهرة.",289243
اعشاب طبية,الزهرانى للاستيراد والتصدير,"قرية ابو دنقاش, ابشواى, الفيوم.",612042
اعشاب طبية,الشركة المصرية لمستحضرات التجميل,"66 ميدان فيصل - مدينة فيصل - الدور 9 شقة 1, سيدى بشر, الاسكندرية.",352314
اعشاب طبية,الشركه الوطنية المتحدة للاعشاب,"القطعة 24, المنطقة الصناعية الاولى, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",638499
اعشاب طبية,الصفا,"8 ش مصطفى كامل, مصطفى كامل, الاسكندرية.",473422
اعشاب طبية,الطب البديل,"41 ش المعسكر الرومانى, رشدى, الاسكندرية.",475451
اعشاب طبية,العنانى للاعشاب الطبية والعطارة الحديثة,"الطريق الدولى - الشيخ زويد, العريش, شمال سيناء.",134054
اعشاب طبية,الغذاء الصحى,"1 ش سوريا, رشدى, الاسكندرية.",212099
اعشاب طبية,المركز المصرى الدولى للتصدير,"135 ح, حدائق الاهرام, الهرم, الجيزة.",465437
اعشاب طبية,المركز المصرى للاعشاب الطبيعية,"238 ش السودان, المهندسين, الجيزة.",590118
اعشاب طبية,المكتب الدولى للتجارة والتصدير,"7 ش الفلكى, محطة الرمل, الاسكندرية.",32156
اعشاب طبية,المنار للاستيراد والتصدير,"ش الموقف, سمسطا, بنى سويف.",555306
اعشاب طبية,ام جروب للتجارة والتسويق,"31 ب ش شامبليون, وسط البلد, القاهرة.",100270
اعشاب طبية,اوتومان للتجارة والتصنيع,"499 ش بورسعيد, باب الشعرية, القاهرة.",64038
اعشاب طبية,ايبافكو,"المنطقة الصناعية الثانية, الصالحية الجديدة, الشرقية.",533783
اعشاب طبية,ايجى جروب,"7 برج الرحاب - ابراج السعد - ش المريوطية, الهرم, الجيزة.",251553
اعشاب طبية,ايورفيدا,"42 ش احمد فخرى, مدينة نصر, القاهرة.",409641
اعشاب طبية,بنتا كاش فلو,"منطقة الموظفين, الدهار, الغردقة.",402847
اعشاب طبية,جنة المورنجا,"116 - المنطقة التاسعة, مدينة السادات, المنوفية.",423514
اعشاب طبية,حامل المسك,"ش عاشور خضير - عزبة كوم بكار, فيصل, الجيزة.",380737
اعشاب طبية,حراز,"141 ش 9, المعادى, القاهرة.",605950
اعشاب طبية,حراز للصناعات الغذائية والمنتجات الطبيعية,"1 ش احمد ماهر, ميدان باب الخلق, باب الخلق, القاهرة.",63313
اعشاب طبية,دلتا سبايس لاند,"القطعة 74، 65 ش 48, تقاطع ش 21, المنطقة الصناعية الثانية, المنطقة الصناعية, السادس من اكتوبر, الجيزة.",199820
اعشاب طبية,دلمار للاعشاب والمستحضرات الطبية,"3 ش سينما سعودى - الدور 2, طوخ, القليوبية.",569153
اعشاب طبية,دندشة للاعشاب الطبية,"13 ش مسجد ابو الخير, فيصل, الجيزة.",243219
اعشاب طبية,رويال هيربس,"القطعة 64 - - المنطقة الصناعية, بياض العرب, بنى سويف.",468350
اعشاب طبية,زارع الخير,"9 ش الامام عمر, عين شمس الشرقية, القاهرة.",323581
اعشاب طبية,سبايس كينجدم للاعشاب الطبية,"بلوك 13013 - ش 34, مدينة العبور, القليوبية.",454238
اعشاب طبية,ستارز لتصدير الاعشاب الطبية والبذور,"عمارة عبد الحكيم محمد - - قرية بدهل, سمسطا, بنى سويف.",433514
اعشاب طبية,سعيد حساسين لتجارة الاعشاب الطبية,"المحور المركزى, الحى الثانى, السادس من اكتوبر, الجيزة.",401307
اعشاب طبية,سمارج هيربس,", قرية بنى مؤمنة, ببا, بنى سويف.",670427
اعشاب طبية,سينا مورينجا,"قرية الوادى, الطور, جنوب سيناء.",502402
اعشاب طبية,شركة ام رو بايو للتنمية الزراعية والصناعية,", الدور 3, محور الخدمات المركزى, مدينة السادات, المنوفية.",409681
اعشاب طبية,شركة فايتوميد للاعشاب الطبيعية والمواد الغذائية - فايتو - د. محمد موسى,"4 ش الشهيد متولى الهنداوى, متفرع من ش عبد السلام عارف, الاتوبيس الجديد, المنصورة, الدقهلية.",399736
اعشاب طبية,عبد الحميد سيد ابو طالب,"28 ش سعد زغلول, محطة الرمل, الاسكندرية.",29939
اعشاب طبية,عطارة الرحاب,"77 ش الرشاح, كفر عبيان, ابو زعبل, القليوبية.",517716
اعشاب طبية,عطارة اولاد الديب,"8, امتداد ش 10, زهراء عين شمس, عين شمس, القاهرة.",649863
اعشاب طبية,فاميلى فارماسيا,"78 عمارات رابعة الاستثمارى - - الدور 3 شقة 31, مدينة نصر, القاهرة.",287785
اعشاب طبية,كريت للتجارة الدولية,"8 ش احمد عسل متفرع من ش حسنى متولى - اريزونا, الهرم, الجيزة.",474902
اعشاب طبية,كنوز الطبيعة,", المجاورة 28, الحى الخامس, دمياط الجديدة, دمياط.",638477
اعشاب طبية,كينجدوم للاستيراد والتصدير,"برج الزهور - ش المسلة - الدور 1 شقة 1, دلة, الفيوم.",267690
اعشاب طبية,لاتوش للاعشاب الطبيعية,"36 ش جمال عبد الناصر - الدور 2, فيكتوريا, الاسكندرية.",404291
اعشاب طبية,محلات حراز,"ش محمد حسنى, حدائق حلوان, القاهرة.",382290
اعشاب طبية,محمد الجندى,"1 ش الجهاد, الزاوية الحمراء, القاهرة.",410198
اعشاب طبية,مركز الشفاء للعلاج التكميلى,"50 ش الكرمانى، متفرع من ش بوالينو, محرم بك, الاسكندرية.",627673
اعشاب طبية,مركز عباد الرحمن للاعشاب والنباتات الطبية,"ميدان كوبرى العبور, الزقازيق, الشرقية.",121118
اعشاب طبية,مصنع سويفيل نيوترانت انترناشيونال,"القطعة 66, المنطقة الصناعية 250 فدان, مدينة بدر, القاهرة.",686356
اعشاب طبية,نقاء الاعشاب,"1 ش خلف الثورة, شبرا الخيمة, القليوبية.",475884
اعشاب طبية,هيلثى لايف شوب,"34 ش سلامه عمار, متفرع من ش عين شمس, عين شمس, القاهرة.",673247
