Category,Name,Address,ID
معدات مغسلة ملابس,الايمان والاخوة لتجهيز المغاسل,"28 ش الوفا, المعتمدية, بولاق الدكرور, الجيزة.",276033
معدات مغسلة ملابس,البشير لمستلزمات المغاسل,"20 ش 6 اكتوبر, الزاوية الحمراء, القاهرة.",568962
معدات مغسلة ملابس,التوحيد لمستلزمات المغاسل,"47 ش نجيب الريحانى, وسط البلد, القاهرة.",627141
معدات مغسلة ملابس,الهندسية لمعدات المغاسل,"4 أ ش عبد المحسن الوسيمى, الالف مسكن, مصر الجديدة, القاهرة.",16215
معدات مغسلة ملابس,تاج الدول لمستلزمات المغاسل,"11 ش مدرسة النجاح, وراق العرب, الوراق, الجيزة.",595479
معدات مغسلة ملابس,جوبيتر لمعدات المغاسل و الغلايات,"ش مجمع البنوك, قطاع 1, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",3486
معدات مغسلة ملابس,دلتا لتجارة معدات المغاسل,"12 ش عبد الله ابو السعود, تريومف, مصر الجديدة, القاهرة.",58781
معدات مغسلة ملابس,ريشة لمستلزمات المغاسل,"25 ش عشرة, وراق العرب, الوراق, الجيزة.",593915
معدات مغسلة ملابس,فرست لتجهيزات المطابخ والمغاسل الفندقية,"66 ش امتداد رمسيس 2 , الشقة 1, مدينة نصر, القاهرة.",231934
معدات مغسلة ملابس,مغاسل كليوباترا,"ش محمد نصار, جسر السويس, القاهرة.",56813
معدات مغسلة ملابس,مغاسل كليوباترا كلين,"61 ش الحسين, المهندسين, الجيزة.",461558
