Category,Name,Address,ID
خدمة التوصيل,10 مينتس لخدمات الشحن والتوصيل,"ش الاصلاح الزراعى, المسلة, الفيوم.",669559
خدمة التوصيل,احمد عمران للخضروات والفاكهه,"126 عمارات التوفيق ش الطيران, مدينة نصر, القاهرة.",676083
خدمة التوصيل,اسماء كلين,"19 ش محمد كريم, مدينة نصر, القاهرة.",680202
خدمة التوصيل,اسواق ابو دياب,"240 ح, حدائق الاهرام, الهرم, الجيزة.",660808
خدمة التوصيل,اكازا,", اونلاين ستور, حدائق حلوان, القاهرة.",667136
خدمة التوصيل,الاسلامية للدواجن,"13 ش مكة, ش شمال سيناء 1, زهراء المعادى, المعادى, القاهرة.",678925
خدمة التوصيل,البان الاصدقاء,"18 الاسكان الحدائقى, محل رقم 4, الشيخ زايد, السادس من اكتوبر, الجيزة.",652654
خدمة التوصيل,البان الحلبى,"23 ش حمودة, حدائق حلوان, القاهرة.",379646
خدمة التوصيل,البان العامر,"6 ش الامام بن حنبل, الحى السابع, مدينة نصر, القاهرة.",672610
خدمة التوصيل,الريف,"ش المعهد الاشتراكى, المريلاند, مصر الجديدة, القاهرة.",654342
خدمة التوصيل,الصفا كلين,"41 ش ابو الفوارس, الحى السابع, مدينة نصر, القاهرة.",672592
خدمة التوصيل,العطارة السورية,"31 ش الفريق محمد ابراهيم, مدينة نصر, القاهرة.",454490
خدمة التوصيل,العمدة سموكينج شوب,"13 عمارات صقر قريش ش الحسن, مساكن شيراتون, مصر الجديدة, القاهرة.",680014
خدمة التوصيل,الغرباوى للبلاستيك,"1 ش حسنى محمود, متفرع من ش عبد الحميد مكى, حدائق المعادى, المعادى, القاهرة.",410994
خدمة التوصيل,الكريكى للتوريدات المكتبيه,"428 ش الشهداء, المجاوره التانية, الحى الاول, السادس من اكتوبر, الجيزة.",694702
خدمة التوصيل,المارد,"ش سعد زغلول, حى الشرق, بور سعيد.",687357
خدمة التوصيل,اولاد الحاج رجب للخضراوات والفواكه,"ش احمد بن حنبل, متفرع من ش الطيران, سوق 16, الحى السابع, مدينة نصر, القاهرة.",672547
خدمة التوصيل,اولاد الحاج رجب للخضروات والفاكهة,"68 ش محمد مقلد, الحى الثامن, مدينة نصر, القاهرة.",677532
خدمة التوصيل,اولاد جمال ماركت,"14 ش العزيز بالله, الزيتون, القاهرة.",661961
خدمة التوصيل,ايس لاند,"199 ب ش العشرين, متفرع من ش جاردنيا, حدائق الاهرام, الهرم, الجيزة.",675163
خدمة التوصيل,بسرعة البرق,", اعمال حرة, حى الاربعين, السويس.",669486
خدمة التوصيل,بلاك هورس ان,"ش المشير احمد اسماعيل, ميدان القومية, الزقازيق, الشرقية.",686290
خدمة التوصيل,بلدينا,"22 عمارات التعاونيات ش افريقيا, الحى الثامن, مدينة نصر, القاهرة.",190612
خدمة التوصيل,بن الشامى,"119 ش النزهة, تريومف, مصر الجديدة, القاهرة.",489997
خدمة التوصيل,بن الغنيمى,"9, الشطر 13, برج الندا, زهراء المعادى, المعادى, القاهرة.",618797
خدمة التوصيل,بيت العطارة الهندية,"30 ش الزعيم غاندى, عرب جسر السويس, عين شمس الشرقية, القاهرة.",274507
خدمة التوصيل,بيت اللحم,"110 ش عمار بن ياسر, مصر الجديدة, القاهرة.",680420
خدمة التوصيل,تبارك,"15 عمارات بنك الاسكان والتعمير ش حسن المأمون, الحى الثامن, مدينة نصر, القاهرة.",674763
خدمة التوصيل,تيستلى,", ., وسط البلد, القاهرة.",677519
خدمة التوصيل,تيماز ديلايتس,", ., وسط البلد, القاهرة.",674519
خدمة التوصيل,جزارة التيسير,"6 ش محمد كريم, مدينة نصر, القاهرة.",680267
خدمة التوصيل,جزارة النصر,"21 ش دمنهور, مصر الجديدة, القاهرة.",680520
خدمة التوصيل,جزارة النور السورية,"4 ش محمد مقلد, الحى الثامن, مدينة نصر, القاهرة.",677482
خدمة التوصيل,جزارة عباد الرحمن,"15 ش الدندراوى, حدائق المعادى, المعادى, القاهرة.",676198
خدمة التوصيل,حراز للصناعات الغذائية والمنتجات الطبيعية,"1 ش احمد ماهر, ميدان باب الخلق, باب الخلق, القاهرة.",63313
خدمة التوصيل,خضراوات وفواكة عباد الرحمن,"19 ش الدندراوى, متفرع من ش 9, حدائق المعادى, المعادى, القاهرة.",676496
خدمة التوصيل,خضروات ابناء سوهاج,"123 عمارات التوفيق, مدينة نصر, القاهرة.",678225
خدمة التوصيل,خضروات الحرمين,"121 عمارات التوفيق, بجوار مطعم الشبراوى, مدينة نصر, القاهرة.",678190
خدمة التوصيل,خضروات وفواكه الشريف,"58 عمارات التوفيق ش المدينة الجديدة, مدينة نصر, القاهرة.",676073
خدمة التوصيل,دايزى فلاور,"ش التسعين الجنوبى, القاهرة الجديدة, القاهرة.",668966
