Category,Name,Address,ID
عيادات تجميل,عيادات تشينج مى,"76 ش الثورة, الدور 8, ارض الجولف, مصر الجديدة, القاهرة.",568763
عيادات تجميل,مركز تجميل جلو,"30 ش سوريا, الدور 1, رشدى, الاسكندرية.",457420
عيادات تجميل,عيادات حور,"20 شارع على امين, امتداد مصطفى النحاس, مدينة نصر, القاهرة.",519389
عيادات تجميل,دكتور عادل حسني للتجميل,"ميديكال بارك بريميير - عيادة 239, الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",352739
عيادات تجميل,د. احمد عبد العزيز تعلب,", محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",463173
عيادات تجميل,د. زكية غورست جورجى,"28 ش محمد تيمور, الشقة 1, سانت فاتيما, ميدان الحجاز, مصر الجديدة, القاهرة.",183197
عيادات تجميل,عيادات الامل,"6 ش 288 متفرع من ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",599818
عيادات تجميل,مركز اسكندرية لزراعة الشعر وشفط الدهون,"39 ش عمر لطفى, كامب شيزار, الاسكندرية.",606357
عيادات تجميل,اب كلينيك,"., مدينة الرحاب, القاهرة.",535892
عيادات تجميل,اجابى كلينيك,"., الدهار, الغردقة.",152864
عيادات تجميل,اسكنتولوجى ميديكال سبا,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",508583
عيادات تجميل,اشلى كلينك,"21 ش الخمسين, الشطر 13, زهراء المعادى, المعادى, القاهرة.",639685
عيادات تجميل,اكاديمية بريميير للتجميل,"6 ش 26 يوليو, ميدان لبنان, المهندسين, الجيزة.",399253
عيادات تجميل,اكستريم ميديكال,"55 ش سعد زغلول, ميامى الجديدة, الاسكندرية.",665367
عيادات تجميل,السعد للتجارة والتوزيع,"4 ش عبد العظيم, متفرع من ش الجيش, العياط, الجيزة.",275180
عيادات تجميل,الطاهر لجراحات التجميل والجلدية,"54 ش ابو بكر الصديق, ميدان سفير, مصر الجديدة, القاهرة.",162706
عيادات تجميل,المركز الامريكى للتجميل,"ش ابو بكر الصديق - الاردنية – مركز المدينة, العاشر من رمضان, الشرقية.",590535
