Category,Name,Address,ID
مراكز اصلاح السيارات,شركة هاى تك لخدمة وسائل النقل,"القطعة 73, امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",454001
مراكز اصلاح السيارات,شركة مصر للمحركات,"212 ش السودان, ميدان لبنان, المهندسين, الجيزة.",4609
مراكز اصلاح السيارات,مركز الوطنية لخدمة وصيانة السيارات,", البر القبلى, المنشية الجديدة, الاسكندرية.",672983
مراكز اصلاح السيارات,مستر انس للاطارات والبطاريات,"القطعة 7206, الهضبة الوسطى, المقطم, القاهرة.",693903
مراكز اصلاح السيارات,الشركة الهندسية المصرية لخدمات السيارات - ثرى اس,"الطريق الدائرى, امتداد كارفور, وسط البلد, الاسكندرية.",398103
مراكز اصلاح السيارات,شركة اليسر لصناعة هياكل السيارات,"الكيلو 27 طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",634654
مراكز اصلاح السيارات,بروتكشن تيم,"12 ش على باشا ذو الفقار, متفرع من ش خليل الخياط, كفر عبده, الاسكندرية.",625957
مراكز اصلاح السيارات,الفلتر ملكو,"121 ش رمسيس, وسط البلد, القاهرة.",51083
مراكز اصلاح السيارات,احمد السلامونى لاستيراد قطع غيار السيارات,"26 ش دولتيان, ميدان الخلفاوى, برج اللؤلؤة, اغاخان, القاهرة.",63310
مراكز اصلاح السيارات,البسيونى للمعدات,"74 ش عبد المنعم رياض ميدان الفالوجة, العجوزة, الجيزة.",6642
مراكز اصلاح السيارات,السيد شحاتة واولاده للاستيراد وتجارة اطارات الكاوتش والبطاريات والجنوط,"14 ش البراد, متفرع من ش احمد سعيد, عباسية, القاهرة.",397361
مراكز اصلاح السيارات,الشرق الاوسط للخدمات الفنية - ميتسكو,"2 عمارات العبور - طريق صلاح سالم, مصر الجديدة, القاهرة.",8921
مراكز اصلاح السيارات,الشركة المتحدة للمعدات,"10 ش د. احمد ندا, ميدان الحجاز, مصر الجديدة, القاهرة.",45514
مراكز اصلاح السيارات,اوتو راب,", المحور المركزى, عمارة 296, الحى السابع, السادس من اكتوبر, الجيزة.",528771
مراكز اصلاح السيارات,راضى الدولية لمعدات مراكز صيانة السيارات,"8 ش عمر بن عبد العزيز, متفرع من ش شهاب, المهندسين, الجيزة.",18353
مراكز اصلاح السيارات,فابريكا كار كير,"23 ش مصدق, الدقى, الجيزة.",594279
مراكز اصلاح السيارات,نور اوتو,"المحور المركزى -ميدان فودافون, السادس من اكتوبر, الجيزة.",611538
مراكز اصلاح السيارات,360,"سور نادى الزمالك - ش 26 يوليو, المهندسين, الجيزة.",527086
مراكز اصلاح السيارات,360 اوتو كير,"طريق الواحات, الحى الثانى, السادس من اكتوبر, الجيزة.",636794
مراكز اصلاح السيارات,5 نجوم,"ش شركات البترول - بلوك 10 - مساكن الزاوية الحمرا القديمة, الزاوية الحمراء, القاهرة.",567166
مراكز اصلاح السيارات,7 سليندرز,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",595451
مراكز اصلاح السيارات,ابداع لصيانة السيارات,"بلوك 2 ش الورش, عمارات صقر قريش - عمارة 1, الحى العاشر, مدينة نصر, القاهرة.",669491
