Category,Name,Address,ID
ابادة حشرات ومبيدات حشرية,الرحاب للخدمات البيئية والنظافة,"1 عمارات برايت ستار الطريق الدائرى ش صلاح الدين الايوبى, الشقة 33, الدور 3, المقطم, القاهرة.",650203
ابادة حشرات ومبيدات حشرية,المركز القومى للبحوث لابادة الحشرات والقوارض,"ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",694133
ابادة حشرات ومبيدات حشرية,فالكون انترناشيونال,"8 ش احمد الزمر, الدور 6, الحى السابع, الحى السابع, مدينة نصر, القاهرة.",573956
ابادة حشرات ومبيدات حشرية,سنايبر لمكافحة الحشرات,"27 ش 26 يوليو, ميدان لبنان, المهندسين, الجيزة.",340692
ابادة حشرات ومبيدات حشرية,فى اى بى الالمانية لنظم مكافحة الافات وناقلات الامراض,"ش الفاروق, متفرع من ش مدرسة الاورمان, المرج الجديدة, القاهرة.",633912
ابادة حشرات ومبيدات حشرية,شركة الشروق سيرفيس,"5014 ش 17, المقطم, القاهرة.",333744
ابادة حشرات ومبيدات حشرية,مجموعة الحارثى الدولية,"162 ش شبرا, شبرا, القاهرة.",160170
ابادة حشرات ومبيدات حشرية,الشركة الزراعية للمبيدات الحديثة,"القطعة 152 طريق الكلية الجوية, متفرع من ميدان الطيارة, بلبيس, الشرقية.",185828
ابادة حشرات ومبيدات حشرية,بيست فايتنج للحلول البيئية,"107 ش شبرا, شبرا, القاهرة.",691826
ابادة حشرات ومبيدات حشرية,شركة راتكو لمكافحة الافات والاستيراد والتصدير,"4 ش الجمهورية, المنصورة, الدقهلية.",52535
ابادة حشرات ومبيدات حشرية,الشركة المصرية لمكافحة الافات والتوريدات والتصدير - ايكوبك,"بلوك 28 - عمارة 9 ش اسماعيل وهبى, الشقة 403, الدور 4, المنطقة التاسعة, الحى العاشر, مدينة نصر, القاهرة.",396227
ابادة حشرات ومبيدات حشرية,الشركة الاسبانية للاسمدة والمبيدات الطبيعية - اورجانيك,"3 ش مسجد سلوع - الغفارية, مشتول السوق, الشرقية.",416707
ابادة حشرات ومبيدات حشرية,ايجيبت ليميتد انترناشونال سيرفيس,"المحور المركزى, السادس من اكتوبر, الجيزة.",438324
ابادة حشرات ومبيدات حشرية,ايليت للخدمات البيئية,"95 ابراج الامل طريق الاوتوستراد, الشقة 36, الدور 3, المعادى, القاهرة.",403545
ابادة حشرات ومبيدات حشرية,اينو للخدمات المتكاملة للمنزل والعمل,"9042 - المعراج السفلى, المعادى, القاهرة.",321576
ابادة حشرات ومبيدات حشرية,شركة الفتح للاستيراد والتوزيع,"برج اعمار الدلتا - الطريق الزراعى تقاطع ش كلية الزراعة - الدور 3, طنطا, الغربية.",609215
ابادة حشرات ومبيدات حشرية,6 اكتوبر للكيماويات والبلاستيك,"56 ش السبتيه, السبتية, القاهرة.",79078
ابادة حشرات ومبيدات حشرية,ابتكس لمكافحة الحشرات,"18 ش جامعة الدول العربية, المهندسين, الجيزة.",304258
ابادة حشرات ومبيدات حشرية,ابو رجب,"., دكرنس, الدقهلية.",370026
ابادة حشرات ومبيدات حشرية,ابو سلامة,"ش السكة الجديدة, اجا, الدقهلية.",350325
ابادة حشرات ومبيدات حشرية,ابو شريف للمبيدات,"17 ش دنشواى - الحى الغربى, شبين الكوم, المنوفية.",546875
ابادة حشرات ومبيدات حشرية,ابو عاصى,"ش الثورة, بيلا, كفر الشيخ.",363984
ابادة حشرات ومبيدات حشرية,ابو كاشف,"ش التحرير, ابو كبير, الشرقية.",329506
ابادة حشرات ومبيدات حشرية,ابو كساب,"طريق كفر حمزة, شبين القناطر, القليوبية.",343911
ابادة حشرات ومبيدات حشرية,ابو مناع,"ش بورسعيد, ابو حماد, الشرقية.",335838
ابادة حشرات ومبيدات حشرية,اجروماتك,"3 - مجمع الاردنية - الدور 3 شقة 2, الحى السابع, السادس من اكتوبر, الجيزة.",383929
ابادة حشرات ومبيدات حشرية,اجروماتكو جروب لصناعة الاسمدة و المبيدات الزراعية,"عمارة 4 ش محمود عمر, الدور 2, طريق المنصورة- درب نجم, الزقازيق, الشرقية.",635220
ابادة حشرات ومبيدات حشرية,اجرى كونتكت للزراعة والتجارة,"29 ش فوزى معاذ - برج صفوة رجال الاعمال 2 - الدور 9 شقة 914, سموحة, الاسكندرية.",577069
ابادة حشرات ومبيدات حشرية,احمد بقرية,"ش مجلس المدينة, اولاد صقر, الشرقية.",366199
ابادة حشرات ومبيدات حشرية,احمد رخا للمبيدات الحشرية,"84 ش داير الناحية - صفط اللبن, بولاق الدكرور, الجيزة.",579121
ابادة حشرات ومبيدات حشرية,احمد محمد الجز,"2 ش العقيلى, الحضرة, الاسكندرية.",26755
ابادة حشرات ومبيدات حشرية,اخوان فرحات,"8 ش خضر التونى, كليوباترا, الاسكندرية.",36185
ابادة حشرات ومبيدات حشرية,ارت كنترول للخدمات,"65 ش بورسعيد ميدان السواح, الاميرية, القاهرة.",229302
ابادة حشرات ومبيدات حشرية,اروو كيم للكيماويات الزراعية ومكافحة الافات والخدمات العلمية,"عمارات البستان - ش النصر - الدور 1 شقة 103, سموحة, الاسكندرية.",329891
ابادة حشرات ومبيدات حشرية,اريج للخدمات الزراعية,"2 ش البدراوى - مدينة قباء, جسر السويس, القاهرة.",394030
ابادة حشرات ومبيدات حشرية,اس ار جى سيرفيس,"301 ش الهرم, الدور 3, الهرم, الجيزة.",276354
ابادة حشرات ومبيدات حشرية,اس دبليو اف ايجيبت,"76 ش عبد العزيز فهمى, الشقة 9, الدور 2, ميدان سانت فاطيما, النزهة, مصر الجديدة, القاهرة.",607710
ابادة حشرات ومبيدات حشرية,اس سى جونسون واكس,"كم 11 - طريق مصر بلبيس الصحراوى, الخانكة, القليوبية.",149723
ابادة حشرات ومبيدات حشرية,استيم بوكس جروب,"2 عمارات نيركو, الشقة 22, الدور 2, الشطر الخامس, زهراء المعادى, المعادى, القاهرة.",450823
ابادة حشرات ومبيدات حشرية,اسيا كيم للكيماويات,"برج الامين ش الصادق الامين, الشقة 17, الدور 5, الفلكى, السيوف, الاسكندرية.",577027
ابادة حشرات ومبيدات حشرية,اشرف عزت,"ش الفرارجية, بلقاس, الدقهلية.",363711
ابادة حشرات ومبيدات حشرية,اشرف للمبيدات الزراعية,"ش الجبانة, الدلنجات, البحيرة.",121803
ابادة حشرات ومبيدات حشرية,افريكا للخدمات البيئية,"فيلا 5/16 - منتصف ش الصناعات الصغيرة المجاورة 25, العاشر من رمضان, الشرقية.",466886
ابادة حشرات ومبيدات حشرية,اكاسيا للتجارة والتسويق,"69 ش ابو بكر الصديق ميدان سفير, مصر الجديدة, القاهرة.",114736
ابادة حشرات ومبيدات حشرية,اكتيف لمكافحة الحشرات والافات,"40 ش الترعة، متفرع من ش 105, المعادى, القاهرة.",504442
ابادة حشرات ومبيدات حشرية,اكس بست كنترول,"20 ش الاعناب، متفرع من ش جامعة الدول العربية الدور 2, المهندسين, الجيزة.",464295
ابادة حشرات ومبيدات حشرية,اكس بيست,"ش مدرسة القدس متفرع من ش مصطفى كامل, ميامى, الاسكندرية.",582952
ابادة حشرات ومبيدات حشرية,اكسون,"32 ش فخرى الدالى متفرع من ش د. لاشين, الكوم الاخضر, فيصل, الجيزة.",591154
ابادة حشرات ومبيدات حشرية,اكوا الالمانية لابادة الحشرات,"16 عمارات زهراء التوفيقية -, الحى العاشر, مدينة نصر, القاهرة.",412795
ابادة حشرات ومبيدات حشرية,الابرار,"عزبة شاهين, وسط البلد, المنيا.",387409
ابادة حشرات ومبيدات حشرية,الاتحاد 2,"52 ش فيصل, فيصل, الجيزة.",467182
ابادة حشرات ومبيدات حشرية,الاخلاص,"ش المدارس, مدينة بدر, البحيرة.",370776
ابادة حشرات ومبيدات حشرية,الاخوة,"ش 23 يوليو, بسيون, الغربية.",348077
ابادة حشرات ومبيدات حشرية,الارض الطيبة,"ش الجمهورية, بيلا, كفر الشيخ.",362817
ابادة حشرات ومبيدات حشرية,الاستشاريون لخدمات صحة البيئة,"611 طريق الحرية, زيزينيا, الاسكندرية.",38857
ابادة حشرات ومبيدات حشرية,الاسكندرية للحراسة والخدمات,"11 عمارات ضباط مصطفى كامل - - الدور 4, مصطفى كامل, الاسكندرية.",20737
ابادة حشرات ومبيدات حشرية,الاسلامية للمبيدات الزراعية,"96 ش بورسعيد - سنتريس, اشمون, المنوفية.",569438
ابادة حشرات ومبيدات حشرية,الاكاديمية الالمانية لعلوم الحشرات,"42 ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",499547
ابادة حشرات ومبيدات حشرية,الاكاديمية الاوربية لابادة الحشرات وخدمات النظافه,"المنطقه الصناعيه الثالثة, السادس من اكتوبر, الجيزة.",428768
ابادة حشرات ومبيدات حشرية,الاكاديمية العلمية للبحوث,"5 عمارات عثمان -, روكسى, مصر الجديدة, القاهرة.",143851
ابادة حشرات ومبيدات حشرية,الالمانية العالمية لابادة الحشرات والقوارض,"43 عمارات الواحه - , الحى العاشر, مدينة نصر, القاهرة.",583823
ابادة حشرات ومبيدات حشرية,الالمانية المصرية لمكافحة الحشرات,"132 ش الهرم, الدور 3, المطبعة, الهرم, الجيزة.",656236
ابادة حشرات ومبيدات حشرية,الالمانية اونلاين,"53 ش عباس العقاد, مدينة نصر, القاهرة.",675274
ابادة حشرات ومبيدات حشرية,الالمانية ايجيبت كنترول,"50 ش فريد سميكة, ميدان الحجاز, مصر الجديدة, القاهرة.",638082
ابادة حشرات ومبيدات حشرية,الالمانية ايجيبت كنترول,"54 ش جسر السويس، ميدان الالف مسكن, جسر السويس, القاهرة.",628585
ابادة حشرات ومبيدات حشرية,الالمانية بيولوجى,"14 ش شجرة الدر, الزمالك, القاهرة.",582894
ابادة حشرات ومبيدات حشرية,الالمانية جروب لابادة الحشرات والخدمات العامة,"22 ش جمال عبد الناصر متفرع من ش جسر السويس, جسر السويس, القاهرة.",550315
ابادة حشرات ومبيدات حشرية,الالمانية جروب لابادة الحشرات والقوارض بالتبخير,"4 تعاونيات مصطفى النحاس, مدينة نصر, القاهرة.",557881
ابادة حشرات ومبيدات حشرية,الألمانية ريد كنترول,"بلوك 12- عمارة 1, الواحة, مدينة نصر, القاهرة.",646383
ابادة حشرات ومبيدات حشرية,الالمانية سبيد,"ش الخمسين, حى الواحة - برج الفاروق 3, مدينة نصر, القاهرة.",691474
ابادة حشرات ومبيدات حشرية,الالمانية سرفيس,"74 عمارات صقر قريش -, الحى العاشر, مدينة نصر, القاهرة.",323976
ابادة حشرات ومبيدات حشرية,الالمانية سيرفيس لأبادة الحشرات,"27 عمارات صقر قريش - بلوك 107, مدينة نصر, القاهرة.",594661
ابادة حشرات ومبيدات حشرية,الالمانية سيرفيس لابادة الحشرات والقوارض,"15 - المنطقة العاشرة, مدينة نصر, القاهرة.",300643
ابادة حشرات ومبيدات حشرية,الالمانية كنترول,"4 ش احمد عوض متفرع من ش مكرم عبيد - الدور 2, المنطقة السادسة, مدينة نصر, القاهرة.",606130
ابادة حشرات ومبيدات حشرية,الالمانية كيميكال لمكافحة الحشرات والقوارض,"5 ش البترول, المرج الغربية, المرج, القاهرة.",556772
ابادة حشرات ومبيدات حشرية,الالمانية لبحوث الحشرات,"بلوك 46 - مساكن صقر قريش -, الحى العاشر, مدينة نصر, القاهرة.",287140
ابادة حشرات ومبيدات حشرية,الالمانية لخدمات الافات,"طريق النصر, الدهار, الغردقة.",490028
ابادة حشرات ومبيدات حشرية,الالمانية لمكافحة الحشرات,"13 ش احمد الزمر, الحى العاشر, مدينة نصر, القاهرة.",641351
ابادة حشرات ومبيدات حشرية,الامانة,"ش كمال النجار, الشهداء, المنوفية.",314257
ابادة حشرات ومبيدات حشرية,الامتياز كنترول,"30 ش التحرير, نجع حمادى, قنا.",592713
ابادة حشرات ومبيدات حشرية,الاندلس سيرفيس,", مكتب 320 , مجمع على الدين مبنى ج , الدور 3 علوى, الحى 12, السادس من اكتوبر, الجيزة.",443397
ابادة حشرات ومبيدات حشرية,الاندلس للمبيدات الحشرية,"69 اسكان الشبابالمجاورة 13, الحى 11, السادس من اكتوبر, الجيزة.",626554
ابادة حشرات ومبيدات حشرية,الاندلسية الالمانية لابادة الحشرات والقوارض,"برج ب - ابراج سيتى ستارز - المحور الخدمى, السادس من اكتوبر, الجيزة.",583665
ابادة حشرات ومبيدات حشرية,الانصار لتجارة المبيدات والاسمدة,"كم 81 - , النوبارية, البحيرة.",135210
ابادة حشرات ومبيدات حشرية,البترا,"86 ش الجيش متفرع من ش جمال عبد الناصر, حلوان, القاهرة.",277014
ابادة حشرات ومبيدات حشرية,البراق للخدمات والتوريدات,"4 ش فتح الله على متفرع من ش 77, المعادى, القاهرة.",406522
ابادة حشرات ومبيدات حشرية,البرج سيرفس للخدمات العامة,"29 ش 9, متفرع من ش 45, العصافرة قبلى, الاسكندرية.",596301
ابادة حشرات ومبيدات حشرية,البطل سيرفيس لخدمات الصحة العامة,"36 ش عبد الله الخير متفرع من ش ابراهيم عبد الرازق, عين شمس الشرقية, القاهرة.",318799
ابادة حشرات ومبيدات حشرية,البمبى,"7 ش احمد ماهر, باب الخلق, القاهرة.",195239
ابادة حشرات ومبيدات حشرية,التوحيد,"ش عمر بن الخطاب, كفر الزيات, الغربية.",343382
ابادة حشرات ومبيدات حشرية,الجز,"14 ش احمد ماهر, باب الخلق, القاهرة.",195237
ابادة حشرات ومبيدات حشرية,الحبشى للمبيدات,"ش كوم القناطر, ابو حمص, البحيرة.",144678
ابادة حشرات ومبيدات حشرية,الحجاز لمكافحة الحشرات,"41 ش القومية, الزقازيق, الشرقية.",674874
ابادة حشرات ومبيدات حشرية,الحديثة للمبيدات الحشرية,"البنفسج 7 - فيلا 229, التجمع الاول, القاهرة الجديدة, القاهرة.",580816
ابادة حشرات ومبيدات حشرية,الحسن,"11 برج العقيد - طريق صقر قريش شرق - الدور 2 شقة 6, المعادى, القاهرة.",367476
ابادة حشرات ومبيدات حشرية,الحمد,"28 ش سيدى بلال متفرع من ش مصطفى حافظ, جسر السويس, القاهرة.",396502
ابادة حشرات ومبيدات حشرية,الحملة الفرنسية لابادة الحشرات والقوارض,"10 ش الحجاز, مصر الجديدة, القاهرة.",513205
ابادة حشرات ومبيدات حشرية,الحورس مصر,"المجاورة 32 - عمارة 4, مدينة 15 مايو, القاهرة.",470114
ابادة حشرات ومبيدات حشرية,الخيول للخدمات,"150 ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",214985
ابادة حشرات ومبيدات حشرية,الدميرى,"ش الجمهورية, بيلا, كفر الشيخ.",362713
ابادة حشرات ومبيدات حشرية,الرؤية المتكاملة لادارة المشروعات,"26 ش المشتل، متفرع من ش الميثاق, زهراء مدينة نصر, مدينة نصر, القاهرة.",626191
ابادة حشرات ومبيدات حشرية,الراعى الصالح,"15 ش سنان, الزيتون, القاهرة.",407801
ابادة حشرات ومبيدات حشرية,الرحاب,"ش السوق, الرياض, كفر الشيخ.",365689
ابادة حشرات ومبيدات حشرية,الرواد للخدمات المتكاملة,"ش رايل, حلوان, القاهرة.",587276
ابادة حشرات ومبيدات حشرية,الروضة لمكافحة الحشرات,"ش محمد نجيب, تقاطع ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",649964
ابادة حشرات ومبيدات حشرية,الرومانى,"1 ش الجمهورية, وسط البلد, كفر الشيخ.",345041
ابادة حشرات ومبيدات حشرية,السعد,"ش الجيش, قطور, الغربية.",346416
ابادة حشرات ومبيدات حشرية,السلام,"طريق الشين, قطور, الغربية.",346608
ابادة حشرات ومبيدات حشرية,السماح لخدمات النظافة العامة ومكافحة الحشرات والقوارض,", العلمين, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",693337
ابادة حشرات ومبيدات حشرية,السنوسى للتوريدات,"طريق ترعة المنصورية, ابو رواش, الجيزة.",394911
ابادة حشرات ومبيدات حشرية,السهام لمكافحة الآفات,"25 عمارات صقر قريش -, الحى العاشر, مدينة نصر, القاهرة.",229052
ابادة حشرات ومبيدات حشرية,الشرق الاوسط لابادة الحشرات,"35 ش عبد المنعم رياض, متفرع من ش البطل احمد عبد العزيز, المهندسين, الجيزة.",67339
ابادة حشرات ومبيدات حشرية,الشركة الالمانية لابادة الحشرات,", ميدان الحصرى, السادس من اكتوبر, الجيزة.",671708
ابادة حشرات ومبيدات حشرية,الشركة الالمانية للمبيدات الحشرية - بيكتل,"41 ب, الحى السويسرى, الحى العاشر, مدينة نصر, القاهرة.",445583
ابادة حشرات ومبيدات حشرية,الشركة الاهلية لمكافحة الحشرات وتعقيم الخزانات,"ميدان الساعة - برج الحياة, المنتزة, المنتزه, الاسكندرية.",563597
