Category,Name,Address,ID
مراكز تعليم لغات,ارفولجس اكاديمى,"60 ش 20 - المنطقة الثالثة - الحى الخامس, التجمع الخامس, القاهرة الجديدة, القاهرة.",584908
مراكز تعليم لغات,اس واى اى انجليش كوميونيتى,"122 ش التحرير, الدور 3, الدقى, الجيزة.",356886
مراكز تعليم لغات,اسيب اكاديمى لاساسيات التعليم,"21 أ ش سوريا - الدور 2, رشدى, الاسكندرية.",255750
مراكز تعليم لغات,اكاديمية اسبكت,"724 طريق الحرية, الدور 3, برج الزهراء, لوران, الاسكندرية.",172821
مراكز تعليم لغات,اكاديمية التميز,"2 حارة عيد القمبشاوى, البدرشين, الجيزة.",605014
مراكز تعليم لغات,اكاديمية الدراسات العربية,"6 ش الجزيرة الوسطى, الزمالك, القاهرة.",394774
مراكز تعليم لغات,اكاديمية الشروق,"ش صلاح الدين متفرع من ش المحطة, اشمون, المنوفية.",566580
مراكز تعليم لغات,اكاديمية اللغة العربية للجميع,"القطعة 90 - - منطقة خدمات الياسمين, التجمع الخامس, القاهرة الجديدة, القاهرة.",438556
مراكز تعليم لغات,اكاديمية تراك الدولية,"برج الرى - الدور 1, شبين الكوم, المنوفية.",552079
مراكز تعليم لغات,اكاديمية خطوة للامام,"45 ش 77, العرب, المعادى, القاهرة.",482022
مراكز تعليم لغات,اكاديمية شيفيلد للغات,"446 ش الاهراممجمع نصر الدين - برج 6, نصر الدين, الهرم, الجيزة.",623328
مراكز تعليم لغات,اكاديمية صناع المستقبل,"30 ش الامام ابو حنيفة, الحى السابع, مدينة نصر, القاهرة.",672253
مراكز تعليم لغات,اكاديمية عنان للغات,"30 ش احمد الزمر, مدينة نصر, القاهرة.",435497
مراكز تعليم لغات,اكاديمية فيير,"21 ش ذاكر حسين, مدينة نصر, القاهرة.",686163
مراكز تعليم لغات,اكاديمية كنوز التعليمية,"20 ش نصار متفرع من ش فريد ندا, بنها الجديدة, القليوبية.",520580
مراكز تعليم لغات,اكاديمية لينجوا للغات,"ش ابو بكر الصديق, الاردنية, العاشر من رمضان, الشرقية.",573877
مراكز تعليم لغات,اكاديمية مهارتى,"3 ش المزدلفة متفرع من ش التليفزيون, الاقصر, الاقصر.",448347
مراكز تعليم لغات,اكتيف انجليش,", حى الجامعة, المنصورة, الدقهلية.",668796
مراكز تعليم لغات,الاكاديمية البريطانية الحديثة لتعليم اللغات,"2 ش الجمهورية, البراجيل, الجيزة.",560638
مراكز تعليم لغات,الاكاديمية الدولية,"2 ش شعلان, الشهداء, المنوفية.",552556
مراكز تعليم لغات,الاكاديمية العربية للخدمات الالكترونية والمعلوماتية,"3 أ ش كامل الشناوى - ش النباتات سابقا, جاردن سيتى, القاهرة.",148382
مراكز تعليم لغات,البيت الالمانى,"فيلا 18 - ش 10, ثكنات المعادى, المعادى, القاهرة.",506115
مراكز تعليم لغات,الجمعية المتقدمة للغات,"ش 23 يوليو, المحلة الكبرى, الغربية.",304290
مراكز تعليم لغات,المؤسسة المصرية,"511 عمارات النصر -, الجيزة, الجيزة.",334148
