Category,Name,Address,ID
ابحاث علمية,البروف لخدمات البحث العلمى,"ش قصر العينى, جاردن سيتى, القاهرة.",654669
ابحاث علمية,القاهرة للبحوث,"26 ش فيصل - الدور 1 شقة 6, فيصل, الجيزة.",358224
ابحاث علمية,المجلس المصرى للشئون الصحية,"41 ش الفلكى ميدان التحرير, باب اللوق, القاهرة.",480797
ابحاث علمية,المجموعة الطبية المتحدة,"15 عمارات رابعة الاستثمارى - , مدينة نصر, القاهرة.",597691
ابحاث علمية,المركز المصرى للدرسات الاقتصادية,"49 ش محمد مظهر متفرع من ش 26 يوليو, الزمالك, القاهرة.",457845
ابحاث علمية,المعهد السويسرى للاثار,"11, 13 ش عزيز اباظة, الزمالك, القاهرة.",160239
ابحاث علمية,المعهد العلمى الفرنسى للاثار الشرقية,"37 ش الشيخ على يوسف, المنيرة, القاهرة.",316155
ابحاث علمية,المكاوى للخدمات العلمية,"1 ش محمد سالم, المنيل, القاهرة.",288682
ابحاث علمية,ام اس اتش - منظمة علوم الادارة الصحية,"طريق السادات - طريق الخزان سابقا, وسط البلد, اسوان.",381634
ابحاث علمية,ام سى اس سنتر,"13 ش محمد شكرى متفرع من ش شاهين, العجوزة, الجيزة.",153358
ابحاث علمية,انراد,"14 عمارات الشركة السعودية - ش النزهة, مصر الجديدة, القاهرة.",211051
ابحاث علمية,انفو ماين للابحاث,"31 ش عمر بكير ميدان عثمان بن عفان, النزهة, مصر الجديدة, القاهرة.",603603
ابحاث علمية,اوست ايجيبت,"9 ش محمود غنيم, مدينة نصر, القاهرة.",165566
ابحاث علمية,ايه بى سى للابحاث,"ابراج سيتى ستارز, المحور الخدمى, السادس من اكتوبر, الجيزة.",668861
ابحاث علمية,بصيرة - المركز المصرى لبحوث الرأى العام,"13 ش لبنان, المهندسين, الجيزة.",389960
ابحاث علمية,بيوكيتس,"16 ميدان مجمع المحاكم - الدور 1, وسط البلد, المنيا.",521428
ابحاث علمية,جراند ايجيبت للاستشارات العلمية - جيسكو,"84 ش الميثاق, المنطقة العاشرة, زهراء مدينة نصر, مدينة نصر, القاهرة.",685762
ابحاث علمية,جلوبال سنتر للبحث العلمى,"ش الصفا متفرع من ش احمد ماهر - الدور 2, المنصورة, الدقهلية.",521086
ابحاث علمية,سايرا كوربريشن,"32 ب ش مراد - الدور 12, الجيزة, الجيزة.",397707
ابحاث علمية,ستار انترناشيونال,"56 ش 104, المعادى, القاهرة.",150510
ابحاث علمية,شركة كلين ارت,"143 /145 ش الحجاز - الدور 8, مصر الجديدة, القاهرة.",346194
ابحاث علمية,صبرى كورب للابحاث والتنمية,"4 ش الصباغ, الكوربة, مصر الجديدة, القاهرة.",141226
ابحاث علمية,كنز العرب للعلوم,", المجاورة الاولى, اسكان الشباب 70 متر, الحى 11, السادس من اكتوبر, الجيزة.",688341
ابحاث علمية,ماتريكس العلمية للتجارة,"410 ش الهرم, نصر الدين, الهرم, الجيزة.",393607
ابحاث علمية,مدينة زويل للعلوم والتكنولوجيا,"القطعة 12578 - طريق احمد زويل - حدائق اكتوبر, السادس من اكتوبر, الجيزة.",527427
ابحاث علمية,مركز الابحاث المتقدمة - ايه ار سى,"2 ش عبد الحميد عوض متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",459173
ابحاث علمية,مركز البحوث والدراسات النفسية,"1 ش الشهيد عبد الهادى صلاح, الجيزة, الجيزة.",378206
ابحاث علمية,مركز التميز العلمى والتكنولوجى,"كم 3 - طريق القاهرة بلبيس الصحراوى, مدينة السلام, القاهرة.",553247
ابحاث علمية,مركز التميز للابحاث العلمية,"18 ش سوريا, المهندسين, الجيزة.",404150
ابحاث علمية,مركز القاهرة,"7 ش الديوان, جاردن سيتى, القاهرة.",420585
ابحاث علمية,مركز المستقبل للكمبيوتر,"ميدان الساعة - برج الزهراء - الدور 2, فيكتوريا, الاسكندرية.",66938
ابحاث علمية,مركز النيل للدراسات الاقتصادية والاستراتيجية,"19 ش عبد السلام عارف, وسط البلد, القاهرة.",376488
ابحاث علمية,مركز الهمة للبحث العلمى,"8 ش احمد الزيات, بين السرايات, الجيزة.",639817
ابحاث علمية,مركز بحوث وتطوير الفلزات,"ش الفلزات, التبين, القاهرة.",313453
ابحاث علمية,مركز ديسكفرى للعلوم,"ش حسن رضوان تقاطع ش الحلو, طنطا, الغربية.",473320
ابحاث علمية,مركز معين الباحث,"ش الخليفة المأمون, عباسية, القاهرة.",312572
ابحاث علمية,مركز نومادك للمعلومات,"42 ش السلام, التبين, القاهرة.",474937
ابحاث علمية,مستشفى النبات,"ش الثورة, بيلا, كفر الشيخ.",632658
ابحاث علمية,ناشيونال بيو لاب للتجارة,"15 ش النور - الدور 1, الدقى, الجيزة.",402091
