Category,Name,Address,ID
معدات سمعيات ومرئيات,انظمة الاتصال المتقدمة - دى بى,"237 ش رمسيس, غمره, القاهرة.",16785
معدات سمعيات ومرئيات,المصرية للانظمة الاذاعية,"فيلا 382 ط - حدائق الاهرام, حدائق الاهرام, الهرم, الجيزة.",179337
معدات سمعيات ومرئيات,تو ايه تكنولوجى للانظمة الامنية والتحكم الالى,"46 ش مسجد الهدايا, بولكلى, الاسكندرية.",687937
معدات سمعيات ومرئيات,هيرو للانظمة الصوتية,"15 ش محمود البدرى, الحى الثامن, مدينة نصر, القاهرة.",694443
معدات سمعيات ومرئيات,الشناوى للكاميرا والموبايل,"41 ش النبى دانيال, محطة الرمل, الاسكندرية.",33700
معدات سمعيات ومرئيات,شركة السلام للاجهزة الصوتية والمرئية,"20 ب ش القضاعى, الشقة 8, الدور 2, شبرا, القاهرة.",433897
معدات سمعيات ومرئيات,الحياة سمارت هووم,"8 ش خالد بن يزيد متفرع من طريق الكورنيش, كليوباترا, الاسكندرية.",609219
معدات سمعيات ومرئيات,ابا قرينو,"5 ش مسجد المصطفى, المطرية, القاهرة.",477583
معدات سمعيات ومرئيات,ابو الهنا,"مساكن الكهرباء -, شبرا الخيمة, القليوبية.",415229
معدات سمعيات ومرئيات,ابو علاء,"ش عاشور باشا, فيصل, الجيزة.",397848
معدات سمعيات ومرئيات,ابو وردة جروب,"8 ش رشاد عبد الهادى, دار السلام, القاهرة.",461764
معدات سمعيات ومرئيات,اتش تكنولوجى,"104 مساكن التعاونيات, وسط البلد, الفيوم.",663450
معدات سمعيات ومرئيات,اجهزة اتصالات العالمية - اى تى سى,"96 ش جسر السويس, روكسى, مصر الجديدة, القاهرة.",11017
معدات سمعيات ومرئيات,اجيبشيان ميكرو سوليوشنز,"8 ش ابو ذر الغفارى, الحى السابع, مدينة نصر, القاهرة.",8965
معدات سمعيات ومرئيات,احلى صورة,", ., العمرانية الشرقية, الهرم, الجيزة.",651757
معدات سمعيات ومرئيات,احمد اى سى,"91 ش محمد نجيب, المرج, القاهرة.",480472
معدات سمعيات ومرئيات,احمد بايونير لستريو السيارات,"510 ش بورسعيد - سوق علوة فارس - محل 8, باب الشعرية, القاهرة.",471890
معدات سمعيات ومرئيات,احمد صلاح لصيانة اجهزة الصوت,"10 ش عمر بن الخطاب - الشوربجى, بولاق الدكرور, الجيزة.",591088
معدات سمعيات ومرئيات,ادهم ميوزيك,"12 ش مسجد الصحابة متفرع من ش المساكن, الطالبية, فيصل, الجيزة.",397746
معدات سمعيات ومرئيات,ار جى بى سيستم,"139 هـ المحور المركزى, السادس من اكتوبر, الجيزة.",453511
معدات سمعيات ومرئيات,اسامة غالى لمكبرات الصوت,"2 ش ريحان متفرع من ش ترعة البطحة, منوف, المنوفية.",573464
معدات سمعيات ومرئيات,اسامة لستريو السيارات,"29 ش عين شمس, عين شمس الشرقية, القاهرة.",479425
معدات سمعيات ومرئيات,افراح سمسمة,"6 عمارات المروة -, حلوان, القاهرة.",459778
معدات سمعيات ومرئيات,اكس ساوند,"2 ش 8 شمال متفرع من ش 45, العصافرة قبلى, الاسكندرية.",469159
معدات سمعيات ومرئيات,الابندا,"ش احمد لمعى, العرب, المعادى, القاهرة.",409731
معدات سمعيات ومرئيات,الاستاذ للتليفزيونات,"محور الكفراوى - المجاورة الثامنة, الحى الثالث, السادس من اكتوبر, الجيزة.",485381
معدات سمعيات ومرئيات,الاسكندرية للتكنولوجيا,"29 ش حلمى بهجت, الابراهيمية, الاسكندرية.",192379
معدات سمعيات ومرئيات,الاصلى لاستريو السيارات,"44 ش التحرير - زنين, بولاق الدكرور, الجيزة.",589399
معدات سمعيات ومرئيات,الاقصى جروب,"ش عمر بن الخطاب - الدرايسة, الهانوفيل, الاسكندرية.",504895
معدات سمعيات ومرئيات,البرنس,"ش سوق طلخا, الزاوية الحمراء, القاهرة.",411394
معدات سمعيات ومرئيات,البلدوزر لستريو السيارات,"6 ش فايز طه - صفط اللبن, بولاق الدكرور, الجيزة.",579888
معدات سمعيات ومرئيات,الجزار لاستريو السيارات,"ش المساكن, متفرع من ش العشرين, كفر طهرمس, فيصل, الجيزة.",400345
معدات سمعيات ومرئيات,الجوكر,"3 ش صبرى ابو علم - محمد نجيب, باب اللوق, القاهرة.",260363
معدات سمعيات ومرئيات,الجوكر,"ش عبد المجيد اللبان, السيدة زينب, القاهرة.",409381
معدات سمعيات ومرئيات,الحاج صلاح الخواجة لمكبرات الصوت,"59 ش عبد الحافظ - كفر مناقر, بنها, القليوبية.",521785
معدات سمعيات ومرئيات,الحرية,"85 مساكن القاهرة د -, مدينة السلام, القاهرة.",418326
معدات سمعيات ومرئيات,الحلوانى,"ش رفاعى موسى - القصيرين, الزاوية الحمراء, القاهرة.",409397
معدات سمعيات ومرئيات,الحمزاوى لستريو السيارات,"11 ش الصرف الصحى, الخصوص, القليوبية.",494532
معدات سمعيات ومرئيات,الخولى للاستيراد والتصدير,"50 ش 6 اكتوبر, ابو النمرس, الجيزة.",603370
معدات سمعيات ومرئيات,الدخاخنى لستريو السيارات,"27 ش الترعة الشرقاوية الغربية, شبين القناطر, القليوبية.",518156
معدات سمعيات ومرئيات,الدلتا للاعمال الهندسية,"4 ش عنبر, المنصورية, امبابة, الجيزة.",504356
معدات سمعيات ومرئيات,الدوشجية,"14 ش فايز طه - صفط اللبن, بولاق الدكرور, الجيزة.",579886
معدات سمعيات ومرئيات,الدولية للاتصالات والانظمة الامنية,"3 ابراج بدر, الشقة 33, الدور 3, المعراج العلوى, المعادى الجديدة, المعادى, القاهرة.",459019
معدات سمعيات ومرئيات,الراية للانشاءت,", المنطقة الصناعية - مصنع 140, التجمع الثالث, القاهرة الجديدة, القاهرة.",641357
معدات سمعيات ومرئيات,السويدى لصيانة التليفزيونات,"11 ش السد العالى, زهراء عين شمس, عين شمس الشرقية, القاهرة.",651301
معدات سمعيات ومرئيات,الشيخ لستريو السيارات,"10 ش الترعة السلطوحية, المرج, القاهرة.",561790
معدات سمعيات ومرئيات,العالمى,"9 ش الشعراوى, شبرا الخيمة, القليوبية.",478422
معدات سمعيات ومرئيات,العتاب للتسجيل,"ش التعاون, الهرم, الجيزة.",668165
معدات سمعيات ومرئيات,العربية لشاشات العرض,"5589 ش مروة عصمت, المقطم, القاهرة.",415011
معدات سمعيات ومرئيات,العواد,"5 ش الوحدة, المنيب, الجيزة.",413850
معدات سمعيات ومرئيات,الغردقة للانظمة والتكنولوجيا,"233 ب ش محمد سعيد, الكوثر, الغردقة.",670983
معدات سمعيات ومرئيات,الغزالى,"ش المعاهدة, ابو زعبل, القليوبية.",415575
معدات سمعيات ومرئيات,الفا اوديو,"6 ش محمود حافظ, ميدان سفير, مصر الجديدة, القاهرة.",15859
معدات سمعيات ومرئيات,الفخرانى ديجيتال,"1 ش محمد حسنين هيكل, المنطقة السادسة, مدينة نصر, القاهرة.",394200
معدات سمعيات ومرئيات,الفرح,"ش الثورة, حدائق المعادى, المعادى, القاهرة.",411701
معدات سمعيات ومرئيات,القيصر لاستريو السيارات,"126 ش ترعة الزمر - ابو قتادة, بولاق الدكرور, الجيزة.",592036
معدات سمعيات ومرئيات,الكترو ندا,"2 ش كنيسة الاقباط, متفرع من ش النبى دانيال, محطة الرمل, الاسكندرية.",31920
معدات سمعيات ومرئيات,الكفاح للاستيراد والتصدير,"150 ش سوق الخضار, العتبة, القاهرة.",536278
معدات سمعيات ومرئيات,الماستر لستريو السيارات,"62 ش الجمهورية - الجبل الاصفر, الخانكة, القليوبية.",515683
معدات سمعيات ومرئيات,المجموعة المصرية لمهمات المكاتب - ايجات,"4 ش صالح نور, متفرع من ش الصباح, الهرم, الجيزة.",60576
معدات سمعيات ومرئيات,المركز الدولى,"102 ش ترعة الجبل, حدائق القبة, القاهرة.",401093
معدات سمعيات ومرئيات,المركز الفنى للالكترونيات,"5 ش البورصة القديمة, المنشية, الاسكندرية.",34943
معدات سمعيات ومرئيات,المركز الهندسى لصيانة التليفزيون,"27 ش محمد مرعى النجار, الوايلى الكبير, حدائق القبة, القاهرة.",617666
معدات سمعيات ومرئيات,المركز اليابانى لاستيريو السيارة,"57 ش فريد سميكة, الالف مسكن, مصر الجديدة, القاهرة.",15798
معدات سمعيات ومرئيات,المصرية للاتصالات والتكنولوجيا,"3 ش حامد باشا فهمى متفرع من ش جسر السويس, مصر الجديدة, القاهرة.",16140
معدات سمعيات ومرئيات,المصرية للانظمة المتطورة,"30 ش حفص بن عمر متفرع من ش عمرو بن العاص, مصر القديمة, القاهرة.",546317
معدات سمعيات ومرئيات,المصطفى للتكنولوجيا والمشروعات,"4 ش محمد ضياء الدين, من ش حسنى متولى , اريزونا, الهرم, الجيزة.",164835
معدات سمعيات ومرئيات,المعرض الدولى,"35 ش حسين الكردى, الخصوص, القليوبية.",499330
معدات سمعيات ومرئيات,المنى للتوريدات الهندسية,"6 ش رياض السنباطى, المريلاند, مصر الجديدة, القاهرة.",545815
معدات سمعيات ومرئيات,النهار,"21 ش كليوباترا, مصر الجديدة, القاهرة.",419850
معدات سمعيات ومرئيات,النور ساوند سيستم,"74 ش مسجد ال حمد متفرع من ش فيصل, فيصل, الجيزة.",582714
معدات سمعيات ومرئيات,النور للانتاج الاعلامى والتوزيع,"33 ش هارون, المساحة, الدقى, الجيزة.",58089
معدات سمعيات ومرئيات,الهندسية للشاشات,"طريق خط 12, محطة الرجالات, بنها, القليوبية.",646659
معدات سمعيات ومرئيات,اليكس دى جى,"14 ش احمد انسى, حلوان, القاهرة.",457006
معدات سمعيات ومرئيات,ام النور,"6 ش سيد عويس, العمرانية الغربية, الهرم, الجيزة.",415160
معدات سمعيات ومرئيات,ام النور لستريو السيارات,"1 ش شعراوى محمود - عرب الطوايلة, عزبة النخل, القاهرة.",528304
معدات سمعيات ومرئيات,امير ستريو,"21 ش عبد المنعم حمزة, شبين الكوم, المنوفية.",532163
معدات سمعيات ومرئيات,انترناشونال تكنولوجى سوليوشن - اى تى اس,"127 ش الملك فيصل, الكوم الاخضر, فيصل, الجيزة.",634439
معدات سمعيات ومرئيات,اوتينا لتكنولوجيا المعلومات,"7 ش الزهور - الدور 2 شقة 302, المهندسين, الجيزة.",157226
معدات سمعيات ومرئيات,اوديو تكنولوجى,"95 أ ش الميرغنى, مصر الجديدة, القاهرة.",3713
معدات سمعيات ومرئيات,اى سى اى دى - الشركة العالمية للاجهزة الالكترونية والكهربية,"3 ش منشأة الكتبة, وسط البلد, القاهرة.",7847
معدات سمعيات ومرئيات,اى كام ستور,"25 ش رفاعة متفرع من ش الدقى - ميدان المساحة, الدقى, الجيزة.",539973
معدات سمعيات ومرئيات,ايجى سيميوليتر,"ش اسفل تراب النيل متفرع من ش جمال عبد الناصر, كفر شكر, القليوبية.",451259
معدات سمعيات ومرئيات,ايجيبت اليكترونكس سيستمز,"6 ابراج المهندسين - كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",59252
معدات سمعيات ومرئيات,ايجيتك لانظمة معامل اللغات ونظم المعلومات الجغرافية,"37 ش حسن افلاطون, امام دار البنك الاهلى المصرى, ارض الجولف, مصر الجديدة, القاهرة.",116132
معدات سمعيات ومرئيات,اىسكو - انترناشيونال سيرفيس,"6 ش الطيار محمود شكرى, سموحة, الاسكندرية.",26109
معدات سمعيات ومرئيات,ايفينت اوديو فاجول,"المنطقة ق1, الرويسات, شرم الشيخ.",468442
معدات سمعيات ومرئيات,اينوشمنك للتكنولوجيا وخدمات الاعلان,"12 ش هارون, الدور 4, ميدان المساحة, الدقى, الجيزة.",143827
معدات سمعيات ومرئيات,بازوكا لستريو السيارات,"5 ش المعهد الدينى, منوف, المنوفية.",570436
معدات سمعيات ومرئيات,باور ارم,", قرية الضبعة - زاوية العوام, الضبعة, الساحل الشمالى.",670421
معدات سمعيات ومرئيات,باور للصيانة,"6 ش الحرية متفرع من ش الاتحاد - زنين, بولاق الدكرور, الجيزة.",589408
معدات سمعيات ومرئيات,بايونير - شركة اولاد المبيض التجارية,"10 عمارة ايفر جرين - ش طلعت حرب, وسط البلد, القاهرة.",13468
معدات سمعيات ومرئيات,بايونير لستريو السيارات,"90 ش الجمهورية, القلج, القليوبية.",514850
معدات سمعيات ومرئيات,بدر,"54 ش ابراهيم الشرقاوى, شبرا الخيمة, القليوبية.",410075
