Category,Name,Address,ID
بروبان وغازات,شركة نيتكو,"28 ش نخلة المطيعى, مصر الجديدة, القاهرة.",15685
بروبان وغازات,مجموعة شركات الدلتا للغازات,"قطعة 34, المنطقة الصناعية B3, العاشر من رمضان, الشرقية.",945
بروبان وغازات,شركة اير سبلاى,"23 ش فوزى معاذ, مول الحرية, سموحة, الاسكندرية.",381899
بروبان وغازات,جيروم للغازات,"القطعة 230 الطريق الاقليمى, المنطقة الصناعية الخامسة, مدينة السادات, المنوفية.",160565
بروبان وغازات,المركز التجارى العلمى - اس تى سى,"14 ش محمد غنيم, متفرع من ش الميرغنى, كلية البنات, مصر الجديدة, القاهرة.",144420
بروبان وغازات,شركة جودكو,"القطعة 26 - بلوك 13039 ش 71 , 72, المنطقة الصناعية الاولى, مدينة العبور, القليوبية.",54296
بروبان وغازات,ابو حرب,"ش الجورة, العريش, شمال سيناء.",159496
بروبان وغازات,ابيدوس للغازات الصناعية,"القطعة 54, 55 - - المنطقة الصناعية الاولى, الكوثر, سوهاج.",185351
بروبان وغازات,اتحاد الغازات المحدودة,"509 طريق الحرية, الوزارة, الاسكندرية.",143296
بروبان وغازات,اتش يو للتجارة والتوكيلات والاعمال الهندسية,"11 عمارات مصر للتعمير - - المنطقة التاسعة, مساكن شيراتون, مصر الجديدة, القاهرة.",16221
بروبان وغازات,ار ام تكنولوجيز,"16 ش نهرو, المريلاند, مصر الجديدة, القاهرة.",431628
بروبان وغازات,اس بى جاس - سعد الدين للغازات البترولية,"90 ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",176904
بروبان وغازات,اسكندرية للغازات الصناعية,"كم 28 - طريق اسكندرية القاهرة الصحراوى, مرغم, الاسكندرية.",185366
بروبان وغازات,ال داوود للغازات الصناعية,"كورنيش النيل, حلوان, القاهرة.",439739
بروبان وغازات,الاتحاد لصناعة انابيب البوتاجاز,"المنطقة الصناعية الثالثة A1, العاشر من رمضان, الشرقية.",911
بروبان وغازات,الاتحاد للاستثمار والتجارة,"192 - المنطقة الرابعة - الدور 2 شقة 6, مدينة السادات, المنوفية.",394773
بروبان وغازات,الاسكندرية للهندسة والتركيبات,"هـ ابراج المعمارى - ش الترام - الدور 1 شقة 5, رشدى, الاسكندرية.",47180
بروبان وغازات,البدر لكربونات الكالسيوم,"المنطقة الصناعية, شبرا الخيمة, القليوبية.",605781
بروبان وغازات,البروى وشركاه,"طريق القاهرة بلبيس الصحراوى - المنطقة الصناعية, مدينة العبور, القليوبية.",160615
بروبان وغازات,الترا بيور جاز,"7 ش شريف - ش الخديوى سابقا, مينا البصل, الاسكندرية.",67872
بروبان وغازات,الدلتا لتعبئة الغاز,"3 ش زكريا عبد العزيز, المهندسين, الجيزة.",56286
بروبان وغازات,الشركة الشرقية للغازات - ايتيكو جاس,"14 ش حسين واصف, ميدان المساحة, الدقى, الجيزة.",18629
بروبان وغازات,الشركة العالمية للهواء السائل,"القطعة 59 - - المنطقة الصناعية الاولى, مدينة السادات, المنوفية.",506566
بروبان وغازات,الشركة المصرية البحرينية لمشتقات الغاز,"40 برج المروة - الشطر السادس, زهراء المعادى, المعادى, القاهرة.",190852
بروبان وغازات,الشركة المصرية القابضة للغازات الطبيعية,"85 طريق النصر تقاطع ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",68268
بروبان وغازات,الشركة المصرية لاجهزة التخدير والغازات الصناعية,"6 ش الشيخ احمد الدرديرى, ارض الجولف, مصر الجديدة, القاهرة.",160477
بروبان وغازات,الصالحية للغازات الطبية والصناعية,"القطاع هـ - المنطقة الصناعية الاولى , الصالحية الجديدة, الشرقية.",45752
بروبان وغازات,الفا للغاز,"المنطقة الصناعية A6, العاشر من رمضان, الشرقية.",940
بروبان وغازات,الفرسان للغازات الصناعية والطبية,"98 الشارع الجديد - مدينه السلام, الحرفيين, القاهرة.",414604
بروبان وغازات,القطرية للمستلزمات الطبية,"149 ش ابو الفوارس, الحى السادس, مدينة نصر, القاهرة.",363624
بروبان وغازات,القياسات للخدمات البترولية,"القطعة 123 المنطقة الصناعية, زهراء المعادى, المعادى, القاهرة.",619889
بروبان وغازات,المتحدة للغازات الصناعية والطبية,"14 ش احمد صادق متفرع من ش كورنيش النيل, كفر العلو, القاهرة.",578946
بروبان وغازات,المحمود للغازات الصناعية,"22 ش العدالة - زنين, بولاق الدكرور, الجيزة.",588796
بروبان وغازات,المصرية الخليجية للغازات الصناعية,"16 ش البحر الاعظم, الجيزة, الجيزة.",43116
بروبان وغازات,المصرية لتشغيل مشروعات اسالة الغاز الطبيعى,"الطريق الدولى الساحلى - المنطقة الحرة, ادكو, البحيرة.",100385
بروبان وغازات,المنصورة للغازات الطبية والصناعية,"طريق الصلاحات, دكرنس, الدقهلية.",124449
بروبان وغازات,الهندسية للغازات الصناعية والطبية,"طريق الروبيكى - المنطقة الصناعية الثالثة, العاشر من رمضان, الشرقية.",573872
بروبان وغازات,الوطنية للطاقة,"13 ش 270, المعادى الجديدة, المعادى, القاهرة.",256757
بروبان وغازات,اوفر سيز للغاز,"13 عمارات حدائق رامو - , مدينة نصر, القاهرة.",176263
بروبان وغازات,اير ليكويد مصر,"25 طريق مصر حلوان الزراعى, المعادى, القاهرة.",57954
بروبان وغازات,ايميكو للمعدات الهندسية والمواد,"المنطقة الصناعية الثانية, المنطقة الصناعية, الاسماعيلية.",153953
بروبان وغازات,ايه جى جازيس,"فيلا 22 - - الحى الثانى, التجمع الخامس, القاهرة الجديدة, القاهرة.",578435
بروبان وغازات,بترو لاند 2000,"طريق بلبيس, بلبيس, الشرقية.",150803
بروبان وغازات,بتروتريد - شركة الخدمات التجارية البترولية,"1 ش انور المفتى, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",99087
بروبان وغازات,بوتاجاسكو - الشركة المصرية لنقل وتوصيل الغاز,"3 ش انور المفتى, الدور 9, متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",148862
بروبان وغازات,بوتجاسكو,"ش الهانوفيل, الهانوفيل, الاسكندرية.",227631
بروبان وغازات,بيور فيول,"سنتريس - عمارة محمود شحاتة, اشمون, المنوفية.",568133
بروبان وغازات,تاون جاس - الشركة المصرية لتوزيع الغاز الطبيعى للمدن,"3 عمارات الفردوس, عباسية, القاهرة.",45906
بروبان وغازات,تبريغاز مصر,"القطعة 6055 الطريق الدائرى, المجاورة السادسة, المعراج العلوى - برج الفادى, زهراء المعادى, المعادى, القاهرة.",451927
بروبان وغازات,جاسكو ناتا - الشركة المصرية للغازات الطبيعية,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",62116
بروبان وغازات,جيمكو - الشركة المصرية لتصنيع معدات الغاز,"15 ش نادى الصيد - الدور 10 شقة 27, الدقى, الجيزة.",131285
بروبان وغازات,حلوان للغازات الصناعية,"طريق الاوتوستراد - المنطقة الصناعية الاولى, مدينة 15 مايو, القاهرة.",45057
بروبان وغازات,دلتا كربون للغازات,"القطعة 34, المنطقة الصناعية الثانية B3 - مجمع الشهابى, العاشر من رمضان, الشرقية.",809
بروبان وغازات,ريبكو جاس دمياط,"القطعة 130 - - المنطقة المركزية, دمياط الجديدة, دمياط.",45910
بروبان وغازات,ريجاس - غاز الاقاليم,"24 ش احمد ابو العلا, امتداد ش عباس العقاد, الحى الثامن, مدينة نصر, القاهرة.",327164
بروبان وغازات,ستار تريدنج,"20 ش ابو السعود, النزهة الجديدة, القاهرة.",220365
بروبان وغازات,سى جى اس,"ش ابو بكر الصديق - الاردنية – مركز المدينة, العاشر من رمضان, الشرقية.",544330
بروبان وغازات,شركة الغازات الصناعية,"30 ش 6 اكتوبر, مسطرد, القليوبية.",132399
بروبان وغازات,شركة هليوبوليس للغازات الصناعية والطبية,"طريق محرم بك القبارى, المنشية الجديدة, الاسكندرية.",22929
