Category,Name,Address,ID
طب بيطرى,عيادة بيت ميدك البيطرية - د. امانى سعيد,"350 ش الهرم, المساحة, الهرم, الجيزة.",689157
طب بيطرى,تونى ميديكو للمستلزمات والاجهزة البيطرية,"22 ش نصوح, الزيتون, القاهرة.",188104
طب بيطرى,عيادة القاهرة للحيوانات الاليفة - د. محمد رشوان,"4 ش 49, المقطم, القاهرة.",689674
طب بيطرى,العيادة الملكية البيطرية,"41 ش عمر المختار, جناكليس, الاسكندرية.",322723
طب بيطرى,عيادة مى البيطرية,"13 ش اسراء المعلمين, متفرع من ميدان لبنان, المهندسين, الجيزة.",689337
طب بيطرى,مركز سيزر البيطري,"332 عمارة بيرار طريق الحرية, سيدى جابر المحطة, الاسكندرية.",396482
طب بيطرى,بيت كير هوسبيتل - د. احمد رمضان,", المجاورة الثانية, الحى 12, الشيخ زايد, السادس من اكتوبر, الجيزة.",583237
طب بيطرى,بيتس ايلاند فيت سنتر - د. محمود شكرى,", مجمع 5 - بيفرلى هيلز, الشيخ زايد, السادس من اكتوبر, الجيزة.",358152
طب بيطرى,ابو ايات للادوية البيطرية,"18 ش المجلس القديم - سنتريس, اشمون, المنوفية.",569404
طب بيطرى,ابو عيسى,"ش المدرسة الثانوية, اولاد صقر, الشرقية.",366438
طب بيطرى,ابو موسى,"ش ابو موسى, ابو كبير, الشرقية.",330074
طب بيطرى,اتش بى جروب,"18 ش صلاح الدين متفرع من ميدان سعد زغلول, بنها, القليوبية.",433720
طب بيطرى,اتكو فارما للصناعات الدوائية,"14 ش كفر عصام, طنطا, الغربية.",57884
طب بيطرى,اجريتك مصر,"37 ش سعد زغلول - منشية اباظة, الزقازيق, الشرقية.",160603
طب بيطرى,اجيبكو فارما,"ش سكة طنطا - الدور 1, 2, زفتى, الغربية.",41777
طب بيطرى,احمد للخدمات البيطرية,"ش 23 يوليو, بسيون, الغربية.",347715
طب بيطرى,ادراك فيت,"15 ش على البدراوى متفرع من ش جسر السويس - سوق القنال, مدينة قباء, القاهرة.",564053
طب بيطرى,ادفانس كير فيت كلينك,"6 ج ش 199, دجلة, المعادى, القاهرة.",107217
طب بيطرى,اديبكو لصحة الحيوان,"ش الشهيد محمد عبد الحى - منشية البكرى - برج اعمار الدلتا - الدور 1, المحلة الكبرى, الغربية.",527392
طب بيطرى,ارابكوفيت - العربية للمستلزمات البيطرية,"طريق طنطا, زفتى, الغربية.",52531
طب بيطرى,ارفيت للاستيراد والتوكيلات التجارية,"15 ش حسن صابر، متفرع من ش طلبة عواد, الزقازيق, الشرقية.",390825
