Category,Name,Address,ID
مدارس رياضية,ابو حطب جيم,"21, الحى السويسرى ب, الحى العاشر, مدينة نصر, القاهرة.",449868
مدارس رياضية,اكاديمة توب فايتر,"50 ش زاكر حسين, مدينة نصر, القاهرة.",675882
مدارس رياضية,اكاديمية ابطال المستقبل,"ش السيد ابو الحسن, متفرع من ش الخصوص, الخصوص, القليوبية.",493879
مدارس رياضية,اكاديمية ابلاما مارتيال ارتس,"ش 216, تقاطع ش 253 - ميدان فيكتوريا, المعادى, القاهرة.",396111
مدارس رياضية,اكاديمية اسباير كاراتيه,"341 ش 10, المجاورة الثانية, الحى الثالث, السادس من اكتوبر, الجيزة.",670620
مدارس رياضية,اكاديمية البرلسى للاسكواش,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",666281
مدارس رياضية,اكاديمية الجمباز,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",680251
مدارس رياضية,اكاديمية الحزام الاسود للكاراتيه,"6 ب ش الثروة المعدنية, حدائق الاهرام, الهرم, الجيزة.",665173
مدارس رياضية,اكاديمية السامبا لكرة القدم,"167 ش الترعة السلطوحية, المرج, القاهرة.",563444
مدارس رياضية,اكاديمية الضوى لكرة القدم,"محلية 3, التجمع الثالث - المنطقة الثانية, التجمع الثالث, القاهرة الجديدة, القاهرة.",633972
مدارس رياضية,اكاديمية العارف لكرة القدم,"18 ش حمام الفرماوى, المرج, القاهرة.",563993
مدارس رياضية,اكاديمية الكابتن,"ش جسر السويس, جسر السويس, القاهرة.",562767
مدارس رياضية,اكاديمية الملاكمة,"., مدينة الرحاب, القاهرة.",195648
مدارس رياضية,اكاديمية المهدى,"ش المركز الاجتماعى, ميدان ابو طالب, كفر الشرفا, المرج, القاهرة.",479832
مدارس رياضية,اكاديمية النجوم الرياضية,"2 ش ريحان متفرع من ش ترعة البطحة, منوف, المنوفية.",573456
مدارس رياضية,اكاديمية النجوم لكرة القدم,"1 ش الصاعقة, مدينة نصر, القاهرة.",562771
مدارس رياضية,اكاديمية ايجى رو للتجديف,"147 ش النيل, الدقى, الجيزة.",509194
مدارس رياضية,اكاديمية بداية,"364 ن, حدائق الاهرام, الهرم, الجيزة.",655730
مدارس رياضية,اكاديمية برشلونة,"157 ش بورسعيد, الشهداء, المنوفية.",548077
مدارس رياضية,اكاديمية برشلونة لكرة القدم,"ش طراد النيل, العزبة الشرقية, الحوامدية, الجيزة.",615158
مدارس رياضية,اكاديمية بطل مصر للكاراتية,"1 ش الحسن, العمرانية الغربية, الهرم, الجيزة.",648843
مدارس رياضية,اكاديمية تايجرز لكرة اليد,"الطريق الدائرى, القطامية, القاهرة.",666260
مدارس رياضية,اكاديمية تايكوندو,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",680244
مدارس رياضية,اكاديمية ذكى غانم لتعليم السباحة,", محور 26 يوليو, السادس من اكتوبر, الجيزة.",513307
مدارس رياضية,اكاديمية ستار وان,"47 ش الجيش - العزبة الشرقية, الحوامدية, الجيزة.",614840
مدارس رياضية,اكاديمية ستريكرز لكرة القدم,"ش التسعين, التجمع الخامس, القاهرة الجديدة, القاهرة.",467017
مدارس رياضية,اكاديمية ستيب سبورتس,"5410 ش 33, الهضبة الوسطى - الحى الرابع, المقطم, القاهرة.",637887
مدارس رياضية,اكاديمية سماش للتنس,"طريق المطار, منطقة المطار, مصر الجديدة, القاهرة.",63075
مدارس رياضية,اكاديمية صن للجمباز,"35 ش اسماعيل الفنجرى, متفرع من ش احمد عصمت, جسر السويس, القاهرة.",478524
مدارس رياضية,اكاديمية عادل عباس لكرة القدم,"3 ش السودان, الكيت كات, الجيزة.",591148
مدارس رياضية,اكاديمية عالم الرياضة,"ش احمد الزمر, الحى الثامن, مدينة نصر, القاهرة.",136248
مدارس رياضية,اكاديمية عالم الرياضة,"61 طريق مساكن ابو زعبل, ابو زعبل, القليوبية.",516957
مدارس رياضية,اكاديمية علوانى للسباحة,"1, ميدان الحجاز, برج الصفا, المهندسين, الجيزة.",565890
مدارس رياضية,اكاديمية عليا لقفز المظلات والرياضات الجوية,"ش محمد شفيق, مصر الجديدة, القاهرة.",471404
مدارس رياضية,اكاديمية فوكسز حازم امام لكرة القدم,"12 ش الجبلاية, الجزيرة, القاهرة.",598694
مدارس رياضية,اكاديمية فيتنس جيم,"ش الثلاثينى الجديد, المريوطية, الهرم, الجيزة.",416222
مدارس رياضية,اكاديمية كونغ فو,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",680245
مدارس رياضية,اكاديمية لا ليجا,"ش التسعين الجنوبى, التجمع الخامس, القاهرة الجديدة, القاهرة.",666279
مدارس رياضية,اكاديمية لايف سبورت,"17 ش اولاد ابو عميرة, متفرع من ش 10, وراق العرب, الوراق, الجيزة.",593822
مدارس رياضية,اكاديمية مانشيستر يونايتيد,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",680242
مدارس رياضية,اكاديمية موردن سبورت,"47 ش ابراهيم نوار, متفرع من ش احمد فخرى, المنطقة السادسة, مدينة نصر, القاهرة.",185980
مدارس رياضية,اكاديمية نابولى,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",624611
مدارس رياضية,اكاديمية وينرز للتنس,"ش التسعين الجنوبى, المستثمرين الجنوبية, القاهرة الجديدة, القاهرة.",666255
